"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9961,36,27,76,0
2.1,9951,43,9,76,0
3.1,9950,45,9,76,0
4.1,9944,47,19,76,0
5.1,9938,48,42,75,0
6.1,9938,51,68,75,0
7.1,9932,61,91,76,1
8.1,9949,75,101,75,1
9.1,9945,87,102,75,1
10.1,9945,107,112,77,2
11.1,9947,121,128,77,2
12.1,9931,140,153,76,2
13.1,9942,158,182,77,2
14.1,9947,183,217,77,2
15.1,9945,204,264,77,2
16.1,9943,227,301,78,3
17.1,9941,257,347,78,3
18.1,9941,290,400,78,3
19.1,9953,337,453,79,3
20.1,9948,380,508,78,3
21.1,9943,431,575,77,3
22.1,9948,486,650,78,3
23.1,9932,536,745,78,4
24.1,9919,584,845,79,4
25.1,9915,636,988,80,4
26.1,9914,694,1097,78,4
27.1,9909,756,1224,79,4
28.1,9911,836,1357,81,6
29.1,9907,925,1496,81,6
30.1,9915,1007,1639,81,6
31.1,9914,1086,1856,84,6
32.1,9882,1174,2063,83,6
33.1,9875,1260,2264,90,6
34.1,9854,1331,2481,97,6
35.1,9833,1426,2696,103,9
36.1,9799,1501,2917,112,13
37.1,9778,1579,3175,122,19
38.1,9762,1682,3400,132,24
39.1,9722,1788,3619,145,27
40.1,9701,1885,3900,157,35
41.1,9665,1969,4079,177,45
42.1,9619,2042,4370,202,62
43.1,9562,2138,4599,230,86
44.1,9509,2211,4849,258,111
45.1,9441,2272,5158,297,131
46.1,9355,2348,5323,350,169
47.1,9283,2394,5566,406,214
48.1,9202,2432,5782,470,260
49.1,9102,2475,5912,544,309
50.1,9009,2500,6082,617,357
51.1,8874,2516,6224,716,429
52.1,8742,2500,6273,829,521
53.1,8598,2503,6256,976,628
54.1,8428,2461,6252,1137,752
55.1,8218,2392,6175,1331,901
56.1,8025,2315,6161,1525,1079
57.1,7833,2236,5961,1726,1262
58.1,7600,2089,5677,1943,1480
59.1,7376,1964,5453,2142,1701
60.1,7151,1831,5144,2345,1937
61.1,6936,1697,4783,2555,2185
62.1,6695,1539,4431,2737,2435
63.1,6508,1427,4079,2925,2670
64.1,6330,1299,3709,3106,2909
65.1,6162,1185,3311,3278,3108
66.1,6024,1100,2971,3418,3306
67.1,5867,994,2700,3557,3527
68.1,5775,931,2359,3657,3701
69.1,5662,830,2086,3773,3890
70.1,5587,749,1844,3877,4060
71.1,5531,705,1620,3974,4205
72.1,5460,633,1459,4065,4345
73.1,5437,594,1306,4134,4465
74.1,5423,553,1195,4210,4581
75.1,5407,510,1076,4285,4697
76.1,5382,460,965,4346,4808
77.1,5379,427,852,4391,4909
78.1,5383,388,747,4431,5007
