"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1920,3200,0,160000
1.1,159422,398,578,934,3226,0,160000
2.1,159155,569,845,453,3245,0,160000
3.1,159026,649,974,252,3254,0,160000
4.1,159004,682,996,314,3259,1,160000
5.1,159007,704,993,632,3258,1,160000
6.1,158997,744,1003,1171,3267,1,160000
7.1,159023,852,977,1781,3257,1,160000
8.1,159000,1012,1000,2391,3271,1,160000
9.1,159009,1287,991,2791,3263,1,160000
10.1,159017,1628,983,3093,3262,1,160000
11.1,159045,1965,955,3573,3267,1,160000
12.1,159059,2361,941,4125,3282,1,160000
13.1,159080,2795,920,4894,3285,1,160000
14.1,159104,3207,896,5990,3292,1,160000
15.1,159075,3705,925,7344,3297,3,160000
16.1,159044,4242,956,9004,3306,5,160000
17.1,159049,4943,951,10791,3319,8,160000
18.1,159094,5684,906,12898,3333,9,160000
19.1,159117,6561,883,15072,3343,12,160000
20.1,159131,7510,869,17739,3353,16,160000
21.1,159081,8556,919,20762,3378,19,160000
22.1,159095,9706,905,24211,3404,26,160000
23.1,159033,10931,967,28081,3437,30,160000
24.1,158922,12126,1078,32465,3475,32,160000
25.1,158801,13422,1199,37367,3542,37,160000
26.1,158613,14858,1387,42568,3619,45,160000
27.1,158520,16490,1480,48111,3680,49,160000
28.1,158498,18174,1502,54345,3780,63,160000
29.1,158405,20019,1595,61438,3871,73,160000
30.1,158342,21843,1658,69337,3986,96,160000
31.1,158150,23767,1850,78169,4143,118,160000
32.1,157938,25752,2062,87578,4342,141,160000
33.1,157616,27747,2384,97076,4617,175,160000
34.1,157260,29685,2740,107146,4886,212,160000
35.1,156845,31805,3155,117405,5261,262,160000
36.1,156365,33812,3635,127999,5678,328,160000
37.1,155890,35897,4110,139331,6150,401,160000
38.1,155305,37956,4695,150418,6738,498,160000
39.1,154670,40090,5330,162067,7425,618,160000
40.1,153907,42078,6093,174301,8226,763,160000
41.1,152997,43928,7003,186610,9183,963,160000
42.1,151994,45769,8006,198532,10268,1198,160000
43.1,150870,47475,9130,210615,11552,1506,160000
44.1,149620,48964,10380,221623,13121,1891,160000
45.1,148161,50414,11839,231984,14872,2381,160000
46.1,146485,51624,13515,241467,16940,3054,160000
47.1,144596,52567,15404,250355,19402,3891,160000
48.1,142506,53268,17494,257810,22145,4889,160000
49.1,140194,53587,19806,263645,25297,6188,160000
50.1,137502,53629,22498,267548,28887,7751,160000
51.1,134454,53279,25546,269976,32976,9675,160000
52.1,131140,52527,28860,270426,37406,11953,160000
53.1,127497,51400,32503,268020,42188,14646,160000
54.1,123692,50090,36308,263645,47283,17847,160000
55.1,119430,48200,40570,256618,52572,21520,160000
56.1,114920,45816,45080,247323,58023,25552,160000
57.1,110287,43206,49713,236422,63644,29828,160000
58.1,105601,40553,54399,223234,69191,34380,160000
59.1,100824,37634,59176,208704,74662,39171,160000
60.1,96196,34652,63804,193048,79941,44045,160000
61.1,91672,31678,68328,176752,84964,48962,160000
62.1,87518,28932,72482,160268,89608,53691,160000
63.1,83503,26138,76497,144158,93916,58398,160000
64.1,79682,23448,80318,128068,97933,63010,160000
65.1,76334,21049,83666,113003,101505,67391,160000
66.1,73339,18787,86661,99052,104822,71435,160000
67.1,70683,16701,89317,86492,107684,75332,160000
68.1,68431,15029,91569,74702,110223,78867,160000
69.1,66561,13468,93439,64450,112487,82151,160000
70.1,64748,11964,95252,55445,114470,85289,160000
71.1,63380,10649,96620,47573,116176,88133,160000
72.1,62246,9573,97754,40460,117628,90646,160000
73.1,61338,8489,98662,34531,118903,93023,160000
74.1,60718,7532,99282,29568,119981,95218,160000
75.1,60307,6731,99693,25352,120876,97150,160000
76.1,60052,6022,99948,21653,121659,98961,160000
77.1,59963,5424,100037,18475,122299,100533,160000
78.1,60066,4907,99934,15889,122831,101968,160000
79.1,60377,4512,99623,13598,123287,103269,160000
80.1,60781,4132,99219,11762,123649,104477,160000
81.1,61309,3751,98691,10383,123888,105557,160000
82.1,61824,3366,98176,9217,124014,106639,160000
83.1,62582,3122,97418,8221,124024,107539,160000
84.1,63372,2851,96628,7267,123978,108370,160000
85.1,64222,2596,95778,6509,123797,109126,160000
86.1,65056,2397,94944,5737,123476,109883,160000
87.1,66104,2220,93896,5109,122988,110548,160000
88.1,67134,2082,92866,4592,122308,111138,160000
89.1,68144,1939,91856,4202,121515,111682,160000
90.1,69170,1782,90830,3816,120516,112237,160000
91.1,70309,1652,89691,3425,119291,112735,160000
92.1,71472,1561,88528,3124,117877,113175,160000
93.1,72647,1420,87353,2854,116160,113630,160000
94.1,73831,1320,86169,2707,114183,114038,160000
95.1,75124,1231,84876,2495,111976,114397,160000
96.1,76339,1167,83661,2326,109322,114715,160000
97.1,77565,1102,82435,2127,106310,115037,160000
98.1,78787,1064,81213,1978,102899,115317,160000
99.1,80023,1017,79977,1803,99076,115605,160000
100.1,81246,963,78754,1711,95000,115889,160000
101.1,82516,876,77484,1651,90514,116184,160000
