"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,640000,0,12800,51200,0
1.1,637817,4440,4488,51323,0
2.1,636573,5905,1556,51392,1
3.1,636188,6348,980,51425,10
4.1,636067,6477,2076,51465,21
5.1,635928,6610,4933,51522,28
6.1,635996,7147,8587,51482,42
7.1,635973,8316,11770,51541,50
8.1,635982,10171,13974,51550,58
9.1,636014,12596,15419,51567,66
10.1,636128,15313,16891,51583,82
11.1,636142,17984,19277,51653,98
12.1,636142,20859,22607,51746,129
13.1,636136,23980,27203,51848,164
14.1,636142,27581,32969,51983,199
15.1,636099,31758,39558,52161,257
