"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1280,3200,0,164480
1.1,159418,270,582,621,3229,0,163850
2.1,159185,385,815,296,3226,0,163522
3.1,159055,429,945,191,3236,0,163427
4.1,159004,450,996,167,3246,0,163413
5.1,158997,464,1003,256,3252,0,163508
6.1,159017,488,983,452,3259,0,163711
7.1,159009,523,991,803,3261,1,164065
8.1,158998,583,1002,1223,3259,1,164483
9.1,158971,701,1029,1709,3268,1,164978
10.1,159014,879,986,2155,3274,1,165430
11.1,159030,1117,970,2538,3283,1,165822
12.1,159054,1388,946,3014,3263,1,166278
13.1,159080,1667,920,3509,3276,1,166786
14.1,159061,2025,939,3978,3269,3,167250
15.1,159096,2386,904,4517,3269,5,167791
16.1,159110,2751,890,5515,3279,5,168799
17.1,159083,3173,917,6559,3283,6,169848
18.1,159113,3664,887,8015,3277,6,171298
19.1,159057,4220,943,9771,3280,8,173059
20.1,159035,4823,965,11552,3281,9,174842
21.1,159028,5496,972,13823,3301,12,177136
22.1,159064,6253,936,16521,3327,13,179861
23.1,159030,7051,970,19620,3337,14,182971
24.1,158963,7903,1037,23053,3353,18,186424
25.1,158864,8809,1136,26724,3383,20,190127
26.1,158746,9800,1254,30170,3411,23,193604
27.1,158652,10894,1348,34232,3414,27,197673
28.1,158638,12033,1362,38886,3437,33,202356
29.1,158570,13270,1430,44603,3472,41,208116
30.1,158545,14488,1455,50879,3547,50,214476
31.1,158478,15807,1522,57796,3619,56,221471
32.1,158390,17170,1610,65801,3712,65,229578
33.1,158231,18574,1769,73990,3811,75,237876
34.1,158073,20008,1927,82301,3924,89,246314
35.1,157795,21429,2205,91688,4022,104,255814
36.1,157422,22860,2578,101353,4157,125,265635
37.1,157108,24341,2892,111181,4320,142,275643
38.1,156775,25875,3225,121210,4509,170,285889
39.1,156362,27240,3638,131576,4718,198,296492
40.1,155918,28737,4082,142520,4952,232,307704
41.1,155379,30213,4621,153171,5237,270,318678
42.1,154773,31565,5227,164166,5562,316,330044
43.1,154104,32932,5896,174838,5947,380,341165
44.1,153396,34304,6604,184927,6354,463,351744
45.1,152635,35620,7365,195836,6859,565,363260
46.1,151786,36958,8214,206529,7406,709,374644
47.1,150784,38104,9216,216776,8081,864,385721
48.1,149679,39246,10321,226630,8792,1053,396475
49.1,148452,40229,11548,236150,9640,1269,407059
50.1,147143,41168,12857,245080,10620,1525,417225
51.1,145745,42017,14255,252847,11683,1838,426368
52.1,144276,42663,15724,260677,12907,2236,435820
53.1,142672,43336,17328,267603,14304,2703,444610
