"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9963,26,39,80,0
2.1,9951,39,9,80,0
3.1,9948,42,9,80,0
4.1,9936,42,15,80,0
5.1,9929,43,29,80,0
6.1,9929,43,54,80,0
7.1,9932,50,71,80,0
8.1,9948,57,87,80,0
9.1,9944,65,96,80,0
10.1,9941,75,102,80,0
11.1,9950,95,108,80,0
12.1,9935,113,115,80,0
13.1,9936,129,132,80,0
14.1,9946,141,165,80,0
15.1,9946,158,188,80,0
16.1,9941,174,222,80,0
17.1,9937,199,264,80,0
18.1,9937,230,299,80,0
19.1,9944,256,339,80,0
20.1,9945,297,385,80,0
21.1,9946,344,429,80,0
22.1,9940,386,523,80,0
23.1,9931,423,607,80,0
24.1,9926,479,690,80,0
25.1,9911,520,773,80,0
26.1,9913,563,854,80,0
27.1,9925,619,936,80,0
28.1,9923,689,1071,80,0
29.1,9911,769,1200,80,0
30.1,9920,838,1328,80,1
31.1,9927,908,1523,80,1
32.1,9908,1012,1652,80,1
33.1,9895,1069,1861,80,2
34.1,9877,1151,2049,80,5
35.1,9874,1246,2286,80,5
36.1,9848,1332,2444,80,7
37.1,9833,1404,2685,80,9
38.1,9817,1488,2954,80,12
39.1,9800,1574,3195,80,15
40.1,9794,1684,3427,80,24
41.1,9751,1769,3649,80,34
42.1,9722,1888,3880,80,40
43.1,9685,1994,4109,80,45
44.1,9644,2069,4428,80,51
45.1,9592,2153,4662,80,59
46.1,9526,2238,4887,80,78
47.1,9491,2335,5121,80,95
48.1,9417,2385,5379,80,119
49.1,9347,2471,5578,80,147
50.1,9281,2550,5774,80,171
51.1,9203,2633,6006,80,203
52.1,9113,2695,6191,80,232
53.1,9041,2783,6452,80,275
54.1,8931,2803,6675,80,326
55.1,8814,2835,6850,80,380
56.1,8701,2871,7041,80,444
57.1,8573,2915,7223,80,518
58.1,8422,2920,7317,80,615
59.1,8272,2931,7390,80,708
60.1,8133,2939,7430,80,806
61.1,7971,2905,7463,80,929
62.1,7793,2879,7515,80,1070
63.1,7629,2824,7519,80,1218
64.1,7412,2732,7457,80,1407
65.1,7206,2665,7281,80,1621
66.1,6985,2547,7110,80,1854
67.1,6756,2459,6856,80,2115
68.1,6509,2316,6517,80,2369
69.1,6284,2206,6170,80,2621
70.1,6037,2022,5902,80,2914
71.1,5816,1877,5489,80,3206
72.1,5594,1704,5073,80,3499
73.1,5374,1555,4636,80,3807
74.1,5167,1417,4134,80,4091
75.1,5009,1295,3717,80,4353
76.1,4840,1194,3346,80,4613
77.1,4691,1063,3051,80,4855
78.1,4530,957,2715,80,5097
79.1,4406,867,2366,80,5311
80.1,4317,798,2047,80,5519
81.1,4235,704,1838,80,5714
82.1,4173,622,1638,80,5898
83.1,4127,562,1402,80,6072
84.1,4071,498,1213,80,6225
85.1,4037,460,1018,80,6362
86.1,4032,424,873,80,6480
87.1,4017,394,729,80,6589
88.1,4014,364,622,80,6697
89.1,4019,318,575,80,6803
90.1,4038,285,519,80,6892
91.1,4060,261,495,80,6969
92.1,4101,239,444,80,7048
93.1,4132,230,399,80,7107
94.1,4176,218,354,80,7166
95.1,4230,207,328,80,7226
96.1,4256,184,298,80,7294
97.1,4307,179,260,80,7347
98.1,4373,168,209,80,7398
99.1,4440,149,196,80,7448
100.1,4521,143,171,80,7490
101.1,4570,124,152,80,7534
102.1,4646,119,142,80,7565
103.1,4712,113,140,80,7601
104.1,4788,103,140,80,7634
105.1,4861,97,131,80,7664
106.1,4937,97,105,80,7696
107.1,5019,88,96,80,7717
108.1,5085,77,94,80,7742
109.1,5180,60,96,80,7762
110.1,5273,63,81,80,7784
111.1,5365,65,75,80,7800
112.1,5450,66,61,80,7814
113.1,5513,53,57,80,7836
114.1,5613,48,61,80,7854
115.1,5712,47,48,80,7873
116.1,5792,36,47,80,7886
117.1,5872,35,49,80,7897
118.1,5965,34,43,80,7907
119.1,6050,35,41,80,7917
120.1,6136,33,42,80,7926
121.1,6224,39,30,80,7934
122.1,6306,33,32,80,7948
123.1,6388,29,31,80,7961
124.1,6471,27,32,80,7970
125.1,6549,33,28,80,7974
126.1,6622,28,34,80,7981
127.1,6686,32,35,80,7990
128.1,6773,27,33,80,8003
129.1,6844,28,22,80,8010
130.1,6916,27,20,80,8017
131.1,6986,21,20,80,8027
132.1,7062,22,21,80,8032
133.1,7149,21,25,80,8038
134.1,7233,19,23,80,8044
135.1,7301,23,15,80,8048
136.1,7382,21,12,80,8053
137.1,7452,15,16,80,8062
138.1,7533,14,15,80,8066
139.1,7604,15,15,80,8068
140.1,7676,15,11,80,8070
141.1,7745,13,10,80,8074
142.1,7806,14,11,80,8077
143.1,7873,16,12,80,8078
144.1,7934,13,15,80,8083
145.1,8011,13,14,80,8088
146.1,8083,14,9,80,8092
147.1,8148,11,12,80,8099
148.1,8211,9,14,80,8102
149.1,8269,11,13,80,8104
150.1,8316,13,16,80,8106
151.1,8370,12,12,80,8110
152.1,8434,9,13,80,8114
153.1,8488,10,10,80,8118
154.1,8565,10,9,80,8121
155.1,8613,7,6,80,8127
156.1,8665,8,2,80,8129
157.1,8706,7,2,80,8131
158.1,8750,5,2,80,8134
159.1,8816,6,3,80,8135
160.1,8877,7,5,80,8135
161.1,8910,5,6,80,8139
162.1,8958,4,5,80,8140
163.1,9015,3,6,80,8142
164.1,9053,4,3,80,8144
165.1,9102,3,2,80,8145
166.1,9130,3,2,80,8145
167.1,9166,3,2,80,8145
168.1,9200,3,3,80,8145
169.1,9240,4,5,80,8145
170.1,9274,3,7,80,8147
171.1,9306,2,7,80,8148
172.1,9334,4,2,80,8149
173.1,9363,4,2,80,8149
174.1,9405,4,2,80,8150
175.1,9439,2,3,80,8152
176.1,9461,1,5,80,8153
177.1,9494,0,4,80,8154
178.1,9529,1,2,80,8154
179.1,9553,1,1,80,8154
180.1,9562,1,0,80,8154
181.1,9575,0,0,80,8155
182.1,9596,0,0,80,8155
183.1,9618,0,0,80,8155
184.1,9634,0,0,80,8155
185.1,9658,0,0,80,8155
186.1,9671,0,0,80,8155
187.1,9699,0,0,80,8155
188.1,9724,0,0,80,8154
189.1,9745,0,0,80,8154
190.1,9762,0,0,80,8153
191.1,9771,0,0,80,8153
192.1,9786,0,0,80,8152
193.1,9800,0,0,80,8150
194.1,9814,0,0,80,8147
195.1,9819,0,0,80,8145
196.1,9831,0,0,80,8140
197.1,9830,0,0,80,8139
198.1,9842,0,0,80,8134
199.1,9852,0,0,80,8132
200.1,9866,0,0,80,8130
201.1,9868,0,0,80,8125
202.1,9872,0,0,80,8122
203.1,9875,0,0,80,8115
204.1,9881,0,0,80,8104
205.1,9881,0,0,80,8093
206.1,9884,0,0,80,8082
207.1,9890,0,0,80,8071
208.1,9903,0,0,80,8059
209.1,9904,0,0,80,8049
210.1,9911,0,0,80,8027
211.1,9916,0,0,80,8004
212.1,9908,0,0,80,7979
213.1,9914,0,0,80,7948
214.1,9923,0,0,80,7909
215.1,9930,0,0,80,7871
216.1,9924,0,0,80,7834
217.1,9935,0,0,80,7783
218.1,9936,0,0,80,7712
219.1,9952,0,0,80,7655
220.1,9948,0,0,80,7578
221.1,9951,0,0,80,7513
222.1,9949,0,0,80,7423
223.1,9953,0,0,80,7315
224.1,9957,0,0,80,7230
225.1,9952,0,0,80,7120
226.1,9958,0,0,80,7008
227.1,9952,0,0,80,6888
228.1,9955,0,0,80,6788
229.1,9968,0,0,80,6639
230.1,9973,0,0,80,6499
231.1,9976,0,0,80,6339
232.1,9974,0,0,80,6187
233.1,9972,0,0,80,6022
234.1,9969,0,0,80,5872
235.1,9976,0,0,80,5718
236.1,9977,0,0,80,5495
237.1,9976,0,0,80,5305
238.1,9976,0,0,80,5119
239.1,9979,0,0,80,4896
240.1,9976,0,0,80,4739
