"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9960,30,38,80,0
2.1,9956,41,13,80,0
3.1,9947,44,9,80,0
4.1,9932,47,16,80,0
5.1,9931,47,36,80,0
6.1,9926,52,58,80,0
7.1,9926,58,82,80,0
8.1,9944,66,97,80,0
9.1,9946,88,106,80,0
10.1,9938,103,122,80,0
11.1,9944,120,138,80,0
12.1,9931,143,152,80,1
13.1,9941,165,176,80,2
14.1,9946,183,215,80,2
15.1,9943,198,254,80,2
16.1,9938,229,298,80,2
17.1,9941,261,340,80,2
18.1,9940,293,396,80,2
19.1,9951,335,451,80,2
20.1,9944,371,512,80,2
21.1,9939,418,578,80,2
22.1,9942,465,671,80,3
23.1,9934,519,751,80,3
24.1,9924,573,849,80,5
25.1,9910,620,941,80,8
26.1,9909,670,1039,80,11
27.1,9912,738,1156,80,13
28.1,9910,822,1285,80,17
29.1,9899,894,1426,80,20
30.1,9905,980,1615,80,24
31.1,9902,1060,1807,80,25
32.1,9877,1138,2007,80,28
33.1,9869,1234,2229,80,34
34.1,9866,1343,2411,80,43
35.1,9834,1425,2638,80,55
36.1,9807,1525,2843,80,63
37.1,9788,1632,3052,80,80
38.1,9764,1738,3306,80,100
39.1,9724,1840,3590,80,122
40.1,9694,1923,3819,80,148
41.1,9649,2008,4094,80,173
42.1,9607,2081,4408,80,208
43.1,9532,2145,4697,80,253
44.1,9476,2235,4944,80,306
45.1,9403,2321,5161,80,363
46.1,9307,2364,5359,80,429
47.1,9233,2419,5514,80,521
48.1,9133,2480,5704,80,614
49.1,9012,2492,5854,80,712
50.1,8901,2487,5951,80,834
51.1,8747,2451,6017,80,969
52.1,8609,2452,6004,80,1113
53.1,8477,2452,6094,80,1273
54.1,8288,2414,6003,80,1453
55.1,8106,2380,5897,80,1648
56.1,7923,2297,5821,80,1863
57.1,7732,2229,5726,80,2092
58.1,7552,2145,5536,80,2340
59.1,7321,2019,5335,80,2623
60.1,7137,1923,5075,80,2880
61.1,6966,1831,4815,80,3160
62.1,6746,1695,4544,80,3443
63.1,6568,1619,4193,80,3731
64.1,6394,1495,3912,80,4011
65.1,6209,1370,3611,80,4295
66.1,6055,1277,3312,80,4555
67.1,5904,1163,2997,80,4822
68.1,5761,1049,2675,80,5086
69.1,5622,952,2400,80,5323
70.1,5547,871,2139,80,5514
71.1,5436,787,1888,80,5719
72.1,5370,708,1707,80,5916
73.1,5335,645,1499,80,6081
74.1,5285,578,1308,80,6258
75.1,5276,535,1131,80,6398
76.1,5302,497,998,80,6538
77.1,5276,455,859,80,6674
78.1,5274,422,770,80,6800
79.1,5275,387,684,80,6918
80.1,5324,368,614,80,7016
81.1,5351,325,535,80,7113
82.1,5395,292,506,80,7214
83.1,5435,262,466,80,7298
84.1,5500,258,409,80,7365
85.1,5557,248,357,80,7433
86.1,5610,223,298,80,7508
87.1,5677,221,277,80,7562
88.1,5778,209,253,80,7613
89.1,5838,182,251,80,7667
90.1,5909,168,235,80,7720
91.1,5983,164,218,80,7762
92.1,6064,158,200,80,7810
93.1,6161,152,186,80,7848
94.1,6256,141,170,80,7887
95.1,6327,128,153,80,7936
96.1,6415,116,148,80,7975
97.1,6505,109,134,80,8011
98.1,6589,113,109,80,8046
99.1,6671,98,108,80,8083
100.1,6762,88,96,80,8114
101.1,6853,85,83,80,8138
102.1,6925,73,72,80,8169
103.1,7021,61,70,80,8195
104.1,7114,60,58,80,8217
105.1,7182,56,49,80,8236
106.1,7256,55,47,80,8250
107.1,7339,45,45,80,8270
108.1,7410,38,46,80,8286
109.1,7485,39,36,80,8296
110.1,7557,32,35,80,8311
111.1,7630,25,35,80,8321
112.1,7722,35,30,80,8324
113.1,7797,31,28,80,8333
114.1,7855,23,27,80,8349
115.1,7928,19,23,80,8357
116.1,7989,18,22,80,8361
117.1,8072,18,22,80,8366
118.1,8138,18,13,80,8374
119.1,8205,22,11,80,8375
120.1,8268,19,10,80,8382
121.1,8316,18,13,80,8386
122.1,8379,15,16,80,8393
123.1,8434,9,13,80,8403
124.1,8492,9,13,80,8407
125.1,8533,11,11,80,8410
126.1,8594,11,6,80,8413
127.1,8654,9,5,80,8417
128.1,8695,8,3,80,8419
129.1,8747,8,4,80,8421
130.1,8809,8,6,80,8422
131.1,8848,6,8,80,8425
132.1,8880,5,8,80,8428
133.1,8926,5,5,80,8430
134.1,8978,5,4,80,8432
135.1,9031,5,4,80,8432
136.1,9083,4,3,80,8434
137.1,9131,2,5,80,8436
138.1,9165,3,4,80,8436
139.1,9202,4,2,80,8437
140.1,9249,5,0,80,8438
141.1,9285,4,1,80,8441
142.1,9323,4,2,80,8441
143.1,9346,2,0,80,8445
144.1,9383,2,1,80,8445
145.1,9423,1,2,80,8446
146.1,9454,1,1,80,8447
147.1,9484,1,0,80,8447
148.1,9520,0,0,80,8448
149.1,9548,0,0,80,8448
150.1,9580,0,0,80,8448
151.1,9599,0,0,80,8448
152.1,9630,0,0,80,8448
