"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,160000,0,1920,3200,0
1.1,159417,403,937,3207,0
2.1,159215,576,450,3209,0
3.1,159084,671,256,3209,0
4.1,159040,700,338,3210,0
5.1,159091,724,679,3207,0
6.1,159062,774,1219,3214,0
7.1,159024,890,1866,3211,0
8.1,158993,1073,2429,3212,1
9.1,159048,1348,2892,3210,1
10.1,159086,1687,3252,3212,1
11.1,159132,2056,3697,3209,2
12.1,159135,2454,4330,3213,4
13.1,159195,2871,5166,3221,6
14.1,159113,3351,6284,3218,8
15.1,159102,3894,7696,3220,11
16.1,159160,4511,9294,3216,12
17.1,159109,5174,11104,3223,15
18.1,159112,5953,13346,3232,20
19.1,159054,6867,15841,3241,25
20.1,159041,7864,18685,3242,29
21.1,159048,9013,21699,3270,32
22.1,159091,10168,25297,3295,34
23.1,159059,11465,29469,3314,41
24.1,158922,12751,34153,3336,42
25.1,158759,14064,39265,3384,49
26.1,158642,15512,44837,3434,59
27.1,158524,17196,50858,3542,69
28.1,158445,18992,57486,3622,77
29.1,158396,20903,65052,3722,87
30.1,158288,22927,73190,3860,111
31.1,158099,24883,82168,3980,128
32.1,157882,26865,91888,4167,145
33.1,157541,28852,101969,4393,176
34.1,157200,30836,112528,4626,221
35.1,156721,32866,123282,4950,277
36.1,156295,34994,134348,5287,335
37.1,155774,37114,145705,5716,421
38.1,155150,39167,157449,6231,514
39.1,154500,41256,169383,6833,624
40.1,153640,43208,181314,7538,773
41.1,152819,45162,192999,8349,926
42.1,151823,47095,204984,9321,1157
43.1,150626,48737,217166,10471,1433
44.1,149370,50311,228704,11719,1768
45.1,147812,51664,239241,13201,2201
46.1,146229,52985,249113,15001,2767
47.1,144378,54105,257818,17042,3414
48.1,142366,54907,265958,19382,4261
49.1,140079,55374,272127,22221,5352
50.1,137477,55501,277038,25262,6734
51.1,134591,55327,280392,28891,8392
52.1,131399,54680,282183,32841,10310
53.1,127871,53746,281350,37372,12632
54.1,124054,52434,278049,42266,15447
55.1,120015,50783,273108,47583,18640
56.1,115480,48504,265322,53049,22274
57.1,110838,46021,254369,58613,26310
58.1,105950,43109,241462,64441,30774
59.1,100946,39921,226921,70137,35597
60.1,96054,36670,210530,75829,40578
61.1,91074,33314,192457,81287,45722
62.1,86446,30144,173499,86479,50793
63.1,81984,26995,154999,91305,55859
64.1,77780,23885,136589,95667,60764
65.1,74078,21146,119129,99604,65344
66.1,70717,18483,102978,102902,69708
67.1,67871,16402,88125,105842,73636
68.1,65474,14544,75095,108455,77254
69.1,63355,12796,63534,110738,80584
70.1,61633,11293,53716,112616,83562
71.1,60222,9913,45447,114307,86277
72.1,59134,8819,38454,115788,88679
73.1,58199,7830,32488,117013,90878
74.1,57540,6956,27433,118003,92900
75.1,57082,6269,23290,118855,94707
76.1,56838,5677,19812,119608,96304
77.1,56854,5154,17064,120187,97737
78.1,56986,4767,14852,120729,98992
79.1,57199,4360,13022,121159,100212
80.1,57481,4009,11484,121488,101343
81.1,57851,3657,10103,121803,102360
82.1,58262,3351,8937,121951,103336
83.1,58837,3132,7926,122009,104201
84.1,59492,2894,7069,121998,105029
85.1,60136,2646,6452,121867,105793
86.1,60869,2495,5817,121624,106516
87.1,61713,2321,5337,121309,107191
88.1,62568,2167,4817,120717,107808
89.1,63444,2030,4282,120088,108383
90.1,64432,1880,3889,119347,108882
91.1,65299,1706,3632,118314,109383
92.1,66387,1611,3430,117135,109832
93.1,67421,1541,3178,115746,110240
94.1,68436,1476,2930,114143,110630
95.1,69533,1402,2693,112228,111026
96.1,70683,1351,2505,109921,111374
97.1,71712,1289,2451,107266,111714
98.1,72784,1173,2314,104319,112069
99.1,73886,1123,2222,100968,112377
100.1,75026,1076,2130,97245,112667
101.1,76136,1028,2026,93177,112956
102.1,77253,1012,1902,88691,113209
103.1,78376,975,1788,83905,113467
104.1,79538,916,1695,78874,113728
105.1,80687,883,1587,73691,113966
106.1,81807,829,1501,68399,114209
107.1,82995,775,1436,63047,114447
108.1,84092,759,1384,57770,114641
109.1,85249,725,1341,52519,114842
110.1,86421,721,1297,47440,115032
111.1,87562,706,1214,42554,115240
112.1,88690,698,1181,38060,115401
113.1,89750,671,1145,33982,115581
114.1,90802,646,1084,30305,115775
115.1,91925,650,1087,26981,115928
116.1,93024,631,1074,24006,116091
117.1,94103,605,1060,21300,116265
118.1,95146,589,1050,19042,116426
119.1,96273,574,1056,16977,116585
120.1,97350,569,1035,15229,116729
121.1,98489,575,981,13710,116880
122.1,99548,552,950,12355,117033
123.1,100561,514,942,11154,117185
124.1,101568,483,908,10111,117355
125.1,102685,474,886,9206,117477
126.1,103707,459,824,8386,117624
127.1,104723,460,799,7639,117750
128.1,105787,468,739,6983,117865
129.1,106818,467,729,6388,117970
130.1,107867,453,746,5844,118101
131.1,108920,443,773,5358,118210
132.1,109892,417,792,4982,118338
133.1,110886,415,773,4661,118446
134.1,111883,420,749,4347,118562
135.1,112893,416,746,4104,118656
136.1,113853,400,703,3872,118787
137.1,114839,387,678,3670,118895
138.1,115835,397,644,3526,118982
139.1,116736,373,632,3396,119097
140.1,117597,361,585,3332,119204
141.1,118592,378,556,3292,119279
142.1,119519,344,601,3277,119387
143.1,120421,312,587,3262,119495
144.1,121309,311,573,3224,119585
145.1,122295,302,570,3213,119672
146.1,123194,306,533,3206,119742
147.1,124108,303,490,3210,119820
148.1,124964,277,504,3205,119907
149.1,125834,265,482,3209,119985
150.1,126664,263,454,3211,120056
151.1,127484,258,435,3212,120126
152.1,128329,248,434,3211,120205
153.1,129117,225,413,3213,120284
154.1,129927,229,374,3215,120348
155.1,130738,226,345,3214,120414
156.1,131500,222,345,3220,120465
157.1,132194,212,336,3216,120521
158.1,132949,204,315,3217,120586
159.1,133660,200,307,3210,120646
160.1,134402,177,317,3205,120708
161.1,135100,173,291,3222,120756
162.1,135774,185,261,3218,120797
163.1,136438,176,267,3222,120841
164.1,137096,171,260,3215,120888
165.1,137760,153,277,3218,120939
166.1,138402,153,251,3221,120978
167.1,139016,149,225,3224,121025
168.1,139658,146,221,3220,121065
169.1,140265,135,227,3214,121102
170.1,140904,130,222,3219,121136
171.1,141489,137,235,3216,121163
172.1,142130,132,228,3220,121215
173.1,142646,134,225,3222,121247
174.1,143151,120,219,3223,121285
175.1,143712,126,176,3229,121324
176.1,144233,123,171,3223,121359
177.1,144694,115,145,3224,121390
178.1,145164,105,148,3221,121422
179.1,145607,100,171,3224,121446
180.1,146126,98,162,3220,121473
181.1,146597,92,173,3217,121497
182.1,147057,97,162,3219,121514
183.1,147451,100,157,3218,121528
184.1,147888,107,152,3214,121539
185.1,148342,102,144,3207,121552
186.1,148753,98,140,3215,121564
187.1,149078,81,164,3211,121575
188.1,149457,85,154,3211,121570
189.1,149808,85,149,3205,121569
190.1,150181,77,149,3213,121562
191.1,150504,75,148,3208,121562
192.1,150824,85,147,3206,121543
193.1,151173,84,150,3206,121508
194.1,151466,86,158,3208,121469
195.1,151709,84,170,3210,121430
196.1,151983,85,176,3208,121358
197.1,152227,86,172,3207,121274
198.1,152517,89,165,3206,121167
199.1,152784,91,141,3209,121040
200.1,153027,84,138,3206,120888
201.1,153255,81,122,3207,120684
202.1,153473,83,126,3215,120469
203.1,153660,79,137,3210,120178
204.1,153900,78,150,3212,119846
205.1,154125,74,162,3210,119424
206.1,154285,78,163,3211,119003
207.1,154452,83,136,3200,118478
208.1,154677,81,144,3211,117849
209.1,154857,74,149,3216,117157
