"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,160000,0,1920,3200,0
1.1,159448,406,947,3208,0
2.1,159167,591,472,3209,0
3.1,158997,675,271,3209,0
4.1,158979,712,346,3208,0
5.1,159016,734,696,3213,0
6.1,159042,797,1248,3216,1
7.1,159015,909,1858,3210,2
8.1,159020,1116,2401,3214,2
9.1,159080,1375,2871,3211,3
10.1,159054,1709,3245,3212,3
11.1,159058,2052,3771,3212,3
12.1,159084,2458,4314,3223,5
13.1,159099,2863,5329,3219,5
14.1,159078,3355,6375,3217,7
15.1,159105,3942,7733,3220,8
16.1,159098,4569,9398,3230,8
17.1,159047,5238,11377,3226,8
18.1,159059,6102,13657,3237,9
19.1,159063,7026,16197,3242,9
20.1,159105,8071,19106,3255,14
21.1,159092,9170,22461,3256,18
22.1,159098,10374,26245,3274,22
23.1,159042,11659,30517,3285,27
24.1,158928,12989,35257,3323,37
25.1,158776,14379,40628,3373,42
26.1,158541,15922,45781,3423,55
27.1,158424,17600,51726,3529,67
28.1,158371,19385,58787,3613,81
29.1,158309,21202,66541,3725,93
30.1,158220,23133,75122,3875,111
31.1,158076,25139,84515,4049,129
32.1,157875,27181,94207,4258,157
33.1,157530,29242,104529,4494,186
34.1,157153,31314,115076,4779,225
35.1,156740,33512,125881,5095,271
36.1,156219,35540,137494,5477,329
37.1,155737,37748,149678,5951,417
38.1,155132,39847,161802,6485,502
39.1,154464,42022,173946,7098,610
40.1,153631,44081,186198,7833,736
41.1,152719,46068,198678,8724,904
42.1,151682,47903,211417,9706,1115
43.1,150496,49688,223705,10869,1408
44.1,149107,51261,235627,12279,1765
45.1,147579,52685,247028,13911,2212
46.1,145893,53984,257910,15821,2753
47.1,144017,55090,267728,18089,3454
48.1,141914,55959,276193,20779,4309
49.1,139530,56402,284255,23799,5405
50.1,136861,56633,290028,27261,6822
51.1,133881,56468,293793,31191,8561
52.1,130566,56040,296005,35696,10715
53.1,126811,54999,296614,40602,13354
54.1,122699,53419,294073,45919,16508
55.1,118233,51488,289427,51709,20167
56.1,113351,48980,281557,57833,24464
57.1,108244,46063,271012,63989,29181
58.1,102812,42744,257828,70166,34283
59.1,97392,39288,242034,76155,39724
60.1,92086,35839,224433,81820,45247
61.1,86905,32404,205286,87210,50869
62.1,82027,29027,185223,92203,56502
63.1,77410,25791,164737,96698,61912
64.1,73183,22774,145093,100660,67096
65.1,69429,20109,126939,104201,71944
66.1,66174,17778,109685,107287,76255
67.1,63268,15720,93951,109939,80414
68.1,60760,13922,80317,112141,84116
69.1,58617,12268,68280,114069,87567
70.1,56835,10939,57856,115725,90603
71.1,55319,9687,49093,117172,93403
72.1,54090,8618,41724,118457,95869
73.1,53231,7771,35726,119604,98068
74.1,52517,6925,30631,120474,100134
75.1,52018,6299,26265,121308,101964
76.1,51645,5733,22443,121955,103673
77.1,51470,5262,19286,122550,105180
78.1,51458,4853,16721,122946,106590
79.1,51456,4487,14512,123382,107846
80.1,51609,4127,12611,123696,109092
81.1,51884,3826,11117,123915,110219
82.1,52208,3442,9801,123970,111268
83.1,52674,3205,8794,123966,112244
84.1,53187,3016,7833,123846,113115
85.1,53741,2838,7116,123664,113937
86.1,54311,2572,6581,123373,114741
87.1,55092,2423,5913,122940,115429
88.1,55906,2335,5377,122393,116058
89.1,56601,2161,4964,121760,116757
90.1,57499,2025,4674,120880,117355
91.1,58365,1910,4308,119817,117927
92.1,59263,1821,3877,118561,118484
93.1,60233,1735,3512,116955,118970
94.1,61151,1605,3223,115084,119461
95.1,62165,1480,3002,112847,119895
96.1,63187,1427,2702,110328,120302
97.1,64183,1326,2632,107375,120679
98.1,65169,1248,2470,104224,121046
99.1,66220,1201,2324,100562,121382
100.1,67281,1159,2204,96443,121706
101.1,68391,1099,2104,91988,122009
102.1,69468,1038,1997,86988,122319
103.1,70487,973,1892,81766,122610
104.1,71554,925,1783,76375,122878
105.1,72637,899,1693,70796,123140
106.1,73754,835,1635,65116,123395
107.1,74816,816,1545,59481,123622
108.1,75935,789,1480,53991,123837
109.1,76965,768,1468,48819,124038
110.1,78035,744,1425,43976,124257
111.1,79145,694,1337,39358,124466
112.1,80252,665,1200,35052,124664
113.1,81398,647,1121,31208,124836
114.1,82535,616,1078,27700,125005
115.1,83640,592,1035,24649,125161
116.1,84745,570,1025,22011,125329
117.1,85829,548,1012,19647,125476
118.1,86915,505,977,17585,125640
119.1,88032,521,929,15786,125768
120.1,89085,494,894,14203,125911
121.1,90150,488,814,12859,126041
122.1,91312,483,768,11610,126158
123.1,92381,462,779,10535,126283
124.1,93481,448,758,9547,126402
125.1,94599,432,737,8642,126528
126.1,95686,416,686,7860,126648
127.1,96756,407,623,7153,126762
128.1,97900,386,627,6557,126877
129.1,99063,355,611,5994,126980
130.1,100064,338,556,5518,127088
131.1,101121,320,523,5093,127178
132.1,102193,311,484,4734,127273
133.1,103238,284,485,4412,127363
134.1,104298,272,490,4120,127431
135.1,105340,248,475,3895,127520
136.1,106361,247,458,3705,127596
137.1,107343,245,410,3579,127669
138.1,108353,234,385,3508,127736
139.1,109383,236,396,3420,127799
140.1,110409,217,365,3375,127872
141.1,111430,213,357,3347,127928
142.1,112421,215,316,3314,127985
143.1,113487,209,309,3292,128038
144.1,114523,188,288,3285,128094
145.1,115451,164,289,3265,128145
146.1,116384,142,284,3249,128196
147.1,117356,142,276,3228,128234
148.1,118255,138,281,3205,128274
149.1,119233,142,267,3208,128310
150.1,120158,139,259,3210,128350
151.1,121057,133,221,3207,128401
152.1,121980,130,181,3213,128438
153.1,122877,125,178,3212,128476
154.1,123772,117,172,3213,128509
155.1,124679,113,186,3209,128537
156.1,125553,110,196,3215,128566
157.1,126416,115,180,3208,128596
158.1,127254,99,192,3209,128634
159.1,128061,99,175,3216,128657
160.1,128860,85,177,3214,128688
161.1,129673,87,164,3217,128709
162.1,130495,85,156,3208,128737
163.1,131232,90,145,3213,128759
164.1,132038,85,151,3218,128786
165.1,132817,73,139,3223,128807
166.1,133559,65,124,3222,128839
167.1,134281,65,110,3216,128856
168.1,134960,61,85,3216,128874
169.1,135686,60,79,3216,128884
170.1,136385,56,95,3226,128896
171.1,137068,45,110,3228,128916
172.1,137743,45,98,3229,128932
173.1,138361,48,91,3227,128942
174.1,138991,49,80,3224,128955
175.1,139632,53,70,3223,128963
176.1,140250,48,67,3225,128973
177.1,140806,45,63,3220,128988
178.1,141360,42,69,3229,128998
