"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9968,32,41,81,0
2.1,9944,47,14,82,0
3.1,9939,50,7,82,0
4.1,9944,53,18,81,0
5.1,9931,52,41,82,0
6.1,9939,58,72,81,0
7.1,9945,70,98,80,0
8.1,9938,87,123,82,0
9.1,9934,109,130,81,0
10.1,9936,131,147,82,0
11.1,9939,153,166,83,0
12.1,9941,168,199,83,0
13.1,9939,199,227,83,0
14.1,9943,227,279,83,1
15.1,9946,266,335,83,1
16.1,9950,310,399,85,1
17.1,9937,346,468,84,1
18.1,9928,400,552,84,1
19.1,9939,465,633,85,1
20.1,9945,520,733,85,1
21.1,9938,591,860,87,2
22.1,9944,660,1035,87,2
23.1,9948,738,1217,88,2
24.1,9944,819,1386,90,2
25.1,9927,912,1567,97,2
26.1,9896,1004,1762,99,3
27.1,9888,1126,1984,102,3
28.1,9887,1237,2212,104,3
29.1,9885,1365,2465,109,3
30.1,9877,1475,2796,116,4
31.1,9866,1598,3126,124,8
32.1,9848,1690,3511,136,11
33.1,9824,1819,3882,146,14
34.1,9806,1959,4276,164,19
35.1,9772,2102,4579,188,25
36.1,9742,2209,4998,216,32
37.1,9705,2343,5435,248,39
38.1,9648,2491,5861,295,54
39.1,9605,2604,6294,346,68
40.1,9565,2731,6736,423,85
41.1,9522,2854,7172,513,107
42.1,9440,2952,7618,611,144
43.1,9338,3047,8003,747,196
44.1,9230,3107,8410,915,256
45.1,9120,3160,8782,1092,326
46.1,8989,3214,9065,1326,415
47.1,8845,3244,9336,1599,547
48.1,8666,3234,9390,1921,701
49.1,8439,3153,9502,2296,867
50.1,8224,3099,9391,2726,1046
51.1,7959,2959,9167,3219,1284
52.1,7686,2821,8887,3755,1542
53.1,7426,2672,8504,4311,1838
54.1,7119,2500,8066,4920,2155
55.1,6833,2301,7602,5518,2499
56.1,6535,2097,6993,6133,2820
57.1,6272,1899,6326,6713,3141
58.1,5990,1680,5595,7253,3477
59.1,5741,1475,4974,7765,3801
60.1,5529,1304,4316,8220,4107
61.1,5348,1138,3721,8618,4408
62.1,5146,972,3209,9023,4682
63.1,4987,845,2719,9354,4937
64.1,4883,747,2257,9631,5144
65.1,4792,642,1914,9895,5338
66.1,4732,566,1581,10131,5507
67.1,4656,466,1305,10321,5664
68.1,4640,424,1098,10493,5777
69.1,4603,355,877,10620,5910
70.1,4592,304,693,10743,6021
71.1,4617,268,572,10833,6107
72.1,4633,246,469,10902,6175
73.1,4658,220,380,10977,6252
74.1,4703,184,346,11026,6322
75.1,4752,165,302,11071,6383
76.1,4787,149,252,11125,6430
77.1,4849,134,212,11177,6479
78.1,4904,112,164,11207,6526
79.1,4951,93,137,11226,6569
80.1,5026,87,112,11233,6593
81.1,5112,79,83,11242,6610
82.1,5176,66,82,11235,6632
83.1,5266,63,78,11240,6655
84.1,5341,52,76,11221,6678
