"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1280,16000,3200,180480
1.1,159425,282,575,628,16034,3200,179862
2.1,159159,407,841,312,16036,3200,179548
3.1,159079,469,921,192,16038,3200,179430
4.1,158987,502,1013,197,16049,3202,179448
5.1,158928,507,1072,291,16055,3210,179556
6.1,158975,522,1025,486,16061,3215,179762
7.1,158951,563,1049,769,16067,3220,180056
8.1,158960,636,1040,1251,16047,3225,180523
9.1,158991,765,1009,1778,16052,3234,181064
10.1,158944,942,1056,2225,16045,3244,181514
11.1,158973,1199,1027,2680,16059,3249,181988
12.1,159004,1488,996,3152,16052,3258,182462
13.1,159019,1793,981,3595,16063,3268,182926
14.1,159036,2142,964,4137,16075,3288,183500
15.1,158998,2511,1002,4866,16051,3305,184222
16.1,158973,2934,1027,5577,16083,3330,184990
17.1,158947,3381,1053,6664,16075,3365,186104
18.1,158994,3840,1006,8001,16088,3392,187481
19.1,158933,4360,1067,9787,16123,3425,189335
20.1,158938,4933,1062,12016,16108,3468,191592
21.1,158927,5584,1073,14366,16127,3522,194015
22.1,158859,6347,1141,16671,16155,3579,196405
23.1,158790,7152,1210,19224,16167,3655,199046
24.1,158691,8011,1309,22221,16231,3721,202173
25.1,158605,8868,1395,25613,16289,3809,205711
26.1,158447,9804,1553,29254,16313,3909,209476
27.1,158325,10776,1675,33492,16459,4035,213986
28.1,158237,11800,1763,38027,16549,4168,218744
29.1,158069,12895,1931,43193,16658,4332,224183
30.1,157927,14057,2073,49418,16841,4521,230780
31.1,157768,15296,2232,56029,17081,4714,237824
32.1,157524,16595,2476,62567,17347,4979,244893
33.1,157187,17744,2813,69563,17621,5277,252461
34.1,156816,19041,3184,76386,17948,5638,259972
35.1,156384,20183,3616,83403,18363,6029,267795
36.1,155787,21302,4213,90863,18840,6481,276184
37.1,155246,22412,4754,98409,19376,6939,284724
38.1,154610,23432,5390,106212,20012,7514,293738
39.1,153865,24504,6135,114445,20645,8161,303251
40.1,152992,25512,7008,122023,21440,8919,312382
41.1,152068,26511,7932,128953,22278,9746,320977
42.1,151081,27354,8919,135908,23262,10699,329869
43.1,149989,28177,10011,142452,24318,11765,338535
44.1,148757,28883,11243,148903,25507,12932,347342
45.1,147280,29375,12720,153963,26725,14289,354977
46.1,145714,29736,14286,157916,28050,15857,361823
47.1,143937,29874,16063,160676,29526,17596,367798
48.1,142059,29903,17941,163397,31053,19461,373911
49.1,140137,29762,19863,164568,32662,21497,378727
50.1,137949,29426,22051,163899,34284,23768,381951
51.1,135938,29290,24062,162409,35863,26079,384351
52.1,133666,28855,26334,160376,37572,28613,386561
53.1,131270,28251,28730,157270,39204,31286,387760
54.1,128847,27509,31153,153332,40816,34148,388296
55.1,126249,26599,33751,147636,42416,37204,387256
56.1,123769,25777,36231,141200,43912,40225,385337
57.1,121320,24907,38680,134697,45465,43305,383467
58.1,118994,23954,41006,127533,46866,46459,380858
59.1,116640,23020,43360,120072,48249,49698,378019
60.1,114259,21946,45741,113024,49487,52932,375443
61.1,112030,20987,47970,106035,50685,56118,372838
62.1,109838,19866,50162,99432,51818,59298,370548
63.1,107802,18958,52198,92521,52922,62405,367848
64.1,105815,18036,54185,85608,53959,65431,364998
65.1,104059,17131,55941,79349,54873,68298,362520
66.1,102426,16298,57574,73090,55628,71182,359900
67.1,100884,15562,59116,66908,56324,73997,357229
68.1,99381,14835,60619,61083,56954,76805,354842
69.1,98064,14038,61936,55831,57524,79402,352757
70.1,96877,13326,63123,51225,58031,81958,351214
71.1,95854,12726,64146,47068,58463,84388,349919
72.1,94862,12112,65138,43648,58838,86777,349263
73.1,93993,11467,66007,40370,59166,89087,348623
74.1,93227,10895,66773,37279,59450,91329,348058
75.1,92623,10359,67377,34381,59623,93422,347426
76.1,92127,9888,67873,31972,59775,95485,347232
77.1,91667,9484,68333,29598,59877,97419,346894
78.1,91328,9026,68672,27367,59946,99317,346630
79.1,91071,8574,68929,25591,59938,101117,346646
80.1,90882,8122,69118,23823,59855,102908,346586
81.1,90821,7733,69179,22003,59729,104592,346324
82.1,90849,7446,69151,20352,59496,106210,346058
83.1,90987,7088,69013,19036,59252,107750,346038
84.1,91156,6768,68844,17638,58860,109210,345708
85.1,91460,6500,68540,16362,58416,110581,345359
86.1,91802,6199,68198,15133,57948,111900,344981
87.1,92155,5944,67845,14314,57389,113133,344836
88.1,92562,5643,67438,13722,56724,114386,344832
89.1,93076,5378,66924,12930,55977,115568,344475
90.1,93624,5213,66376,12049,55038,116759,343846
91.1,94195,5081,65805,11419,54058,117861,343338
92.1,94790,4883,65210,10689,52975,118917,342581
93.1,95451,4638,64549,9888,51769,120000,341657
94.1,96155,4443,63845,9203,50487,120998,340688
95.1,96968,4295,63032,8665,49081,121940,339686
96.1,97775,4062,62225,8189,47600,122930,338719
97.1,98612,3944,61388,7808,46005,123814,337627
98.1,99442,3760,60558,7495,44347,124679,336521
99.1,100298,3575,59702,7145,42668,125526,335339
100.1,101319,3467,58681,6900,40890,126287,334077
101.1,102261,3384,57739,6467,39107,127033,332607
102.1,103247,3289,56753,6189,37301,127765,331255
103.1,104170,3205,55830,5715,35431,128490,329636
104.1,105226,3096,54774,5657,33564,129133,328354
105.1,106184,2953,53816,5358,31786,129806,326950
106.1,107220,2865,52780,5116,29974,130488,325578
107.1,108204,2752,51796,4919,28341,131137,324397
108.1,109381,2673,50619,4613,26722,131731,323066
109.1,110372,2578,49628,4433,25310,132322,322065
110.1,111346,2418,48654,4332,23885,132924,321141
111.1,112445,2373,47555,4185,22541,133418,320144
112.1,113456,2271,46544,3982,21388,133964,319334
113.1,114522,2220,45478,3797,20385,134478,318660
114.1,115616,2190,44384,3590,19527,134985,318102
115.1,116779,2154,43221,3468,18784,135442,317694
116.1,117845,2104,42155,3368,18214,135898,317480
117.1,118838,2056,41162,3294,17756,136350,317400
118.1,119847,1975,40153,3199,17398,136815,317412
119.1,120894,1937,39106,3157,17084,137243,317484
120.1,121913,1898,38087,3169,16819,137692,317680
121.1,122849,1837,37151,3103,16652,138141,317896
122.1,123831,1769,36169,2903,16522,138563,317988
123.1,124845,1752,35155,2781,16388,138939,318108
124.1,125814,1731,34186,2613,16291,139342,318246
125.1,126765,1689,33235,2503,16245,139700,318448
126.1,127661,1611,32339,2464,16186,140069,318719
127.1,128557,1547,31443,2448,16123,140423,318994
128.1,129546,1480,30454,2413,16085,140789,319287
129.1,130387,1414,29613,2340,16048,141153,319541
130.1,131308,1381,28692,2229,16031,141485,319745
131.1,132249,1360,27751,2109,16051,141805,319965
132.1,133101,1343,26899,1982,16037,142112,320131
133.1,133965,1305,26035,2017,16042,142412,320471
134.1,134895,1260,25105,1997,16049,142686,320732
135.1,135705,1213,24295,1997,16059,142960,321016
136.1,136583,1204,23417,1921,16060,143225,321206
137.1,137398,1175,22602,1854,16064,143486,321404
138.1,138127,1119,21873,1866,16070,143754,321690
139.1,138866,1107,21134,1774,16092,143984,321850
140.1,139641,1066,20359,1694,16077,144277,322048
141.1,140346,1041,19654,1586,16093,144513,322192
142.1,141044,1037,18956,1453,16095,144745,322293
143.1,141798,1032,18202,1385,16092,144937,322414
144.1,142458,1006,17542,1421,16085,145145,322651
145.1,143097,956,16903,1372,16081,145378,322831
146.1,143695,911,16305,1325,16104,145602,323031
147.1,144256,833,15744,1313,16106,145805,323224
148.1,144899,820,15101,1275,16105,145974,323354
149.1,145480,805,14520,1225,16120,146133,323478
150.1,146067,796,13933,1138,16143,146280,323561
151.1,146649,749,13351,1107,16158,146459,323724
152.1,147142,716,12858,1117,16152,146608,323877
153.1,147636,697,12364,1060,16141,146711,323912
154.1,148168,670,11832,1022,16117,146836,323975
155.1,148698,649,11302,971,16125,146939,324035
156.1,149189,668,10811,902,16135,146995,324032
157.1,149694,645,10306,811,16144,147083,324038
158.1,150099,614,9901,816,16148,147162,324126
159.1,150542,570,9458,834,16130,147218,324182
160.1,150943,555,9057,873,16109,147268,324250
161.1,151322,542,8678,896,16088,147312,324296
162.1,151703,531,8297,857,16090,147341,324288
163.1,152056,516,7944,757,16069,147365,324191
164.1,152448,522,7552,669,16044,147354,324067
165.1,152802,485,7198,699,16059,147377,324135
166.1,153154,454,6846,701,16051,147360,324112
167.1,153486,459,6514,725,16050,147344,324119
168.1,153845,433,6155,683,16043,147322,324048
169.1,154122,428,5878,646,16032,147281,323959
170.1,154408,417,5592,607,16048,147238,323893
171.1,154647,409,5353,572,16033,147203,323808
172.1,154895,407,5105,571,16034,147159,323764
173.1,155122,399,4878,548,16044,147127,323719
174.1,155333,368,4667,495,16037,147078,323610
175.1,155588,358,4412,472,16046,147045,323563
176.1,155774,344,4226,469,16055,147019,323543
177.1,155971,331,4029,454,16038,146999,323491
178.1,156209,323,3791,442,16043,146974,323459
179.1,156416,319,3584,433,16042,146944,323419
180.1,156629,315,3371,468,16039,146931,323438
181.1,156739,308,3261,430,16035,146902,323367
182.1,156901,286,3099,441,16046,146858,323345
183.1,157113,284,2887,424,16058,146813,323295
184.1,157233,272,2767,418,16052,146782,323252
185.1,157373,262,2627,404,16044,146733,323181
186.1,157512,251,2488,370,16056,146689,323115
187.1,157667,245,2333,340,16070,146604,323014
188.1,157752,229,2248,362,16052,146550,322964
189.1,157833,219,2167,360,16060,146474,322894
190.1,157927,218,2073,339,16070,146373,322782
191.1,158031,216,1969,317,16083,146268,322668
192.1,158079,214,1921,260,16094,146143,322497
193.1,158145,215,1855,253,16097,145946,322296
194.1,158201,213,1799,246,16095,145736,322077
195.1,158278,199,1722,253,16098,145535,321886
196.1,158361,195,1639,269,16092,145249,321610
197.1,158462,197,1538,262,16104,144984,321350
198.1,158563,191,1437,272,16114,144640,321026
199.1,158634,199,1366,278,16107,144259,320644
200.1,158716,201,1284,262,16110,143760,320132
201.1,158761,194,1239,272,16107,143291,319670
202.1,158798,185,1202,261,16110,142732,319103
203.1,158838,182,1162,253,16115,142152,318520
204.1,158886,171,1114,275,16115,141437,317827
205.1,158919,157,1081,309,16081,140665,317055
206.1,159002,144,998,282,16095,139846,316223
207.1,159067,146,933,244,16102,138944,315290
208.1,159095,148,905,258,16116,137957,314331
209.1,159102,151,898,262,16096,136903,313261
210.1,159156,151,844,251,16064,135784,312099
211.1,159177,152,823,248,16056,134490,310794
212.1,159200,147,800,224,16075,133138,309437
213.1,159245,156,755,216,16068,131705,307989
214.1,159254,154,746,206,16069,130197,306472
215.1,159299,149,701,181,16052,128581,304814
216.1,159316,134,684,218,16035,126896,303149
217.1,159335,130,665,257,16042,125116,301415
218.1,159361,127,639,262,16045,123233,299540
219.1,159374,126,626,256,16049,121222,297527
220.1,159376,119,624,244,16033,119133,295410
221.1,159391,118,609,200,16033,116963,293196
222.1,159398,124,602,187,16029,114691,290907
223.1,159445,123,555,188,16037,112358,288583
224.1,159454,112,546,193,16032,109984,286209
225.1,159466,111,534,181,16030,107569,283780
226.1,159484,115,516,158,16035,105094,281287
227.1,159505,111,495,174,16045,102575,278794
228.1,159510,112,490,159,16038,100054,276251
229.1,159507,109,493,168,16033,97454,273655
230.1,159512,104,488,197,16035,94885,271117
231.1,159503,118,497,193,16042,92322,268557
232.1,159482,117,518,184,16038,89726,265948
233.1,159529,112,471,181,16046,87205,263432
234.1,159533,110,467,212,16047,84650,260909
235.1,159550,112,450,200,16054,82077,258331
236.1,159562,117,438,201,16043,79581,255825
237.1,159558,113,442,195,16052,77122,253369
238.1,159559,115,441,190,16056,74743,250989
239.1,159577,120,423,172,16046,72387,248605
240.1,159569,126,431,171,16070,70070,246311
