"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9964,27,40,76,0
2.1,9953,38,14,76,0
3.1,9942,44,8,75,0
4.1,9930,45,12,75,0
5.1,9932,45,30,74,0
6.1,9933,47,57,74,0
7.1,9931,53,74,74,0
8.1,9948,59,87,74,0
9.1,9946,71,99,74,0
10.1,9942,84,111,73,0
11.1,9944,103,107,74,0
12.1,9930,120,118,74,0
13.1,9938,134,144,75,0
14.1,9938,154,177,74,0
15.1,9935,172,216,75,0
16.1,9938,200,266,75,0
17.1,9932,243,292,75,0
18.1,9931,273,348,76,1
19.1,9947,310,389,77,2
20.1,9950,350,439,76,3
21.1,9949,392,507,78,3
22.1,9939,431,596,77,3
23.1,9930,481,690,78,3
24.1,9930,529,805,80,3
25.1,9917,590,905,80,3
26.1,9921,639,998,82,4
27.1,9916,688,1107,86,6
28.1,9910,758,1198,88,7
29.1,9905,816,1321,93,8
30.1,9912,895,1514,97,12
31.1,9913,966,1697,101,13
32.1,9889,1042,1840,104,15
33.1,9878,1130,1988,111,19
34.1,9865,1208,2144,122,24
35.1,9854,1301,2382,125,25
36.1,9828,1390,2591,136,27
37.1,9816,1472,2781,144,30
38.1,9791,1555,3045,155,35
39.1,9764,1645,3310,171,42
40.1,9737,1721,3511,195,50
41.1,9701,1785,3745,213,63
42.1,9653,1876,3970,242,74
43.1,9603,1933,4165,275,89
44.1,9551,1999,4425,311,96
45.1,9491,2064,4654,354,121
46.1,9437,2143,4849,406,145
47.1,9374,2218,5090,464,173
48.1,9297,2278,5240,527,212
49.1,9214,2316,5380,610,256
50.1,9114,2346,5560,688,326
51.1,9009,2389,5671,793,385
