"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1280,3200,3200,167680
1.1,159385,265,615,650,3232,3200,167082
2.1,159096,390,904,304,3237,3200,166741
3.1,158972,446,1028,160,3240,3200,166600
4.1,158924,464,1076,149,3228,3202,166579
5.1,158850,469,1150,279,3250,3204,166733
6.1,158882,483,1118,487,3254,3209,166950
7.1,158920,521,1080,826,3263,3215,167304
8.1,158936,586,1064,1236,3257,3226,167719
9.1,158985,716,1015,1699,3265,3237,168201
10.1,159013,896,987,2193,3260,3244,168697
11.1,159023,1135,977,2645,3255,3254,169154
12.1,159002,1427,998,3108,3247,3263,169618
13.1,159030,1765,970,3457,3259,3272,169988
14.1,158986,2122,1014,3979,3264,3279,170522
15.1,159006,2468,994,4607,3261,3294,171162
16.1,158992,2826,1008,5443,3261,3312,172016
17.1,158947,3245,1053,6584,3271,3330,173185
18.1,158942,3717,1058,7890,3279,3352,174521
19.1,158976,4199,1024,9633,3268,3381,176282
20.1,159010,4796,990,11633,3283,3422,178338
21.1,158952,5446,1048,14149,3293,3460,180902
22.1,158944,6201,1056,16709,3324,3516,183549
23.1,158915,6952,1085,19648,3342,3580,186570
24.1,158835,7832,1165,22662,3348,3651,189661
25.1,158719,8750,1281,25977,3378,3719,193074
26.1,158569,9658,1431,29629,3392,3816,196837
27.1,158419,10678,1581,33588,3415,3926,200929
28.1,158366,11750,1634,38072,3452,4062,205586
29.1,158297,12900,1703,43119,3475,4193,210787
30.1,158106,14044,1894,49024,3522,4366,216912
31.1,157995,15171,2005,55850,3599,4554,224003
32.1,157791,16351,2209,63281,3643,4782,231706
33.1,157506,17600,2494,70871,3715,5049,239635
34.1,157112,18875,2888,79160,3809,5366,248335
35.1,156686,20118,3314,87005,3887,5732,256624
36.1,156169,21275,3831,94490,3980,6130,264600
37.1,155591,22432,4409,102531,4088,6596,273215
38.1,154951,23504,5049,110352,4229,7123,281704
39.1,154331,24698,5669,118328,4374,7674,290376
40.1,153594,25792,6406,126432,4513,8385,299330
41.1,152726,26863,7274,134405,4694,9150,308249
42.1,151748,27788,8252,142610,4949,10062,317621
43.1,150712,28595,9288,149364,5160,10992,325516
44.1,149515,29332,10485,156034,5379,12118,333531
45.1,148170,30013,11830,161983,5681,13385,341049
46.1,146715,30528,13285,167839,5979,14795,348613
47.1,145099,30901,14901,172040,6326,16388,354754
48.1,143358,31099,16642,175130,6680,18154,359964
49.1,141495,31213,18505,177728,7056,20113,364897
50.1,139359,31055,20641,178404,7473,22285,368162
51.1,137167,30804,22833,178191,7885,24534,370610
52.1,134836,30379,25164,177102,8257,27042,372401
53.1,132517,29899,27483,175157,8660,29717,373534
54.1,130168,29396,29832,171964,9043,32510,373517
55.1,127747,28771,32253,166831,9438,35409,371678
56.1,125213,27957,34787,161829,9840,38452,370121
57.1,122699,27159,37301,155953,10270,41590,367813
58.1,120102,26272,39898,149510,10637,44793,364940
59.1,117512,25267,42488,143280,10974,48169,362423
60.1,115012,24181,44988,135488,11322,51544,358354
61.1,112532,23062,47468,127556,11670,54969,354195
62.1,110211,22053,49789,119418,11993,58366,349777
63.1,107765,20923,52235,111008,12285,61786,345079
64.1,105647,19905,54353,103208,12552,65062,340822
65.1,103591,18867,56409,95414,12791,68325,336530
66.1,101635,17840,58365,88026,13021,71554,332601
67.1,99769,16931,60231,81107,13220,74640,328967
68.1,97976,16053,62024,74517,13395,77605,325517
69.1,96303,15132,63697,67708,13576,80555,321839
70.1,94884,14369,65116,62006,13753,83337,319096
71.1,93543,13604,66457,56361,13879,86065,316305
72.1,92339,12940,67661,51164,13989,88688,313841
73.1,91309,12268,68691,47028,14101,91163,312292
74.1,90328,11587,69672,43139,14218,93576,310933
75.1,89542,11050,70458,39659,14294,95852,309805
76.1,88762,10452,71238,35894,14355,98135,308384
77.1,88199,9950,71801,32976,14401,100241,307618
78.1,87754,9514,72246,30461,14418,102241,307120
79.1,87305,9047,72695,28039,14410,104189,306638
80.1,87010,8673,72990,25944,14418,106119,306481
81.1,86744,8260,73256,23935,14406,107913,306254
82.1,86736,7909,73264,22405,14393,109656,306454
83.1,86640,7542,73360,20595,14342,111377,306314
84.1,86652,7211,73348,19189,14281,113011,306481
85.1,86650,6810,73350,17542,14197,114625,306364
