"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9961,33,33,76,0
2.1,9949,39,16,75,0
3.1,9944,42,11,75,0
4.1,9935,44,20,76,0
5.1,9936,45,41,76,0
6.1,9935,47,64,75,0
7.1,9932,60,72,74,0
8.1,9947,69,92,74,0
9.1,9944,79,108,74,0
10.1,9943,96,118,75,0
11.1,9947,119,123,75,0
12.1,9929,135,150,75,0
13.1,9942,160,175,75,0
14.1,9944,179,215,75,0
15.1,9941,199,254,76,0
16.1,9941,236,288,75,0
17.1,9935,265,346,75,0
18.1,9938,302,402,75,0
19.1,9948,344,463,75,0
20.1,9942,388,535,74,1
21.1,9943,435,617,74,1
22.1,9938,496,693,73,1
23.1,9925,542,799,74,1
24.1,9926,598,919,76,1
25.1,9915,652,997,78,2
26.1,9910,716,1102,80,2
27.1,9917,777,1227,81,3
28.1,9910,850,1361,85,3
29.1,9898,918,1546,85,4
30.1,9904,1000,1716,88,7
31.1,9901,1076,1907,91,8
32.1,9876,1162,2108,89,8
33.1,9868,1245,2335,92,11
34.1,9859,1331,2531,96,12
35.1,9831,1416,2720,102,14
36.1,9802,1483,2937,104,17
37.1,9783,1538,3184,112,21
38.1,9763,1643,3402,119,25
39.1,9741,1725,3604,128,30
40.1,9718,1820,3839,136,41
41.1,9686,1912,4076,144,46
42.1,9642,2011,4291,153,55
43.1,9578,2083,4496,162,64
44.1,9535,2131,4730,173,73
45.1,9471,2190,4966,192,87
46.1,9402,2249,5257,204,107
47.1,9352,2332,5524,223,130
48.1,9274,2408,5720,242,158
49.1,9198,2449,5929,265,187
50.1,9098,2472,6043,286,221
51.1,9010,2529,6134,311,264
52.1,8895,2551,6250,352,325
53.1,8782,2571,6434,390,378
54.1,8678,2609,6523,431,446
55.1,8547,2622,6620,469,526
56.1,8390,2597,6600,527,607
57.1,8250,2567,6635,587,711
58.1,8089,2565,6633,642,821
59.1,7907,2523,6605,701,954
60.1,7734,2467,6580,768,1115
61.1,7587,2434,6525,831,1253
62.1,7394,2345,6393,907,1420
63.1,7226,2292,6273,969,1594
64.1,7041,2231,6037,1048,1775
65.1,6828,2115,5772,1097,1965
66.1,6625,2008,5501,1153,2174
67.1,6432,1906,5220,1221,2406
68.1,6236,1795,4934,1304,2645
69.1,6041,1675,4695,1353,2902
70.1,5833,1555,4370,1394,3137
71.1,5669,1447,4061,1431,3369
72.1,5521,1349,3751,1479,3599
73.1,5382,1246,3479,1518,3837
74.1,5225,1134,3154,1562,4052
75.1,5115,1037,2864,1596,4269
76.1,5025,959,2582,1622,4460
77.1,4942,893,2335,1649,4641
78.1,4843,814,2063,1675,4825
79.1,4777,740,1822,1703,4989
80.1,4715,675,1605,1723,5166
81.1,4677,634,1430,1739,5311
82.1,4649,585,1275,1754,5452
83.1,4600,539,1086,1766,5588
84.1,4554,483,965,1768,5737
85.1,4561,429,893,1770,5855
86.1,4591,409,774,1776,5948
87.1,4583,371,698,1779,6059
88.1,4612,342,623,1776,6163
89.1,4635,307,572,1770,6261
90.1,4683,293,495,1768,6336
91.1,4719,256,451,1758,6408
92.1,4765,233,427,1741,6469
93.1,4839,225,386,1729,6521
94.1,4899,216,353,1705,6576
95.1,4969,198,322,1688,6636
96.1,5038,181,287,1669,6690
