"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9962,32,37,80,0
2.1,9948,40,15,80,0
3.1,9946,47,6,80,0
4.1,9942,49,1,80,0
5.1,9938,50,0,80,0
6.1,9934,49,0,80,1
7.1,9931,49,0,80,2
8.1,9945,49,0,80,2
9.1,9943,49,0,80,3
10.1,9944,49,0,80,3
11.1,9948,49,0,80,3
12.1,9932,49,0,80,3
13.1,9944,49,0,80,3
14.1,9949,49,0,80,3
15.1,9942,48,0,80,4
16.1,9949,48,0,80,4
17.1,9943,48,0,80,4
18.1,9945,48,0,80,4
19.1,9950,48,0,80,4
20.1,9946,48,0,80,4
21.1,9944,48,0,80,4
22.1,9944,48,0,80,4
23.1,9932,48,0,80,4
24.1,9926,37,0,80,4
25.1,9921,27,0,80,4
26.1,9926,15,0,80,4
27.1,9951,7,0,80,4
28.1,9948,1,0,80,4
29.1,9934,0,0,80,4
30.1,9952,0,0,80,4
31.1,9964,0,0,80,4
32.1,9945,0,0,80,4
33.1,9949,0,0,80,4
34.1,9952,0,0,80,4
35.1,9951,0,0,80,4
36.1,9935,0,0,80,4
37.1,9943,0,0,80,4
38.1,9944,0,0,80,4
39.1,9950,0,0,80,4
40.1,9963,0,0,80,4
41.1,9957,0,0,80,4
42.1,9955,0,0,80,4
43.1,9952,0,0,80,4
44.1,9962,0,0,80,4
45.1,9961,0,0,80,4
46.1,9960,0,0,80,4
47.1,9964,0,0,80,4
48.1,9959,0,0,80,4
49.1,9956,0,0,80,4
50.1,9960,0,0,80,4
51.1,9954,0,0,80,4
52.1,9958,0,0,80,4
53.1,9957,0,0,80,4
54.1,9953,0,0,80,4
55.1,9941,0,0,80,4
56.1,9954,0,0,80,4
57.1,9953,0,0,80,4
58.1,9952,0,0,80,4
59.1,9943,0,0,80,4
60.1,9942,0,0,80,4
61.1,9947,0,0,80,4
62.1,9952,0,0,80,4
63.1,9952,0,0,80,4
64.1,9954,0,0,80,4
65.1,9957,0,0,80,4
66.1,9952,0,0,80,4
67.1,9955,0,0,80,4
68.1,9958,0,0,80,4
69.1,9957,0,0,80,4
70.1,9952,0,0,80,4
71.1,9953,0,0,80,4
72.1,9949,0,0,80,4
73.1,9956,0,0,80,4
74.1,9946,0,0,80,4
75.1,9956,0,0,80,4
76.1,9966,0,0,80,4
77.1,9955,0,0,80,4
78.1,9961,0,0,80,4
79.1,9951,0,0,80,4
80.1,9955,0,0,80,4
81.1,9959,0,0,80,4
82.1,9957,0,0,80,4
83.1,9944,0,0,80,4
84.1,9951,0,0,80,4
85.1,9949,0,0,80,4
86.1,9958,0,0,80,4
87.1,9952,0,0,80,4
88.1,9959,0,0,80,4
89.1,9969,0,0,80,4
90.1,9958,0,0,80,4
91.1,9961,0,0,80,4
92.1,9964,0,0,80,4
93.1,9964,0,0,80,4
94.1,9961,0,0,80,4
95.1,9960,0,0,80,4
96.1,9957,0,0,80,4
97.1,9971,0,0,80,4
98.1,9953,0,0,80,4
99.1,9947,0,0,80,4
100.1,9959,0,0,80,4
101.1,9958,0,0,80,4
102.1,9966,0,0,80,4
103.1,9961,0,0,80,4
104.1,9955,0,0,80,4
105.1,9956,0,0,80,4
106.1,9955,0,0,80,4
107.1,9952,0,0,80,4
108.1,9952,0,0,80,4
109.1,9952,0,0,80,4
110.1,9967,0,0,80,4
111.1,9968,0,0,80,4
112.1,9962,0,0,80,4
113.1,9950,0,0,80,4
114.1,9951,0,0,80,4
115.1,9964,0,0,80,4
116.1,9964,0,0,80,4
117.1,9966,0,0,80,4
118.1,9956,0,0,80,4
119.1,9962,0,0,80,4
120.1,9956,0,0,80,4
121.1,9957,0,0,80,4
122.1,9969,0,0,80,4
123.1,9957,0,0,80,4
124.1,9953,0,0,80,4
125.1,9955,0,0,80,4
126.1,9948,0,0,80,4
127.1,9954,0,0,80,4
128.1,9950,0,0,80,4
129.1,9951,0,0,80,4
130.1,9954,0,0,80,4
131.1,9956,0,0,80,4
132.1,9956,0,0,80,4
133.1,9948,0,0,80,4
134.1,9953,0,0,80,4
135.1,9957,0,0,80,4
136.1,9950,0,0,80,4
137.1,9968,0,0,80,4
138.1,9958,0,0,80,4
139.1,9962,0,0,80,4
140.1,9959,0,0,80,4
141.1,9958,0,0,80,4
142.1,9953,0,0,80,4
143.1,9957,0,0,80,4
144.1,9966,0,0,80,4
145.1,9970,0,0,80,4
146.1,9967,0,0,80,4
147.1,9972,0,0,80,4
148.1,9962,0,0,80,4
149.1,9956,0,0,80,4
150.1,9962,0,0,80,4
151.1,9959,0,0,80,4
152.1,9963,0,0,80,4
153.1,9962,0,0,80,4
154.1,9963,0,0,80,3
155.1,9962,0,0,80,3
156.1,9965,0,0,80,3
157.1,9960,0,0,80,3
158.1,9953,0,0,80,3
159.1,9956,0,0,80,3
160.1,9949,0,0,80,3
161.1,9952,0,0,80,3
162.1,9960,0,0,80,3
163.1,9962,0,0,80,3
164.1,9951,0,0,80,3
165.1,9956,0,0,80,2
166.1,9960,0,0,80,2
167.1,9953,0,0,80,2
168.1,9955,0,0,80,2
169.1,9952,0,0,80,2
170.1,9943,0,0,80,2
171.1,9955,0,0,80,1
172.1,9965,0,0,80,1
173.1,9962,0,0,80,1
174.1,9973,0,0,80,1
175.1,9970,0,0,80,1
176.1,9969,0,0,80,1
177.1,9951,0,0,80,1
178.1,9960,0,0,80,1
179.1,9958,0,0,80,1
180.1,9954,0,0,80,1
181.1,9960,0,0,80,1
182.1,9969,0,0,80,1
183.1,9961,0,0,80,0
184.1,9962,0,0,80,0
185.1,9964,0,0,80,0
186.1,9951,0,0,80,0
187.1,9963,0,0,80,0
188.1,9963,0,0,80,0
189.1,9966,0,0,80,0
190.1,9959,0,0,80,0
191.1,9967,0,0,80,0
192.1,9963,0,0,80,0
193.1,9960,0,0,80,0
194.1,9962,0,0,80,0
195.1,9960,0,0,80,0
196.1,9974,0,0,80,0
197.1,9966,0,0,80,0
198.1,9958,0,0,80,0
199.1,9961,0,0,80,0
200.1,9966,0,0,80,0
201.1,9968,0,0,80,0
202.1,9973,0,0,80,0
203.1,9961,0,0,80,0
204.1,9965,0,0,80,0
205.1,9964,0,0,80,0
206.1,9967,0,0,80,0
207.1,9964,0,0,80,0
208.1,9953,0,0,80,0
209.1,9960,0,0,80,0
210.1,9950,0,0,80,0
211.1,9948,0,0,80,0
212.1,9960,0,0,80,0
213.1,9957,0,0,80,0
214.1,9958,0,0,80,0
