"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9961,28,36,76,0
2.1,9953,40,11,76,0
3.1,9947,44,6,75,0
4.1,9939,44,17,75,0
5.1,9938,46,37,74,0
6.1,9934,47,66,75,0
7.1,9929,55,84,75,0
8.1,9949,68,97,75,0
9.1,9948,86,104,76,0
10.1,9942,98,118,74,0
11.1,9946,119,130,74,0
12.1,9929,136,158,74,0
13.1,9936,160,187,74,0
14.1,9940,186,218,73,0
15.1,9937,211,250,73,0
16.1,9943,235,291,73,0
17.1,9940,264,348,75,0
18.1,9945,290,402,76,0
19.1,9962,334,456,77,0
20.1,9949,372,533,78,2
21.1,9942,427,601,77,2
22.1,9942,476,672,77,2
23.1,9929,513,768,77,3
24.1,9916,574,850,79,4
25.1,9913,638,968,83,4
26.1,9907,703,1055,83,5
27.1,9923,771,1164,85,6
28.1,9917,835,1296,86,6
29.1,9912,911,1476,85,8
30.1,9918,996,1662,83,8
31.1,9920,1073,1883,86,8
32.1,9891,1148,2106,86,9
33.1,9877,1216,2272,89,11
34.1,9865,1310,2476,94,13
35.1,9839,1415,2677,100,15
36.1,9812,1509,2902,103,17
37.1,9802,1587,3095,104,19
38.1,9762,1666,3392,108,26
39.1,9742,1775,3613,108,30
40.1,9720,1871,3786,114,37
41.1,9678,1946,4070,121,46
42.1,9641,2036,4293,131,57
43.1,9586,2117,4589,140,70
44.1,9539,2192,4832,148,84
45.1,9496,2297,5094,160,100
46.1,9441,2400,5345,172,114
47.1,9386,2492,5577,186,128
48.1,9318,2571,5808,203,152
49.1,9222,2601,6081,220,184
50.1,9141,2673,6308,242,221
51.1,9046,2714,6573,266,271
52.1,8921,2749,6746,287,326
53.1,8819,2806,6876,314,385
54.1,8701,2836,7028,342,450
55.1,8553,2843,7152,374,533
56.1,8403,2815,7321,420,641
57.1,8294,2831,7365,469,745
58.1,8129,2778,7415,511,865
59.1,7928,2720,7308,564,996
60.1,7742,2671,7189,611,1152
61.1,7524,2571,7068,665,1343
62.1,7324,2484,6938,724,1545
63.1,7105,2377,6677,783,1754
64.1,6882,2232,6417,841,2010
65.1,6664,2082,6144,897,2265
66.1,6443,1949,5713,966,2508
67.1,6245,1816,5359,1031,2758
68.1,6033,1690,4934,1089,3047
69.1,5851,1578,4509,1138,3295
70.1,5629,1421,4166,1188,3577
71.1,5451,1295,3753,1226,3852
72.1,5295,1179,3371,1266,4087
73.1,5120,1040,2979,1304,4368
74.1,4992,937,2613,1323,4592
75.1,4891,821,2312,1351,4811
76.1,4815,739,2025,1383,4993
77.1,4747,674,1729,1389,5155
78.1,4671,634,1492,1405,5330
79.1,4609,575,1315,1414,5477
80.1,4562,541,1158,1423,5600
81.1,4555,498,1020,1428,5731
82.1,4542,450,900,1433,5850
83.1,4532,405,811,1436,5960
84.1,4514,379,719,1434,6073
85.1,4546,355,656,1437,6161
86.1,4557,339,571,1433,6245
87.1,4573,296,504,1432,6347
88.1,4589,274,430,1433,6429
89.1,4648,249,408,1424,6506
90.1,4679,216,379,1415,6579
91.1,4729,199,327,1414,6643
92.1,4771,180,299,1402,6696
93.1,4827,173,265,1382,6749
94.1,4892,161,229,1367,6810
95.1,4965,159,190,1348,6854
96.1,5025,149,166,1332,6902
97.1,5091,140,137,1311,6948
98.1,5161,125,141,1286,6979
99.1,5234,112,132,1266,7015
100.1,5303,111,119,1241,7045
101.1,5385,104,120,1217,7069
102.1,5466,96,113,1199,7097
103.1,5539,85,108,1159,7124
104.1,5617,83,100,1117,7151
105.1,5708,78,81,1087,7176
106.1,5789,74,77,1048,7194
107.1,5862,72,68,996,7212
108.1,5957,74,61,957,7230
109.1,6028,68,60,918,7259
110.1,6112,61,58,879,7278
111.1,6194,59,50,842,7292
112.1,6278,56,53,792,7306
113.1,6354,53,50,748,7320
114.1,6443,45,56,711,7332
115.1,6535,50,47,673,7343
116.1,6621,45,48,624,7358
117.1,6702,45,39,588,7366
118.1,6775,45,38,554,7373
119.1,6838,36,41,503,7386
120.1,6918,29,40,470,7400
121.1,7019,28,38,443,7408
122.1,7095,28,35,415,7414
123.1,7188,33,31,381,7419
124.1,7274,34,33,356,7426
125.1,7339,30,36,325,7434
126.1,7431,30,31,295,7443
127.1,7519,31,25,273,7449
128.1,7587,30,27,248,7454
129.1,7650,29,30,213,7459
130.1,7717,29,30,195,7471
131.1,7770,29,29,177,7478
132.1,7832,21,28,160,7488
133.1,7896,21,22,145,7493
134.1,7983,16,15,136,7501
135.1,8040,18,16,127,7503
136.1,8119,16,17,114,7508
137.1,8186,17,21,103,7509
138.1,8267,20,19,94,7514
139.1,8342,22,17,85,7518
140.1,8388,18,20,81,7524
141.1,8470,22,20,80,7527
142.1,8512,18,22,76,7532
143.1,8579,21,19,75,7537
144.1,8637,21,18,74,7541
145.1,8699,18,20,73,7547
146.1,8751,17,17,72,7552
147.1,8807,16,19,72,7556
148.1,8868,17,22,72,7558
149.1,8907,16,24,72,7561
150.1,8948,14,16,72,7569
151.1,8996,13,15,71,7571
152.1,9044,10,18,71,7575
153.1,9091,10,12,70,7580
