"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9958,32,37,76,0
2.1,9949,41,9,75,0
3.1,9943,44,6,75,0
4.1,9932,44,12,75,0
5.1,9935,45,36,75,0
6.1,9936,47,62,75,0
7.1,9931,54,83,75,0
8.1,9949,64,95,75,0
9.1,9945,78,104,76,1
10.1,9942,98,108,76,1
11.1,9945,115,123,75,1
12.1,9938,135,148,76,1
13.1,9945,154,161,76,1
14.1,9942,170,202,75,1
15.1,9936,192,240,74,1
16.1,9932,231,275,75,2
17.1,9932,263,332,74,2
18.1,9936,306,362,75,2
19.1,9949,333,431,76,2
20.1,9945,364,511,76,2
21.1,9943,413,585,75,2
22.1,9945,463,683,74,2
23.1,9932,506,794,75,2
24.1,9921,565,872,75,2
25.1,9914,605,946,75,2
26.1,9911,655,1012,75,3
27.1,9917,716,1132,77,3
28.1,9910,783,1269,80,5
29.1,9898,858,1441,80,5
30.1,9905,939,1584,83,7
31.1,9911,1033,1737,85,9
32.1,9882,1114,1899,82,10
33.1,9873,1184,2083,88,11
34.1,9868,1278,2308,92,13
35.1,9838,1359,2481,92,14
36.1,9813,1428,2786,94,15
37.1,9802,1527,2987,97,18
38.1,9778,1624,3210,101,19
39.1,9745,1712,3451,106,20
40.1,9730,1790,3750,112,23
41.1,9709,1893,4008,120,27
42.1,9657,1991,4304,127,30
43.1,9611,2087,4579,138,34
44.1,9585,2182,4804,154,38
45.1,9544,2271,5082,170,41
46.1,9481,2364,5325,186,46
47.1,9435,2453,5625,204,50
48.1,9368,2513,5873,225,65
49.1,9305,2601,6136,251,81
50.1,9249,2689,6464,275,97
51.1,9168,2745,6698,298,108
52.1,9069,2795,6918,330,137
53.1,8962,2837,7083,374,176
54.1,8850,2862,7290,421,215
55.1,8698,2874,7433,472,263
56.1,8587,2914,7528,526,314
57.1,8454,2902,7617,600,380
58.1,8308,2877,7630,671,464
59.1,8145,2843,7654,749,566
60.1,7983,2803,7580,825,670
61.1,7788,2715,7511,903,797
62.1,7580,2639,7442,982,932
63.1,7377,2571,7284,1084,1093
64.1,7169,2481,7026,1172,1264
65.1,6973,2373,6696,1271,1461
66.1,6748,2262,6465,1368,1653
67.1,6536,2142,6162,1480,1869
68.1,6305,2021,5763,1571,2113
69.1,6059,1872,5418,1651,2379
70.1,5835,1716,5089,1730,2614
71.1,5641,1575,4715,1819,2837
72.1,5434,1464,4349,1888,3092
73.1,5257,1356,3953,1959,3321
74.1,5085,1239,3627,2027,3549
75.1,4949,1129,3243,2086,3766
76.1,4812,1024,2878,2143,4011
77.1,4674,923,2586,2193,4224
78.1,4545,820,2239,2240,4431
79.1,4432,735,1942,2269,4608
80.1,4359,667,1710,2298,4773
81.1,4280,607,1511,2333,4925
82.1,4219,526,1307,2355,5082
83.1,4196,482,1115,2372,5197
84.1,4159,421,985,2386,5327
85.1,4167,384,860,2402,5423
86.1,4186,368,761,2409,5495
87.1,4165,329,695,2409,5603
88.1,4173,290,624,2407,5685
89.1,4209,274,536,2408,5754
90.1,4231,249,477,2415,5823
91.1,4255,245,428,2407,5875
92.1,4309,242,373,2386,5926
93.1,4355,220,356,2375,5987
94.1,4400,199,326,2362,6048
95.1,4462,194,285,2335,6096
96.1,4498,172,275,2311,6149
97.1,4566,161,260,2283,6187
98.1,4609,162,244,2255,6228
99.1,4673,155,226,2227,6267
100.1,4748,140,217,2187,6306
101.1,4803,134,206,2155,6341
102.1,4842,130,189,2106,6378
103.1,4912,113,168,2073,6411
104.1,4977,104,151,2009,6444
105.1,5063,100,128,1959,6477
106.1,5128,96,119,1904,6500
107.1,5204,92,114,1851,6524
108.1,5270,92,112,1792,6546
109.1,5350,85,105,1708,6573
110.1,5426,89,95,1640,6593
111.1,5493,80,96,1568,6617
112.1,5569,71,87,1503,6645
113.1,5633,70,83,1437,6663
114.1,5696,65,79,1374,6683
