"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1280,3200,0,164480
1.1,159414,284,586,659,3227,0,163886
2.1,159104,403,896,327,3248,0,163575
3.1,159033,452,967,193,3254,0,163447
4.1,159024,472,976,189,3242,0,163431
5.1,158986,487,1014,321,3251,1,163573
6.1,158975,515,1025,454,3257,1,163712
7.1,158953,565,1047,755,3257,1,164013
8.1,158997,629,1003,1198,3255,1,164454
9.1,159014,741,986,1744,3259,1,165004
10.1,158999,924,1001,2253,3262,1,165516
11.1,158989,1174,1011,2801,3274,1,166076
12.1,159014,1473,986,3352,3269,1,166622
13.1,159040,1840,960,3815,3263,1,167079
14.1,159058,2241,942,4302,3263,1,167566
15.1,159023,2635,977,4957,3265,3,168225
16.1,159064,3059,936,5991,3269,4,169264
17.1,159045,3502,955,7402,3280,5,170687
18.1,159068,4019,932,8892,3290,6,172188
19.1,159062,4594,938,10891,3313,7,174211
20.1,159022,5261,978,13052,3311,11,176374
21.1,159042,5939,958,15844,3324,12,179180
22.1,159052,6777,948,19108,3346,16,182470
23.1,158982,7728,1018,22516,3364,20,185900
24.1,158931,8631,1069,26277,3366,21,189664
25.1,158765,9648,1235,30161,3387,27,193575
26.1,158688,10712,1312,34402,3432,32,197866
27.1,158630,11848,1370,39124,3479,37,202640
28.1,158611,13057,1389,44754,3520,42,208316
29.1,158593,14381,1407,51222,3571,46,214839
30.1,158458,15758,1542,58546,3644,53,222243
31.1,158423,17227,1577,66995,3728,58,230781
32.1,158269,18706,1731,75338,3845,62,239245
33.1,158133,20186,1867,84684,3968,74,248726
34.1,157861,21750,2139,94537,4086,96,258719
35.1,157582,23278,2418,104603,4202,111,268916
36.1,157270,24693,2730,114896,4385,133,279414
37.1,156833,26099,3167,125789,4567,169,290525
38.1,156384,27704,3616,136593,4783,200,301576
39.1,155943,29270,4057,148586,5010,230,313826
40.1,155474,30896,4526,160566,5328,276,326170
41.1,154870,32437,5130,172634,5680,326,338640
42.1,154263,34020,5737,184343,6065,407,350815
43.1,153565,35573,6435,196535,6495,496,363526
44.1,152809,37064,7191,208769,7030,598,376397
45.1,151923,38520,8077,220726,7661,708,389095
46.1,150984,39853,9016,232571,8325,859,401755
47.1,149837,41073,10163,243803,9094,1048,413945
48.1,148578,42190,11422,254206,10050,1273,425529
49.1,147231,43142,12769,264539,11079,1555,437173
50.1,145810,44019,14190,274357,12318,1919,448594
51.1,144324,44873,15676,283159,13655,2341,459155
52.1,142610,45608,17390,291752,15214,2872,469838
53.1,140742,46162,19258,299214,16981,3508,479703
54.1,138693,46496,21307,304920,19013,4227,488160
55.1,136488,46603,23512,310092,21304,5214,496610
56.1,134111,46628,25889,313315,23749,6323,503387
57.1,131637,46393,28363,314049,26374,7630,508053
58.1,129027,45974,30973,314091,29252,9089,512432
59.1,126261,45413,33739,312537,32307,10690,515534
60.1,123306,44621,36694,308616,35505,12607,516728
61.1,120181,43632,39819,303245,38956,14722,516923
62.1,116974,42521,43026,296402,42573,17010,515985
63.1,113662,41235,46338,288221,46339,19470,514030
64.1,110378,39836,49622,278557,50108,22066,510731
65.1,106977,38251,53023,267052,53990,24913,505955
66.1,103498,36583,56502,254445,57821,27937,500203
67.1,99830,34496,60170,241314,61732,31174,494220
