"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1280,16000,0,177280
1.1,159440,272,560,644,16027,0,176671
2.1,159109,422,891,314,16052,0,176366
3.1,159026,474,974,189,16059,0,176248
4.1,158997,501,1003,155,16058,0,176213
5.1,158972,515,1028,266,16057,1,176324
6.1,158986,531,1014,509,16040,2,176551
7.1,158968,568,1032,843,16069,2,176914
8.1,158994,642,1006,1269,16066,4,177339
9.1,159028,787,972,1752,16065,5,177822
10.1,158981,961,1019,2258,16080,7,178345
11.1,159036,1216,964,2732,16057,7,178796
12.1,158984,1510,1016,3246,16039,8,179293
13.1,159010,1834,990,3904,16056,13,179973
14.1,159012,2184,988,4461,16055,16,180532
15.1,159026,2580,974,5275,16072,20,181367
16.1,159041,3032,959,6247,16076,24,182347
17.1,159081,3537,919,7562,16079,32,183673
18.1,159034,4094,966,9207,16101,36,185344
19.1,158991,4707,1009,11045,16137,44,187226
20.1,159001,5402,999,13200,16155,50,189405
21.1,158979,6194,1021,15793,16188,59,192040
22.1,158924,7027,1076,18449,16202,68,194719
23.1,158925,7941,1075,21763,16222,81,198066
24.1,158862,8847,1138,25308,16274,103,201685
25.1,158750,9787,1250,29121,16330,114,205565
26.1,158610,10848,1390,33532,16403,134,210069
27.1,158585,12073,1415,38664,16460,154,215278
28.1,158484,13332,1516,44342,16623,177,221142
29.1,158389,14624,1611,50286,16812,209,227307
30.1,158308,16015,1692,57196,17012,241,234449
31.1,158202,17411,1798,65109,17271,275,242655
32.1,158096,18891,1904,73906,17556,313,251775
33.1,157885,20386,2115,82847,17981,370,261198
34.1,157550,21861,2450,92412,18470,442,271324
35.1,157217,23391,2783,102237,19093,525,281855
36.1,156848,24920,3152,112432,19784,617,292833
37.1,156445,26538,3555,122689,20576,705,303970
38.1,155956,28042,4044,133001,21544,816,315361
39.1,155403,29505,4597,143772,22640,970,327382
40.1,154700,30938,5300,154461,23870,1156,339487
41.1,154000,32396,6000,164887,25322,1360,351569
42.1,153206,33729,6794,176367,27030,1622,365019
43.1,152287,34953,7713,187434,28872,1944,378250
44.1,151286,36118,8714,197353,31007,2354,390714
45.1,150162,37244,9838,207804,33423,2835,404062
46.1,148849,38260,11151,217080,36194,3427,416701
47.1,147332,39112,12668,225508,39273,4096,428877
48.1,145782,39749,14218,232968,42745,4926,440639
49.1,143990,40198,16010,239166,46452,5903,451521
50.1,141911,40372,18089,243266,50449,7045,460760
51.1,139646,40427,20354,246104,54941,8403,469448
52.1,137306,40182,22694,247245,59815,9981,477041
53.1,134725,39734,25275,245429,65073,11702,482204
54.1,132123,39285,27877,242445,70516,13655,486616
55.1,129319,38581,30681,237914,76124,15865,489903
56.1,126341,37579,33659,232917,82128,18287,493332
57.1,123207,36501,36793,225516,88209,20994,494719
58.1,120003,35061,39997,216929,94315,23886,495130
59.1,116579,33481,43421,206751,100533,26966,494250
60.1,113204,31688,46796,195414,106480,30162,492056
61.1,109956,29992,50044,183150,112285,33400,488835
62.1,106851,28326,53149,170761,117880,36735,485376
63.1,103734,26643,56266,159146,123255,40007,482408
64.1,100790,25000,59210,146457,128251,43270,477978
65.1,97957,23425,62043,133079,132936,46515,472530
66.1,95393,22013,64607,120829,137165,49655,467649
67.1,92924,20636,67076,109393,141304,52766,463463
68.1,90606,19264,69394,98406,145021,55887,459314
69.1,88535,18005,71465,88600,148495,58817,455912
70.1,86634,16846,73366,80023,151675,61607,453305
71.1,84822,15683,75178,71724,154554,64327,450605
72.1,83285,14647,76715,64487,157325,66897,448709
73.1,81876,13696,78124,58021,159763,69384,447168
74.1,80665,12819,79335,52336,161875,71673,445884
75.1,79646,12050,80354,47036,163896,73913,444845
76.1,78748,11319,81252,42336,165606,75997,443939
77.1,78047,10740,81953,38479,167211,77961,443651
78.1,77360,10062,82640,35044,168641,79942,443627
79.1,76788,9526,83212,31828,169873,81835,443536
80.1,76379,9050,83621,28631,170890,83564,443085
81.1,76020,8482,83980,25990,171751,85348,443089
82.1,75912,8070,84088,23514,172471,86860,442845
83.1,75829,7683,84171,21404,172945,88405,442754
84.1,75776,7212,84224,19934,173381,89908,443223
85.1,75768,6777,84232,18339,173495,91346,443180
86.1,75989,6477,84011,16868,173444,92653,442965
87.1,76265,6196,83735,15668,173202,93880,442750
88.1,76554,5910,83446,14695,172746,95149,442590
89.1,76942,5694,83058,13690,172097,96273,442060
90.1,77372,5411,82628,12567,171369,97414,441350
91.1,77877,5218,82123,11676,170360,98463,440499
92.1,78461,4985,81539,10830,169012,99451,439293
93.1,78943,4701,81057,10110,167431,100440,437981
94.1,79593,4456,80407,9461,165539,101364,436364
95.1,80227,4187,79773,8763,163395,102277,434435
96.1,80969,4023,79031,8012,160783,103125,431920
97.1,81741,3792,78259,7459,158007,103900,429366
98.1,82669,3613,77331,7074,154757,104680,426511
99.1,83598,3486,76402,6649,151117,105389,423155
100.1,84556,3365,75444,6234,147258,106079,419571
101.1,85491,3216,74509,6002,142842,106771,415615
102.1,86412,3073,73588,5663,138153,107391,411207
103.1,87303,2946,72697,5330,133113,108052,406495
104.1,88292,2820,71708,5177,127888,108653,401718
105.1,89339,2745,70661,5077,122388,109218,396683
106.1,90404,2740,69596,4927,116521,109766,391214
107.1,91394,2641,68606,4832,110665,110313,385810
108.1,92518,2607,67482,4656,104855,110844,380355
109.1,93531,2499,66469,4575,98816,111390,374781
110.1,94641,2459,65359,4433,92938,111914,369285
111.1,95780,2402,64220,4311,87117,112425,363853
