"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,640000,0,3200,12800,0
1.1,637745,1112,1126,12834,0
2.1,636641,1476,413,12835,0
3.1,636244,1595,248,12838,0
4.1,636129,1640,499,12834,1
5.1,636096,1679,1211,12830,3
6.1,636072,1788,2171,12839,3
7.1,636142,2091,3007,12835,4
8.1,636199,2598,3540,12833,5
9.1,636208,3296,3889,12844,7
10.1,636274,3976,4307,12851,7
11.1,636361,4680,4975,12851,11
12.1,636293,5477,5846,12841,12
13.1,636313,6301,7138,12850,13
14.1,636290,7335,8627,12855,16
15.1,636334,8525,10344,12875,21
16.1,636392,9821,12347,12870,24
17.1,636433,11340,14613,12881,26
18.1,636462,13011,17244,12891,34
19.1,636477,14880,20283,12898,39
20.1,636430,16921,23737,12910,45
21.1,636446,19215,27635,12931,51
22.1,636498,21691,32151,12958,55
23.1,636383,24273,37350,12986,62
24.1,636148,26920,42578,13030,74
25.1,635591,29638,48403,13037,86
26.1,635338,32661,54992,13069,95
27.1,635161,36084,62062,13112,107
28.1,635079,39732,70481,13200,123
29.1,634873,43585,79790,13306,138
30.1,634712,47654,89759,13415,168
31.1,634339,51783,100709,13566,194
32.1,633737,56030,112343,13732,226
33.1,633028,60298,124585,13952,259
34.1,632264,64718,137023,14238,294
35.1,631452,69239,150345,14547,337
36.1,630562,73833,164188,14983,396
37.1,629526,78630,178744,15494,454
38.1,628328,83355,193939,15970,533
39.1,627051,88265,209503,16605,614
40.1,625752,93183,225778,17317,719
41.1,624054,97878,241830,18189,843
42.1,622271,102603,258270,19110,973
43.1,620154,107350,274903,20182,1133
44.1,617872,112181,291462,21355,1325
45.1,615330,116738,307838,22669,1543
46.1,612601,121326,324526,24161,1800
47.1,609724,125652,341071,25907,2114
48.1,606448,129853,357036,27842,2484
49.1,602827,133674,372509,30095,2916
50.1,599031,137376,387723,32626,3447
51.1,594797,140763,402008,35427,4081
52.1,590458,144194,416286,38568,4847
53.1,585650,147188,428809,42127,5766
54.1,580624,150042,441324,46176,6819
55.1,575166,152531,452059,50743,8066
56.1,569359,154615,461692,55860,9570
57.1,563372,156406,471024,61486,11243
58.1,556935,157871,478590,67879,13276
59.1,550203,159009,485110,74880,15652
60.1,542980,159567,489677,82687,18441
61.1,535294,159546,493332,91247,21798
62.1,527089,158951,494817,100585,25562
63.1,518462,157921,494725,110942,29992
64.1,509191,156101,492194,121998,35090
65.1,499534,153625,487243,133929,40988
66.1,489510,150815,479469,146877,47480
67.1,478968,147262,470237,160410,54822
68.1,467897,142832,458497,174652,62943
69.1,456715,138149,444559,189414,71761
70.1,444931,132578,428233,204461,81415
71.1,433037,126741,409968,219543,91539
72.1,421308,120810,389716,234784,102215
73.1,409642,114656,368590,249770,113396
74.1,397948,108116,347095,264552,124997
75.1,386680,101742,324972,278841,136809
76.1,375791,95501,302060,292578,148716
77.1,365043,89096,278921,305853,160978
78.1,354900,82733,256638,318349,172812
79.1,345319,76657,234945,330118,184760
80.1,336375,71101,213648,340965,196255
81.1,328218,65756,194165,351026,207409
82.1,320653,60833,175139,360316,218100
83.1,313864,56291,157954,368909,228393
84.1,307785,52091,141856,376721,238141
85.1,302379,48291,127412,383914,247626
86.1,297678,44630,114445,390233,256613
87.1,293447,41158,102870,396001,265198
88.1,289830,38147,91995,401332,273229
89.1,286759,35347,82689,405934,280877
90.1,284264,32809,74186,409847,288135
91.1,282464,30665,66989,413206,294861
92.1,281081,28609,60279,416118,301225
93.1,280168,26830,54278,418524,307240
94.1,279465,25094,49051,420391,313040
95.1,279182,23411,44513,421945,318489
96.1,279281,21855,40670,423012,323691
97.1,279755,20480,37035,423382,328520
98.1,280521,19323,33804,423496,333086
99.1,281603,18147,30838,422917,337424
100.1,283051,17109,28220,421870,341544
101.1,284847,16204,25997,420264,345366
102.1,286625,15222,24190,418130,349067
103.1,288850,14415,22514,415401,352538
104.1,291215,13591,20914,411966,355855
105.1,293754,12853,19377,407802,359097
106.1,296597,12288,17840,402879,362087
107.1,299534,11733,16754,397075,364887
108.1,302645,11183,15692,390726,367551
109.1,305692,10581,14823,383699,370194
110.1,309014,10090,14066,375522,372699
111.1,312462,9630,13183,366496,375094
112.1,315852,9221,12480,356785,377398
113.1,319472,8855,11773,346067,379540
114.1,323298,8466,11134,334438,381596
115.1,327026,8156,10496,322289,383543
116.1,330864,7848,10002,309232,385526
117.1,334651,7538,9455,295734,387383
118.1,338701,7302,8993,281829,389152
119.1,342814,7113,8694,267681,390783
120.1,346888,6885,8366,253149,392476
121.1,350916,6605,8059,238805,394169
122.1,354973,6407,7743,224765,395732
123.1,359051,6168,7398,210776,397277
124.1,363145,5977,7194,196977,398774
125.1,367267,5789,6836,183839,400197
126.1,371241,5615,6638,171450,401557
127.1,375318,5505,6356,159386,402920
128.1,379333,5358,6136,148200,404210
129.1,383343,5238,5942,137388,405494
130.1,387384,5062,5845,127307,406769
131.1,391481,4948,5763,117795,407998
132.1,395495,4730,5636,109079,409220
133.1,399473,4641,5454,100965,410401
134.1,403547,4518,5280,93401,411503
135.1,407464,4399,5089,86427,412645
136.1,411472,4337,4803,79994,413719
137.1,415525,4214,4720,74070,414767
