"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9968,36,40,81,0
2.1,9945,46,18,82,0
3.1,9935,54,9,82,0
4.1,9939,58,16,83,0
5.1,9927,58,42,85,0
6.1,9939,59,76,84,0
7.1,9942,73,103,85,1
8.1,9935,91,123,84,1
9.1,9936,108,138,84,1
10.1,9939,130,153,83,1
11.1,9942,155,181,82,1
12.1,9945,190,204,80,1
13.1,9939,212,239,79,1
14.1,9942,237,296,84,2
15.1,9940,272,359,84,2
16.1,9946,315,428,85,2
17.1,9931,369,508,87,2
18.1,9920,451,559,87,2
19.1,9936,507,664,88,2
20.1,9940,564,791,90,2
21.1,9938,658,904,96,2
22.1,9942,727,1086,102,3
23.1,9941,819,1243,106,4
24.1,9932,898,1426,117,5
25.1,9925,972,1633,124,5
26.1,9908,1058,1855,128,7
27.1,9901,1164,2090,134,8
28.1,9893,1275,2382,142,11
29.1,9882,1413,2653,147,12
30.1,9879,1551,2987,160,14
31.1,9868,1687,3325,171,15
32.1,9856,1814,3680,190,18
33.1,9829,1941,4078,214,25
34.1,9807,2067,4465,234,31
35.1,9772,2197,4905,259,38
36.1,9738,2341,5382,298,49
