"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9964,26,38,84,0
2.1,9951,41,15,84,0
3.1,9940,45,11,85,0
4.1,9934,48,17,83,0
5.1,9937,50,35,83,0
6.1,9927,53,60,83,0
7.1,9928,60,81,83,0
8.1,9943,75,92,82,0
9.1,9946,86,111,82,0
10.1,9941,100,130,83,0
11.1,9945,121,137,84,0
12.1,9925,135,158,83,0
13.1,9937,153,177,84,0
14.1,9942,176,212,82,0
15.1,9936,200,253,88,0
16.1,9937,230,283,90,0
17.1,9931,268,331,89,0
18.1,9936,306,387,90,0
19.1,9947,340,450,88,0
20.1,9947,366,504,92,0
21.1,9940,409,601,90,0
22.1,9942,467,673,91,0
23.1,9929,521,772,94,0
24.1,9924,569,880,102,2
25.1,9909,628,952,108,3
26.1,9898,683,1066,115,3
27.1,9914,745,1166,121,5
28.1,9920,827,1274,129,6
29.1,9896,890,1438,138,11
30.1,9915,972,1653,147,13
31.1,9915,1066,1801,155,14
32.1,9891,1150,2017,169,15
33.1,9871,1246,2184,181,17
34.1,9861,1339,2366,192,20
35.1,9839,1414,2597,209,26
36.1,9812,1498,2843,228,35
37.1,9807,1602,3132,254,38
38.1,9768,1694,3438,288,43
39.1,9738,1776,3683,330,52
40.1,9712,1889,3862,376,67
41.1,9697,1977,4105,423,80
42.1,9649,2087,4303,476,96
43.1,9586,2171,4546,552,112
44.1,9537,2268,4822,643,131
45.1,9478,2347,5012,735,154
46.1,9393,2415,5283,851,190
47.1,9315,2477,5617,996,234
48.1,9239,2557,5765,1162,283
49.1,9125,2593,5938,1359,356
50.1,9030,2641,6035,1603,421
51.1,8901,2678,6089,1904,532
52.1,8751,2663,6197,2236,661
53.1,8582,2643,6214,2586,791
54.1,8410,2605,6199,3022,948
55.1,8252,2575,6069,3474,1105
56.1,8051,2516,5985,4006,1316
57.1,7834,2426,5825,4517,1560
58.1,7605,2285,5515,5117,1865
59.1,7360,2148,5220,5732,2176
60.1,7116,2016,4811,6315,2502
61.1,6880,1843,4451,6908,2832
62.1,6610,1637,3983,7442,3166
63.1,6388,1459,3503,7956,3504
64.1,6200,1271,3072,8421,3837
65.1,6026,1129,2618,8850,4124
66.1,5897,1012,2249,9181,4403
67.1,5766,878,1925,9512,4657
68.1,5663,760,1618,9770,4888
69.1,5587,646,1353,10013,5096
70.1,5557,561,1093,10205,5289
71.1,5546,479,905,10387,5456
72.1,5531,415,761,10526,5585
73.1,5556,374,585,10642,5707
74.1,5610,323,489,10750,5811
75.1,5650,278,414,10839,5898
76.1,5706,250,325,10918,5985
77.1,5764,205,279,10987,6067
78.1,5878,184,241,11037,6130
79.1,5949,152,225,11073,6195
80.1,6044,140,179,11096,6241
81.1,6140,128,164,11133,6286
82.1,6255,127,118,11172,6312
83.1,6334,108,119,11180,6347
84.1,6436,91,112,11181,6379
85.1,6535,78,98,11188,6413
86.1,6647,71,90,11167,6430
87.1,6730,65,73,11140,6448
88.1,6855,66,70,11107,6462
89.1,6949,59,68,11064,6482
90.1,7061,55,56,11026,6499
91.1,7157,41,47,10974,6524
92.1,7279,42,44,10899,6538
93.1,7363,39,42,10817,6553
94.1,7458,33,45,10692,6567
95.1,7551,28,31,10541,6574
96.1,7646,28,28,10361,6582
97.1,7727,26,23,10151,6589
98.1,7821,23,17,9926,6597
99.1,7904,18,17,9665,6604
100.1,8006,10,19,9386,6612
101.1,8087,9,20,9008,6614
102.1,8184,8,18,8592,6616
103.1,8255,8,12,8195,6617
104.1,8337,7,10,7721,6621
105.1,8390,9,6,7168,6623
106.1,8478,7,4,6666,6626
107.1,8560,5,5,6166,6627
108.1,8631,4,5,5589,6628
109.1,8689,7,6,5043,6628
110.1,8747,8,9,4512,6628
111.1,8801,8,6,3999,6632
112.1,8852,7,4,3569,6634
113.1,8899,4,7,3179,6637
114.1,8971,2,4,2778,6639
115.1,9013,2,4,2425,6639
116.1,9062,3,4,2123,6639
117.1,9124,3,3,1854,6640
118.1,9183,2,2,1610,6641
119.1,9237,1,2,1412,6642
120.1,9289,1,1,1231,6642
121.1,9339,1,0,1077,6642
122.1,9390,1,1,939,6643
123.1,9426,1,2,823,6644
124.1,9448,1,2,725,6644
125.1,9488,2,1,647,6644
126.1,9518,1,0,585,6645
127.1,9558,1,0,512,6645
128.1,9599,1,1,449,6645
129.1,9636,1,2,400,6645
130.1,9669,0,0,347,6646
131.1,9698,0,0,303,6646
132.1,9715,0,0,272,6646
133.1,9731,0,0,236,6646
134.1,9769,0,0,212,6646
135.1,9790,0,0,190,6646
136.1,9814,0,0,170,6646
137.1,9843,0,0,148,6646
138.1,9864,0,0,130,6646
139.1,9885,0,0,114,6646
140.1,9893,0,0,107,6646
141.1,9903,0,0,104,6646
142.1,9917,0,0,101,6646
143.1,9935,0,0,94,6646
144.1,9938,0,0,93,6646
145.1,9949,0,0,88,6646
146.1,9955,0,0,85,6646
147.1,9961,0,0,80,6646
148.1,9962,0,0,80,6646
149.1,9960,0,0,80,6646
150.1,9955,0,0,82,6646
151.1,9959,0,0,81,6646
152.1,9967,0,0,81,6646
153.1,9971,0,0,84,6646
154.1,9972,0,0,83,6646
155.1,9977,0,0,83,6646
156.1,9974,0,0,83,6646
157.1,9968,0,0,84,6646
158.1,9976,0,0,83,6646
159.1,9980,0,0,85,6646
160.1,9976,0,0,84,6646
161.1,9971,0,0,83,6646
162.1,9971,0,0,86,6646
163.1,9975,0,0,85,6646
164.1,9972,0,0,85,6646
165.1,9979,0,0,85,6646
166.1,9975,0,0,85,6646
167.1,9973,0,0,85,6646
168.1,9974,0,0,85,6645
169.1,9974,0,0,85,6644
170.1,9978,0,0,85,6644
171.1,9981,0,0,85,6644
172.1,9980,0,0,85,6644
173.1,9977,0,0,85,6644
174.1,9983,0,0,85,6644
175.1,9986,0,0,85,6644
176.1,9981,0,0,85,6644
177.1,9968,0,0,85,6644
178.1,9971,0,0,85,6644
179.1,9979,0,0,85,6644
180.1,9983,0,0,85,6644
181.1,9983,0,0,85,6644
182.1,9983,0,0,85,6644
183.1,9982,0,0,84,6643
184.1,9980,0,0,83,6643
185.1,9979,0,0,83,6641
186.1,9975,0,0,83,6641
187.1,9975,0,0,85,6640
188.1,9973,0,0,83,6639
189.1,9980,0,0,82,6639
190.1,9985,0,0,83,6639
191.1,9983,0,0,82,6639
192.1,9971,0,0,82,6637
193.1,9974,0,0,85,6634
194.1,9975,0,0,83,6630
195.1,9975,0,0,82,6627
196.1,9980,0,0,81,6623
