"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9964,25,42,76,0
2.1,9954,34,15,76,0
3.1,9946,40,8,75,0
4.1,9937,40,12,76,0
5.1,9934,41,27,75,0
6.1,9935,43,48,75,0
7.1,9932,49,68,75,0
8.1,9944,56,84,73,0
9.1,9938,73,90,73,0
10.1,9939,88,85,72,0
11.1,9942,98,108,72,0
12.1,9929,122,128,71,0
13.1,9944,148,146,71,0
14.1,9948,167,180,72,0
15.1,9942,187,211,71,0
16.1,9946,209,247,71,0
17.1,9946,239,299,71,0
18.1,9945,272,357,70,0
19.1,9949,305,425,71,1
20.1,9951,349,459,70,1
21.1,9946,391,530,71,1
22.1,9946,426,631,71,1
23.1,9936,483,714,71,1
24.1,9925,531,792,71,1
25.1,9918,592,838,71,1
26.1,9915,641,951,71,1
27.1,9927,698,1077,73,1
28.1,9922,753,1210,72,1
29.1,9911,830,1355,70,1
30.1,9914,906,1525,72,1
31.1,9917,974,1651,74,1
32.1,9891,1039,1857,79,1
33.1,9884,1128,2024,80,2
34.1,9867,1207,2212,82,3
35.1,9850,1283,2422,85,3
36.1,9820,1354,2686,87,3
37.1,9803,1439,2925,91,6
38.1,9784,1539,3129,96,7
39.1,9761,1630,3326,104,7
40.1,9740,1705,3535,115,9
41.1,9701,1785,3745,125,12
42.1,9669,1893,3965,138,13
43.1,9627,1972,4222,152,18
44.1,9599,2044,4445,173,23
45.1,9564,2136,4694,195,25
46.1,9487,2210,4928,223,31
47.1,9441,2297,5171,253,38
48.1,9364,2335,5419,278,47
49.1,9275,2398,5577,319,58
50.1,9212,2460,5799,363,68
51.1,9131,2512,6016,417,80
52.1,9063,2560,6211,469,101
53.1,8970,2611,6360,538,128
54.1,8859,2642,6531,630,154
55.1,8757,2697,6684,722,176
56.1,8642,2701,6870,827,209
57.1,8526,2720,6950,952,251
58.1,8408,2758,6961,1106,310
59.1,8270,2748,6999,1283,376
60.1,8091,2685,6984,1496,457
61.1,7918,2657,6965,1725,545
62.1,7731,2606,6883,1968,663
63.1,7514,2518,6693,2227,777
64.1,7299,2427,6532,2499,923
65.1,7071,2310,6320,2805,1057
66.1,6820,2178,6014,3139,1209
67.1,6585,2048,5722,3485,1386
68.1,6385,1919,5406,3827,1553
69.1,6159,1771,5044,4192,1752
70.1,5954,1656,4633,4544,1968
71.1,5737,1509,4301,4838,2153
72.1,5550,1371,3926,5121,2329
73.1,5365,1257,3572,5415,2502
74.1,5207,1138,3230,5672,2661
75.1,5064,1040,2802,5922,2835
76.1,4945,945,2453,6166,2993
77.1,4836,876,2148,6374,3141
78.1,4732,790,1884,6557,3264
79.1,4675,754,1652,6706,3400
80.1,4616,688,1493,6866,3518
81.1,4569,622,1337,6999,3638
82.1,4511,557,1196,7116,3756
83.1,4482,496,1055,7227,3867
84.1,4470,454,873,7317,3954
85.1,4458,410,802,7397,4043
86.1,4464,383,713,7463,4116
87.1,4484,354,634,7513,4194
88.1,4517,335,550,7551,4250
89.1,4559,316,478,7586,4308
90.1,4605,310,449,7627,4355
91.1,4653,289,406,7652,4408
92.1,4687,252,395,7683,4465
93.1,4738,235,381,7697,4507
94.1,4821,231,332,7697,4549
95.1,4867,214,300,7675,4596
96.1,4951,209,268,7657,4633
97.1,5040,210,257,7643,4661
98.1,5113,194,252,7592,4697
99.1,5180,163,247,7546,4747
