"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9960,32,32,80,0
2.1,9951,44,10,80,0
3.1,9945,46,10,80,0
4.1,9936,46,19,80,0
5.1,9933,48,35,80,0
6.1,9933,52,62,80,0
7.1,9929,60,81,80,0
8.1,9948,72,100,80,0
9.1,9947,88,113,80,0
10.1,9942,105,122,80,0
11.1,9940,122,141,80,0
12.1,9928,148,159,80,0
13.1,9943,169,193,80,0
14.1,9946,199,218,80,0
15.1,9937,234,241,81,0
16.1,9935,253,279,81,0
17.1,9927,281,348,82,0
18.1,9939,332,418,83,1
19.1,9948,367,499,84,1
20.1,9946,408,576,85,1
21.1,9940,465,632,85,1
22.1,9930,521,708,88,3
23.1,9921,577,823,92,3
24.1,9919,625,935,94,4
25.1,9905,675,1044,95,4
26.1,9905,735,1168,96,4
27.1,9909,801,1320,101,5
28.1,9909,886,1456,104,5
29.1,9901,951,1625,109,6
30.1,9911,1053,1777,112,7
31.1,9907,1136,1935,115,8
32.1,9868,1217,2124,117,9
33.1,9856,1314,2295,123,10
34.1,9837,1408,2589,131,13
35.1,9818,1504,2840,140,14
36.1,9782,1603,3031,148,17
37.1,9767,1693,3362,157,20
38.1,9727,1785,3632,165,23
39.1,9695,1872,3865,178,25
40.1,9664,1975,4124,192,28
41.1,9629,2066,4411,210,32
42.1,9594,2194,4646,234,38
43.1,9538,2284,4935,251,46
44.1,9493,2377,5197,270,52
45.1,9429,2488,5455,295,65
46.1,9367,2551,5720,324,77
47.1,9325,2646,6014,360,96
48.1,9241,2720,6325,411,118
49.1,9143,2771,6572,460,147
50.1,9053,2823,6822,515,183
51.1,8932,2875,6959,576,238
52.1,8830,2926,7133,653,293
53.1,8702,2960,7242,737,356
54.1,8542,2952,7392,833,447
55.1,8372,2949,7451,922,539
56.1,8227,2946,7464,1033,651
57.1,8019,2882,7499,1166,801
58.1,7824,2835,7445,1302,977
59.1,7600,2755,7304,1444,1186
60.1,7371,2657,7147,1593,1387
61.1,7138,2560,6894,1738,1624
62.1,6876,2433,6597,1891,1884
63.1,6623,2285,6291,2058,2177
64.1,6343,2111,5983,2218,2481
65.1,6077,1936,5579,2367,2803
66.1,5781,1720,5051,2515,3158
67.1,5516,1528,4589,2627,3509
68.1,5279,1366,4047,2727,3829
69.1,5084,1216,3584,2811,4127
70.1,4925,1096,3149,2893,4404
71.1,4785,1012,2746,2967,4640
72.1,4652,890,2427,3030,4873
73.1,4518,789,2073,3100,5132
74.1,4423,700,1802,3149,5320
75.1,4361,627,1554,3181,5500
76.1,4308,561,1358,3214,5659
77.1,4279,529,1145,3248,5780
78.1,4233,469,1002,3277,5915
79.1,4228,420,884,3293,6047
80.1,4228,391,752,3312,6171
81.1,4251,341,643,3332,6280
82.1,4278,319,525,3351,6373
83.1,4308,292,478,3371,6461
84.1,4345,275,420,3384,6536
85.1,4360,242,376,3402,6628
86.1,4418,222,312,3411,6695
87.1,4460,190,298,3423,6764
88.1,4532,171,258,3431,6818
89.1,4619,155,240,3442,6862
90.1,4687,143,208,3449,6911
91.1,4765,138,195,3454,6949
92.1,4839,126,186,3460,6988
93.1,4920,118,154,3465,7018
94.1,4997,118,138,3468,7050
95.1,5089,109,134,3473,7077
96.1,5176,101,121,3479,7112
97.1,5272,94,103,3482,7150
98.1,5359,90,98,3492,7172
99.1,5444,86,96,3502,7197
100.1,5537,74,84,3505,7225
101.1,5631,75,84,3512,7243
102.1,5729,73,79,3519,7265
103.1,5809,73,72,3520,7284
104.1,5900,66,86,3524,7297
105.1,5983,59,86,3526,7316
106.1,6060,65,69,3530,7331
107.1,6160,68,64,3534,7343
108.1,6242,63,54,3536,7362
109.1,6314,47,57,3542,7386
110.1,6390,43,54,3545,7402
111.1,6484,41,52,3549,7414
112.1,6571,43,47,3553,7422
113.1,6646,37,48,3556,7433
114.1,6739,34,48,3558,7444
115.1,6821,31,41,3559,7458
116.1,6880,31,32,3559,7467
117.1,6974,26,25,3560,7478
118.1,7041,25,17,3561,7489
119.1,7127,25,18,3563,7494
120.1,7211,21,20,3564,7502
121.1,7295,20,16,3564,7509
122.1,7381,20,15,3565,7515
123.1,7477,15,14,3566,7522
124.1,7535,16,14,3566,7527
125.1,7617,13,14,3566,7531
126.1,7676,13,14,3566,7535
127.1,7736,13,9,3567,7536
128.1,7798,8,9,3567,7543
129.1,7871,6,8,3569,7547
130.1,7933,6,8,3569,7547
131.1,7994,6,8,3569,7550
132.1,8065,9,9,3569,7551
133.1,8122,9,9,3569,7553
134.1,8199,10,6,3569,7554
135.1,8261,11,8,3569,7554
136.1,8312,5,6,3569,7558
137.1,8378,5,6,3569,7559
138.1,8418,5,3,3569,7561
139.1,8508,5,3,3569,7561
140.1,8574,4,0,3569,7564
141.1,8628,2,2,3569,7566
142.1,8657,2,3,3569,7566
143.1,8728,1,2,3569,7567
144.1,8787,0,1,3569,7568
145.1,8821,0,1,3569,7568
146.1,8863,0,0,3569,7568
147.1,8899,0,0,3569,7568
148.1,8935,0,0,3569,7568
149.1,8980,0,0,3569,7568
150.1,9011,0,0,3569,7568
151.1,9052,0,0,3569,7568
152.1,9077,0,0,3569,7568
153.1,9124,0,0,3569,7568
154.1,9155,0,0,3569,7568
155.1,9190,0,0,3569,7568
156.1,9221,0,0,3569,7568
157.1,9243,0,0,3569,7568
