"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9956,29,36,80,0
2.1,9949,41,13,80,0
3.1,9945,46,8,80,0
4.1,9936,48,16,80,0
5.1,9933,49,36,80,0
6.1,9927,53,61,80,0
7.1,9929,60,83,80,0
8.1,9950,74,93,80,0
9.1,9947,91,100,80,0
10.1,9944,104,117,80,0
11.1,9946,119,131,80,1
12.1,9928,141,153,80,1
13.1,9933,158,192,80,1
14.1,9938,176,229,80,1
15.1,9943,201,260,80,1
16.1,9936,228,296,80,2
17.1,9936,258,350,80,2
18.1,9939,300,388,80,2
19.1,9945,326,448,80,4
20.1,9941,371,521,80,4
21.1,9941,422,561,80,6
22.1,9935,478,635,80,7
23.1,9926,534,719,80,9
24.1,9919,578,815,80,11
25.1,9910,613,926,80,12
26.1,9908,660,1066,80,15
27.1,9911,717,1197,80,19
28.1,9901,777,1355,80,25
29.1,9883,848,1507,80,30
30.1,9891,936,1674,80,37
31.1,9899,1027,1820,80,40
32.1,9874,1115,1984,80,50
33.1,9859,1187,2149,80,57
34.1,9856,1269,2327,80,65
35.1,9825,1348,2520,80,76
36.1,9792,1439,2714,80,89
37.1,9772,1513,2993,80,107
38.1,9740,1593,3216,80,132
39.1,9704,1684,3422,80,149
40.1,9688,1775,3617,80,172
41.1,9642,1844,3838,80,200
42.1,9591,1924,4052,80,232
43.1,9535,1998,4361,80,268
44.1,9482,2076,4562,80,312
45.1,9403,2131,4803,80,369
46.1,9338,2209,4998,80,436
47.1,9242,2239,5178,80,511
48.1,9170,2296,5313,80,591
49.1,9063,2316,5463,80,682
50.1,8965,2349,5564,80,789
51.1,8849,2361,5651,80,911
52.1,8718,2364,5678,80,1044
53.1,8544,2327,5700,80,1213
54.1,8377,2293,5657,80,1396
55.1,8199,2250,5566,80,1581
56.1,8041,2211,5437,80,1769
57.1,7849,2124,5395,80,1995
58.1,7653,2043,5232,80,2238
59.1,7472,1956,5041,80,2489
60.1,7273,1842,4763,80,2773
61.1,7096,1753,4565,80,3034
62.1,6919,1663,4285,80,3294
63.1,6740,1534,4025,80,3563
64.1,6579,1454,3724,80,3815
65.1,6391,1343,3414,80,4084
66.1,6230,1239,3183,80,4359
67.1,6085,1124,2931,80,4622
68.1,5958,1038,2681,80,4862
69.1,5872,959,2437,80,5085
70.1,5800,900,2172,80,5272
71.1,5740,819,1969,80,5468
72.1,5650,770,1752,80,5665
73.1,5602,706,1567,80,5850
74.1,5556,632,1397,80,6028
75.1,5529,555,1248,80,6207
76.1,5503,497,1140,80,6358
77.1,5498,468,983,80,6488
78.1,5527,429,865,80,6605
79.1,5545,392,767,80,6714
80.1,5552,356,666,80,6834
81.1,5596,345,592,80,6922
82.1,5678,329,529,80,7006
83.1,5726,305,480,80,7088
84.1,5763,272,417,80,7174
85.1,5826,248,370,80,7254
86.1,5886,218,337,80,7330
87.1,5972,208,304,80,7385
88.1,6050,196,277,80,7433
89.1,6126,190,264,80,7480
90.1,6181,175,240,80,7535
91.1,6244,164,237,80,7572
92.1,6305,144,214,80,7633
93.1,6406,145,196,80,7666
94.1,6485,138,184,80,7708
95.1,6556,127,175,80,7748
96.1,6647,122,155,80,7781
97.1,6724,111,142,80,7819
98.1,6812,101,129,80,7856
99.1,6892,93,124,80,7886
100.1,6973,88,117,80,7913
101.1,7066,95,107,80,7930
102.1,7154,82,102,80,7959
103.1,7220,68,104,80,7988
104.1,7317,60,94,80,8014
105.1,7413,59,79,80,8036
106.1,7489,54,62,80,8053
107.1,7571,47,51,80,8069
108.1,7650,48,42,80,8081
109.1,7752,45,41,80,8091
110.1,7845,39,47,80,8105
111.1,7920,32,44,80,8121
112.1,7972,32,48,80,8127
113.1,8058,33,39,80,8138
114.1,8136,33,31,80,8146
115.1,8213,27,30,80,8159
116.1,8277,25,22,80,8170
117.1,8326,22,21,80,8177
118.1,8395,20,16,80,8185
119.1,8464,19,13,80,8190
120.1,8506,20,17,80,8193
121.1,8574,17,19,80,8199
122.1,8639,20,19,80,8203
123.1,8710,18,16,80,8210
124.1,8754,16,11,80,8219
125.1,8814,15,9,80,8222
126.1,8872,17,8,80,8224
127.1,8929,14,11,80,8228
128.1,8981,11,13,80,8233
129.1,9032,9,13,80,8237
130.1,9075,8,9,80,8241
131.1,9137,6,10,80,8244
132.1,9185,7,9,80,8245
133.1,9230,7,9,80,8248
134.1,9268,9,3,80,8250
135.1,9309,10,1,80,8250
136.1,9355,9,2,80,8251
137.1,9394,7,4,80,8254
138.1,9435,6,7,80,8256
139.1,9472,5,10,80,8257
140.1,9512,4,5,80,8260
141.1,9540,5,3,80,8260
142.1,9575,3,5,80,8263
143.1,9604,6,2,80,8263
144.1,9626,7,1,80,8263
145.1,9660,5,1,80,8266
146.1,9688,4,1,80,8268
147.1,9709,3,4,80,8270
148.1,9729,3,3,80,8271
149.1,9744,5,1,80,8271
150.1,9763,5,2,80,8271
151.1,9788,4,4,80,8272
152.1,9800,4,4,80,8273
153.1,9811,3,5,80,8274
