"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9970,29,32,83,0
2.1,9951,42,12,83,0
3.1,9942,44,15,81,0
4.1,9937,48,21,85,0
5.1,9924,50,38,85,0
6.1,9933,52,60,85,0
7.1,9944,57,85,84,0
8.1,9940,64,99,84,0
9.1,9937,79,113,84,0
10.1,9936,95,115,84,0
11.1,9946,116,126,87,0
12.1,9946,129,135,87,0
13.1,9942,143,155,91,0
14.1,9943,160,183,89,0
15.1,9941,173,228,90,1
16.1,9942,197,273,91,1
17.1,9937,233,309,90,1
18.1,9935,271,360,91,1
19.1,9949,307,400,92,2
20.1,9951,347,448,94,3
21.1,9947,393,509,94,3
22.1,9951,431,586,95,3
23.1,9950,468,696,95,3
24.1,9942,515,783,103,3
25.1,9934,572,836,107,4
26.1,9928,625,951,111,4
27.1,9915,668,1062,113,4
28.1,9917,739,1172,118,5
29.1,9915,811,1304,122,5
30.1,9912,907,1446,125,7
31.1,9902,983,1606,132,9
32.1,9902,1068,1796,144,12
33.1,9887,1119,1995,150,14
34.1,9864,1199,2238,157,17
35.1,9850,1285,2403,166,19
36.1,9845,1372,2623,179,22
37.1,9825,1464,2865,191,24
38.1,9800,1560,3073,208,30
39.1,9782,1661,3259,230,36
40.1,9764,1763,3494,255,39
41.1,9729,1843,3743,285,44
42.1,9695,1928,3977,316,54
43.1,9647,2027,4224,359,63
44.1,9609,2114,4469,407,73
45.1,9570,2208,4757,466,86
46.1,9509,2284,5032,533,100
47.1,9442,2343,5291,618,128
48.1,9390,2421,5493,725,150
49.1,9303,2489,5675,847,183
50.1,9209,2524,5873,1004,229
51.1,9123,2576,6059,1184,298
52.1,9031,2642,6318,1373,362
53.1,8891,2632,6370,1608,456
54.1,8753,2646,6399,1908,558
55.1,8606,2619,6382,2208,668
56.1,8460,2604,6360,2539,818
57.1,8286,2544,6284,2895,962
58.1,8112,2485,6181,3258,1137
59.1,7931,2406,6069,3626,1311
60.1,7737,2308,5880,4041,1506
61.1,7550,2227,5696,4456,1710
62.1,7370,2126,5463,4859,1908
63.1,7157,1977,5235,5247,2127
64.1,6988,1879,4905,5646,2358
65.1,6805,1743,4555,6027,2591
66.1,6600,1605,4218,6384,2833
67.1,6443,1488,3876,6734,3048
68.1,6294,1352,3530,7092,3269
69.1,6157,1239,3211,7437,3488
70.1,5996,1083,2816,7772,3718
71.1,5892,970,2510,8097,3918
72.1,5791,876,2161,8393,4120
73.1,5721,784,1848,8629,4313
74.1,5646,681,1595,8839,4497
75.1,5613,603,1387,9043,4659
76.1,5583,515,1182,9223,4803
77.1,5553,425,1025,9366,4928
78.1,5544,363,803,9494,5061
79.1,5576,328,668,9601,5136
80.1,5629,296,559,9704,5207
81.1,5684,283,479,9782,5276
82.1,5739,259,427,9856,5346
83.1,5790,235,370,9926,5413
84.1,5850,206,349,9976,5477
85.1,5896,181,300,10007,5534
86.1,5988,178,260,10028,5577
87.1,6041,163,233,10056,5632
88.1,6111,148,207,10075,5665
