"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,160000,0,1920,3200,0
1.1,159449,423,907,3228,0
2.1,159203,591,438,3231,0
3.1,159086,673,264,3243,0
4.1,159043,708,327,3244,1
5.1,158979,729,685,3245,1
6.1,158961,765,1247,3253,1
7.1,158977,871,1870,3253,1
8.1,159015,1051,2399,3264,1
9.1,159031,1325,2813,3277,3
10.1,159059,1639,3224,3286,3
11.1,159068,2008,3616,3280,3
12.1,159082,2359,4177,3279,3
13.1,159142,2807,4923,3281,4
14.1,159083,3253,5970,3286,4
15.1,159054,3752,7339,3299,6
16.1,159095,4361,8885,3318,7
17.1,159075,5034,10723,3342,7
18.1,159092,5792,12765,3354,10
19.1,159090,6701,14993,3373,13
20.1,159048,7637,17589,3412,16
21.1,159039,8695,20739,3438,19
22.1,159060,9910,24064,3486,30
23.1,159013,11176,27807,3522,40
24.1,158878,12373,32306,3562,45
25.1,158724,13724,36974,3600,54
26.1,158576,15101,42288,3649,66
27.1,158457,16631,48186,3742,74
28.1,158419,18452,54750,3817,90
29.1,158365,20308,62119,3925,104
30.1,158254,22216,70353,4046,126
31.1,158189,24239,79130,4234,156
32.1,157947,26194,88662,4437,185
33.1,157592,28234,98329,4674,222
34.1,157245,30240,108832,4933,263
35.1,156813,32347,119873,5263,313
36.1,156358,34440,130765,5646,363
37.1,155854,36567,142097,6075,436
38.1,155209,38606,153719,6565,523
39.1,154542,40635,165666,7203,631
40.1,153725,42506,177797,7966,774
41.1,152872,44466,189860,8834,956
42.1,151918,46277,202186,9883,1182
43.1,150734,47923,213705,11140,1499
44.1,149366,49412,224501,12548,1920
45.1,147865,50713,234940,14252,2440
46.1,146148,51752,244412,16280,3144
47.1,144267,52757,252606,18627,3982
48.1,142105,53412,259797,21343,5014
49.1,139685,53746,265380,24486,6300
50.1,136974,53654,269422,28006,7927
51.1,133974,53217,271382,31935,9855
52.1,130623,52498,271139,36224,12211
53.1,126879,51308,268582,40862,15009
54.1,122788,49645,263151,45830,18184
55.1,118502,47501,255757,50999,21843
56.1,113896,45101,245989,56299,25879
57.1,109240,42441,234558,61632,30163
58.1,104601,39613,221701,66901,34740
59.1,99878,36643,206858,72010,39499
60.1,95286,33628,190628,76896,44375
61.1,90857,30592,173960,81668,49386
62.1,86666,27646,157132,85999,54230
63.1,82806,24995,140605,89918,58866
64.1,79217,22440,124467,93481,63273
65.1,75948,19989,109503,96783,67531
66.1,73107,17936,95344,99635,71461
67.1,70662,15997,82722,102171,75192
68.1,68367,14212,71477,104397,78691
69.1,66546,12654,61480,106311,81820
70.1,64977,11252,52824,108001,84739
71.1,63777,10099,45411,109469,87363
72.1,62745,9077,39160,110726,89782
73.1,62042,8166,33501,111778,91983
74.1,61516,7379,28647,112692,93980
75.1,61098,6622,24712,113453,95862
76.1,60875,5971,21249,114115,97555
77.1,60797,5351,18506,114657,99149
78.1,60888,4839,15967,115144,100571
79.1,61174,4426,13890,115525,101837
80.1,61628,4089,12090,115799,102942
81.1,62041,3762,10526,115971,104053
82.1,62624,3459,9265,116026,105056
83.1,63293,3170,8334,116006,105958
84.1,63970,2873,7418,115904,106831
85.1,64802,2670,6741,115677,107628
86.1,65668,2550,6058,115373,108354
87.1,66549,2378,5436,114931,109015
88.1,67463,2212,4894,114346,109635
89.1,68364,2024,4505,113577,110261
90.1,69367,1866,4169,112703,110798
91.1,70430,1788,3839,111595,111285
92.1,71504,1622,3603,110208,111785
93.1,72650,1550,3316,108541,112218
94.1,73740,1454,2971,106576,112646
95.1,74905,1389,2640,104429,113038
96.1,76023,1306,2448,101820,113413
97.1,77216,1227,2297,98917,113729
98.1,78380,1164,2144,95669,114063
99.1,79511,1095,1992,92099,114375
100.1,80701,1013,1886,88109,114697
101.1,81915,975,1801,83882,114957
102.1,83095,910,1701,79303,115230
103.1,84312,863,1635,74537,115491
104.1,85512,814,1542,69733,115739
105.1,86660,784,1433,64611,115964
106.1,87906,755,1288,59592,116163
107.1,89154,763,1219,54707,116337
108.1,90382,703,1227,50069,116548
109.1,91505,666,1191,45376,116745
110.1,92733,622,1143,40895,116941
111.1,93892,601,1116,36887,117113
112.1,95098,584,1024,33118,117291
113.1,96186,552,956,29645,117451
114.1,97355,535,884,26535,117589
115.1,98443,501,864,23696,117743
116.1,99617,472,792,21058,117896
117.1,100762,476,746,18748,118014
118.1,101907,429,744,16723,118151
119.1,102940,421,675,14977,118263
120.1,104119,388,653,13419,118378
121.1,105227,375,627,12078,118473
122.1,106326,342,651,10845,118583
123.1,107452,336,622,9762,118674
124.1,108569,316,576,8845,118768
125.1,109682,328,495,8023,118856
126.1,110760,312,491,7287,118940
127.1,111883,299,498,6647,119018
128.1,112914,280,490,6137,119101
129.1,113972,268,485,5621,119191
130.1,115010,254,448,5246,119270
131.1,115994,249,417,4902,119344
132.1,116986,244,390,4646,119402
133.1,117921,227,365,4358,119468
134.1,118936,225,343,4159,119526
135.1,119908,214,353,3970,119593
136.1,120890,192,367,3826,119656
137.1,121866,201,352,3712,119706
138.1,122870,191,358,3567,119760
139.1,123833,172,359,3473,119815
140.1,124777,185,342,3397,119858
141.1,125761,194,312,3356,119901
142.1,126671,165,330,3321,119964
143.1,127620,172,284,3295,120011
144.1,128561,167,281,3272,120052
145.1,129370,148,276,3263,120108
146.1,130222,141,266,3253,120152
147.1,131086,135,263,3252,120195
148.1,131982,126,256,3231,120233
149.1,132824,129,238,3234,120262
150.1,133640,125,230,3240,120301
151.1,134436,122,247,3235,120331
152.1,135227,119,240,3237,120364
153.1,136035,111,188,3247,120409
154.1,136828,118,153,3244,120432
155.1,137623,117,143,3252,120458
156.1,138385,111,138,3249,120481
157.1,139147,103,161,3277,120513
158.1,139798,97,165,3266,120543
159.1,140536,88,170,3283,120574
160.1,141194,86,161,3276,120606
161.1,141915,99,138,3284,120626
162.1,142605,86,121,3291,120653
163.1,143268,78,110,3289,120675
164.1,143888,64,105,3293,120706
165.1,144540,61,119,3284,120730
166.1,145123,50,133,3281,120754
167.1,145642,51,114,3283,120770
168.1,146266,65,86,3281,120779
169.1,146783,64,77,3276,120793
170.1,147303,65,82,3264,120801
171.1,147812,50,82,3275,120826
172.1,148311,48,75,3275,120838
173.1,148758,46,85,3282,120852
174.1,149181,44,83,3270,120864
175.1,149656,37,62,3266,120879
176.1,150098,32,59,3276,120887
177.1,150513,36,42,3270,120890
178.1,150959,33,44,3268,120897
179.1,151385,31,33,3267,120903
180.1,151781,31,32,3274,120908
181.1,152177,29,36,3280,120912
182.1,152538,25,34,3267,120917
183.1,152860,25,34,3260,120917
184.1,153204,20,35,3251,120911
