"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,160000,0,1920,3200,0
1.1,159389,391,920,3209,0
2.1,159156,578,440,3208,0
3.1,159073,661,237,3210,0
4.1,159010,689,346,3210,1
5.1,159036,707,723,3210,2
6.1,159029,742,1312,3211,2
7.1,159028,874,1922,3214,3
8.1,159071,1074,2429,3215,4
9.1,159079,1358,2858,3208,4
10.1,159070,1712,3268,3210,4
11.1,159087,2073,3763,3209,4
12.1,159085,2458,4387,3213,5
13.1,159104,2881,5291,3224,8
14.1,159092,3381,6465,3219,9
15.1,159121,3915,7977,3226,12
16.1,159075,4542,9610,3227,14
17.1,159079,5260,11469,3227,14
18.1,159097,6018,13907,3243,16
19.1,159120,6961,16285,3243,17
20.1,159058,8015,19034,3258,20
21.1,159069,9125,22313,3266,21
22.1,159092,10280,26047,3271,23
23.1,159037,11571,30299,3314,30
24.1,158981,12906,35101,3342,37
25.1,158813,14338,40263,3390,43
26.1,158581,15762,46082,3429,49
27.1,158492,17457,52193,3476,53
28.1,158386,19276,59155,3554,58
29.1,158284,21185,66861,3672,73
30.1,158175,23127,75441,3811,90
31.1,158032,25094,84497,3936,103
32.1,157836,27148,94329,4131,128
33.1,157515,29260,104247,4318,156
34.1,157138,31400,114601,4583,191
35.1,156728,33440,125413,4892,229
36.1,156201,35596,136888,5253,283
37.1,155657,37716,148561,5707,348
38.1,155101,39897,160753,6199,409
39.1,154366,42019,172806,6765,515
40.1,153613,44141,185255,7426,637
41.1,152731,46161,197771,8244,769
42.1,151721,48041,209541,9169,964
43.1,150573,49891,221782,10252,1220
44.1,149274,51629,233244,11534,1509
45.1,147848,53107,244597,13046,1889
46.1,146262,54391,255288,14803,2400
47.1,144362,55402,264585,16906,3038
48.1,142251,56191,273318,19346,3845
49.1,140056,56911,280382,22194,4875
50.1,137417,57247,285268,25514,6148
51.1,134582,57164,289065,29306,7683
52.1,131291,56622,290670,33525,9644
53.1,127763,55634,290379,38243,11996
54.1,123870,54356,287122,43492,14841
55.1,119636,52524,281843,49133,18132
56.1,115058,50184,272796,55024,21892
57.1,110266,47508,261198,61184,26151
58.1,105085,44455,247584,67358,30878
59.1,99877,41258,232176,73640,35960
60.1,94515,37621,214429,79780,41317
61.1,89399,34191,195823,85398,46746
62.1,84642,30862,176436,90902,52095
63.1,79992,27605,157003,95799,57329
64.1,75789,24421,138201,100323,62332
65.1,71970,21581,120304,104302,67098
66.1,68568,18987,103941,107861,71562
67.1,65600,16663,89013,111016,75675
68.1,63090,14721,75674,113633,79324
69.1,60922,12996,63923,115925,82759
70.1,59195,11453,54233,117891,85809
71.1,57680,10049,45732,119599,88634
72.1,56517,8911,38586,121046,91170
73.1,55672,7961,32531,122242,93373
74.1,55075,7114,27557,123257,95437
75.1,54587,6279,23376,124207,97274
76.1,54336,5596,19817,124959,98926
77.1,54347,5078,16887,125596,100393
78.1,54472,4644,14517,126141,101735
79.1,54766,4302,12521,126558,102958
80.1,55081,3871,10914,126893,104074
81.1,55552,3559,9628,127152,105108
82.1,56065,3235,8598,127303,106099
83.1,56681,2993,7659,127383,106909
84.1,57370,2749,6978,127338,107717
85.1,58124,2572,6198,127200,108505
86.1,58954,2404,5516,126897,109185
87.1,59810,2246,4909,126628,109819
88.1,60685,2075,4402,126151,110399
89.1,61647,1838,3953,125583,111009
90.1,62679,1715,3602,124735,111507
91.1,63766,1614,3320,123720,111979
92.1,64859,1501,3038,122514,112410
93.1,65942,1372,2788,121091,112833
94.1,67074,1309,2604,119356,113202
95.1,68233,1231,2396,117363,113563
96.1,69357,1156,2219,115015,113895
97.1,70549,1113,2026,112283,114202
98.1,71651,1060,1872,109083,114502
99.1,72853,965,1783,105542,114782
100.1,74077,886,1678,101526,115074
101.1,75317,835,1590,97135,115315
102.1,76561,799,1506,92328,115543
103.1,77698,749,1445,87270,115762
104.1,78896,739,1329,81879,115956
105.1,80071,726,1258,76299,116141
106.1,81225,672,1235,70532,116330
107.1,82345,624,1157,64652,116509
108.1,83525,583,1097,59066,116686
109.1,84716,548,1065,53524,116864
110.1,85918,527,1010,48218,117018
111.1,87065,513,936,43199,117146
112.1,88224,528,901,38569,117277
113.1,89418,527,872,34288,117408
114.1,90509,505,849,30394,117544
115.1,91708,483,834,26858,117687
116.1,92881,441,792,23752,117834
117.1,94087,450,755,21033,117937
118.1,95226,441,727,18642,118053
119.1,96324,447,744,16510,118166
120.1,97404,422,757,14665,118289
121.1,98539,393,757,13103,118422
122.1,99604,386,745,11741,118528
123.1,100712,389,705,10566,118624
124.1,101793,375,631,9483,118760
125.1,102898,356,604,8549,118854
