"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9958,37,28,80,0
2.1,9950,48,7,80,0
3.1,9951,49,9,80,1
4.1,9938,49,23,80,1
5.1,9933,50,47,80,1
6.1,9930,56,72,80,1
7.1,9931,68,89,80,1
8.1,9949,80,99,80,1
9.1,9947,94,118,80,1
10.1,9944,115,132,80,1
11.1,9945,135,140,80,1
12.1,9931,152,174,80,2
13.1,9945,176,207,80,3
14.1,9944,200,247,80,6
15.1,9941,225,299,80,6
16.1,9941,262,325,80,7
17.1,9937,293,373,80,8
18.1,9937,325,439,80,11
19.1,9940,371,498,80,12
20.1,9940,427,555,80,13
21.1,9939,478,636,80,14
22.1,9938,534,717,80,18
23.1,9924,585,818,80,20
24.1,9917,638,961,80,27
25.1,9900,689,1049,80,32
26.1,9904,738,1179,80,36
27.1,9909,806,1319,80,43
28.1,9907,899,1436,80,49
29.1,9888,967,1599,80,54
30.1,9904,1053,1773,80,62
31.1,9899,1128,1974,80,72
32.1,9867,1205,2175,80,81
33.1,9847,1299,2372,80,92
34.1,9826,1410,2576,80,104
35.1,9799,1510,2780,80,119
36.1,9759,1603,2997,80,140
37.1,9737,1689,3231,80,163
38.1,9711,1792,3477,80,183
39.1,9677,1897,3719,80,212
40.1,9647,1992,3986,80,247
41.1,9595,2086,4263,80,276
42.1,9549,2189,4576,80,308
43.1,9473,2264,4814,80,360
44.1,9404,2353,5043,80,419
45.1,9335,2424,5278,80,479
46.1,9248,2471,5495,80,560
47.1,9153,2497,5756,80,654
48.1,9033,2515,5945,80,767
49.1,8903,2534,6068,80,896
50.1,8767,2542,6182,80,1052
51.1,8620,2534,6197,80,1218
52.1,8450,2486,6217,80,1406
53.1,8275,2433,6217,80,1614
54.1,8090,2374,6108,80,1855
55.1,7873,2294,5977,80,2110
56.1,7659,2180,5822,80,2364
57.1,7451,2072,5632,80,2650
58.1,7263,1972,5314,80,2929
59.1,7005,1818,4971,80,3251
60.1,6785,1684,4587,80,3554
61.1,6571,1537,4242,80,3861
62.1,6384,1429,3904,80,4167
63.1,6211,1303,3520,80,4464
64.1,6065,1195,3147,80,4741
65.1,5925,1105,2762,80,4980
66.1,5804,997,2503,80,5222
67.1,5704,913,2264,80,5457
68.1,5619,856,1994,80,5658
69.1,5540,774,1768,80,5867
70.1,5476,709,1574,80,6044
71.1,5432,665,1423,80,6218
72.1,5406,609,1259,80,6383
73.1,5370,534,1134,80,6557
74.1,5355,494,992,80,6699
75.1,5380,456,869,80,6841
76.1,5396,421,779,80,6965
77.1,5419,411,691,80,7067
78.1,5460,390,611,80,7159
79.1,5484,341,560,80,7264
80.1,5524,311,510,80,7365
81.1,5587,313,460,80,7442
82.1,5649,289,417,80,7528
83.1,5698,269,383,80,7605
84.1,5753,246,345,80,7683
85.1,5825,236,321,80,7746
86.1,5892,221,311,80,7809
87.1,5986,208,289,80,7868
88.1,6067,197,269,80,7927
89.1,6127,179,224,80,7985
90.1,6210,163,203,80,8036
91.1,6302,152,190,80,8082
92.1,6381,148,185,80,8120
93.1,6471,132,159,80,8166
94.1,6547,116,137,80,8207
95.1,6641,104,128,80,8239
96.1,6724,104,119,80,8266
97.1,6820,90,112,80,8306
98.1,6908,92,102,80,8323
99.1,6991,80,100,80,8352
100.1,7068,73,95,80,8378
101.1,7153,64,81,80,8403
102.1,7250,61,72,80,8422
103.1,7323,60,54,80,8439
104.1,7412,60,58,80,8452
105.1,7496,50,64,80,8476
106.1,7590,51,53,80,8493
107.1,7673,47,52,80,8509
108.1,7733,38,49,80,8527
109.1,7813,42,43,80,8538
110.1,7894,44,33,80,8547
111.1,7966,39,30,80,8563
112.1,8046,32,29,80,8578
113.1,8112,28,26,80,8586
114.1,8186,28,30,80,8592
115.1,8260,27,35,80,8599
116.1,8332,28,29,80,8605
117.1,8408,27,31,80,8611
118.1,8490,24,34,80,8619
119.1,8546,26,30,80,8623
120.1,8607,25,25,80,8629
121.1,8679,29,21,80,8632
122.1,8746,27,27,80,8637
123.1,8797,18,24,80,8648
124.1,8854,22,18,80,8655
125.1,8888,23,15,80,8659
126.1,8940,21,19,80,8665
127.1,8985,19,20,80,8670
128.1,9047,20,20,80,8674
129.1,9086,17,20,80,8677
130.1,9133,13,23,80,8686
131.1,9155,15,18,80,8693
132.1,9201,15,16,80,8697
133.1,9236,16,11,80,8702
