"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
175.1,146105,82,140,3223,120843
176.1,146664,79,147,3229,120865
177.1,147248,83,163,3220,120880
178.1,147705,85,153,3223,120900
179.1,148185,76,137,3217,120921
180.1,148648,74,125,3220,120937
181.1,149135,76,126,3214,120953
182.1,149631,66,141,3225,120972
183.1,150090,68,148,3221,120977
184.1,150534,68,138,3212,120988
185.1,150878,65,133,3211,120997
186.1,151301,65,117,3207,120998
187.1,151690,71,91,3208,121000
188.1,152001,65,94,3209,121004
189.1,152383,57,102,3208,121008
190.1,152740,54,104,3208,120997
191.1,153040,56,105,3207,120983
192.1,153387,52,114,3213,120965
193.1,153674,54,113,3213,120927
194.1,153969,54,128,3207,120892
195.1,154270,53,125,3209,120844
196.1,154551,60,122,3211,120784
197.1,154788,59,108,3209,120712
198.1,155042,63,94,3208,120634
199.1,155255,61,88,3207,120509
200.1,155476,63,86,3209,120346
201.1,155697,48,90,3213,120176
202.1,155903,49,88,3213,119944
203.1,156087,47,79,3216,119657
204.1,156283,42,99,3215,119330
205.1,156510,45,79,3219,118955
206.1,156654,46,66,3215,118525
207.1,156832,46,60,3218,118025
208.1,156958,40,72,3213,117482
209.1,157133,36,74,3223,116793
210.1,157275,36,72,3224,115947
211.1,157415,35,77,3224,115034
212.1,157534,43,83,3221,114093
213.1,157682,45,84,3227,113063
214.1,157818,41,79,3218,111824
215.1,157942,34,71,3217,110425
216.1,158038,42,54,3218,108950
217.1,158163,43,46,3216,107240
218.1,158237,39,43,3223,105474
219.1,158311,36,48,3223,103548
220.1,158427,34,55,3231,101442
221.1,158507,33,57,3232,99160
222.1,158595,30,56,3227,96814
223.1,158677,26,61,3227,94311
224.1,158733,31,57,3226,91541
225.1,158806,34,58,3223,88717
226.1,158858,40,52,3227,85837
227.1,158929,40,62,3221,82851
228.1,158968,38,68,3224,79820
229.1,158996,37,83,3226,76697
230.1,159064,41,86,3213,73497
231.1,159114,42,86,3214,70254
232.1,159134,38,92,3210,67012
233.1,159167,42,86,3207,63855
234.1,159192,46,76,3210,60682
235.1,159210,48,80,3209,57552
236.1,159244,57,82,3209,54462
237.1,159292,55,73,3206,51590
238.1,159325,54,83,3207,48725
239.1,159342,59,95,3207,45922
240.1,159377,61,106,3208,43166
