RunNumber,stop.at
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
1,241
