"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Innate Immune Cells"
194.1,9967,0,0,160,8368
195.1,9969,0,0,160,8359
196.1,9969,0,0,160,8350
197.1,9979,0,0,160,8339
198.1,9975,0,0,160,8327
199.1,9971,0,0,160,8313
200.1,9961,0,0,160,8305
201.1,9975,0,0,160,8283
202.1,9973,0,0,160,8268
203.1,9969,0,0,160,8252
204.1,9975,0,0,160,8229
205.1,9964,0,0,160,8207
206.1,9980,0,0,160,8173
207.1,9974,0,0,160,8151
208.1,9978,0,0,160,8118
209.1,9977,0,0,160,8071
210.1,9967,0,0,160,8031
211.1,9978,0,0,160,7984
212.1,9984,0,0,160,7945
213.1,9981,0,0,160,7874
214.1,9975,0,0,160,7814
215.1,9970,0,0,160,7738
216.1,9973,0,0,160,7662
217.1,9979,0,0,160,7570
218.1,9979,0,0,160,7482
219.1,9984,0,0,160,7378
220.1,9983,0,0,160,7278
221.1,9978,0,0,160,7167
222.1,9975,0,0,160,7060
223.1,9978,0,0,160,6941
224.1,9983,0,0,160,6817
225.1,9970,0,0,160,6698
226.1,9967,0,0,160,6577
227.1,9979,0,0,160,6431
228.1,9978,0,0,160,6284
229.1,9980,0,0,160,6094
230.1,9985,0,0,160,5932
231.1,9985,0,0,160,5758
232.1,9986,0,0,160,5582
233.1,9981,0,0,160,5395
234.1,9979,0,0,160,5232
235.1,9984,0,0,160,5062
236.1,9975,0,0,160,4860
237.1,9973,0,0,160,4669
238.1,9974,0,0,160,4486
239.1,9970,0,0,160,4291
240.1,9970,0,0,160,4117
