"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9963,39,34,84,0
2.1,9954,49,10,84,0
3.1,9947,49,11,83,0
4.1,9941,50,25,81,0
5.1,9934,51,49,81,0
6.1,9929,55,75,81,0
7.1,9927,65,100,82,1
8.1,9945,86,103,81,1
9.1,9946,100,121,81,1
10.1,9943,119,120,81,1
11.1,9946,141,140,81,1
12.1,9932,161,170,81,1
13.1,9939,184,202,80,1
14.1,9946,205,252,81,1
15.1,9937,226,299,82,1
16.1,9937,258,346,83,2
17.1,9938,308,388,84,3
18.1,9939,344,451,86,3
19.1,9947,389,509,87,3
20.1,9952,444,565,91,3
21.1,9952,496,682,93,4
22.1,9941,545,800,94,5
23.1,9926,605,893,100,6
24.1,9920,664,1013,105,6
25.1,9911,718,1123,110,7
26.1,9901,781,1205,114,7
27.1,9909,849,1340,118,8
28.1,9910,923,1483,120,9
29.1,9898,1002,1643,126,10
30.1,9902,1095,1796,130,16
31.1,9892,1175,2022,137,20
32.1,9863,1277,2218,144,22
33.1,9842,1355,2405,156,28
34.1,9827,1447,2662,159,34
35.1,9800,1536,2881,167,39
36.1,9765,1618,3125,183,49
37.1,9750,1695,3381,202,59
38.1,9724,1803,3696,223,70
39.1,9697,1915,3889,240,80
40.1,9661,2005,4148,266,96
41.1,9620,2103,4373,291,116
42.1,9550,2169,4548,324,139
43.1,9483,2235,4843,368,167
44.1,9412,2304,5045,421,205
45.1,9338,2367,5309,474,245
46.1,9249,2446,5498,539,304
47.1,9162,2493,5714,621,368
48.1,9048,2486,5903,704,441
49.1,8917,2525,6028,800,525
50.1,8785,2531,6120,925,637
51.1,8641,2522,6173,1068,770
52.1,8482,2484,6206,1210,924
53.1,8303,2444,6103,1358,1081
54.1,8094,2343,5995,1513,1271
55.1,7873,2241,5916,1685,1464
56.1,7675,2181,5749,1885,1671
57.1,7494,2106,5490,2077,1897
58.1,7272,1963,5172,2274,2155
59.1,7072,1858,4859,2457,2416
60.1,6868,1737,4580,2622,2700
61.1,6670,1617,4297,2826,2959
62.1,6476,1464,3923,2991,3221
63.1,6280,1321,3545,3150,3488
64.1,6131,1229,3168,3302,3740
65.1,5978,1110,2810,3460,3970
66.1,5840,988,2495,3587,4220
67.1,5749,925,2186,3700,4423
68.1,5648,827,1917,3812,4614
69.1,5579,755,1696,3907,4794
70.1,5527,682,1559,3987,4973
71.1,5449,583,1408,4034,5163
72.1,5450,546,1229,4086,5305
73.1,5444,515,1045,4139,5428
74.1,5433,461,896,4193,5560
75.1,5444,426,789,4235,5667
76.1,5471,381,689,4264,5787
77.1,5503,365,582,4301,5873
78.1,5531,315,522,4324,5976
79.1,5581,289,486,4353,6053
80.1,5632,258,416,4364,6138
81.1,5684,238,346,4384,6198
82.1,5750,230,274,4404,6252
83.1,5800,213,246,4407,6315
84.1,5875,190,234,4411,6361
85.1,5960,161,234,4417,6416
86.1,6058,156,211,4404,6454
87.1,6127,130,212,4399,6505
88.1,6231,135,175,4376,6534
89.1,6336,134,147,4354,6568
90.1,6435,124,137,4328,6599
91.1,6514,119,108,4292,6630
92.1,6601,99,107,4262,6671
93.1,6657,85,100,4202,6706
94.1,6766,83,97,4149,6727
95.1,6861,80,93,4068,6752
96.1,6944,83,79,3984,6774
97.1,7035,75,74,3900,6793
98.1,7110,61,66,3799,6822
99.1,7210,62,59,3665,6837
100.1,7305,57,63,3528,6852
101.1,7392,54,65,3404,6868
102.1,7453,52,60,3243,6886
103.1,7558,51,53,3080,6900
104.1,7627,50,49,2932,6913
105.1,7731,44,47,2757,6926
106.1,7810,40,42,2582,6941
107.1,7886,37,40,2397,6953
108.1,7943,38,39,2210,6960
109.1,8015,37,41,2041,6967
110.1,8096,32,45,1865,6977
111.1,8159,28,38,1706,6985
112.1,8230,22,28,1560,6993
113.1,8292,20,22,1418,6999
114.1,8375,18,18,1266,7003
115.1,8443,11,16,1158,7010
116.1,8496,12,18,1038,7014
117.1,8561,9,16,929,7017
118.1,8603,7,12,846,7022
119.1,8678,8,4,755,7024
120.1,8735,8,1,668,7026
121.1,8776,6,1,604,7030
122.1,8845,5,1,553,7031
123.1,8899,3,2,509,7033
124.1,8933,3,1,468,7034
125.1,8998,3,2,416,7035
126.1,9057,3,3,385,7035
127.1,9107,1,2,345,7037
128.1,9151,1,3,313,7037
129.1,9202,2,2,279,7037
130.1,9250,3,2,255,7037
131.1,9308,3,3,234,7038
132.1,9340,4,3,212,7038
133.1,9387,3,3,195,7039
134.1,9420,4,4,176,7039
135.1,9455,3,7,163,7040
136.1,9494,3,4,153,7041
137.1,9535,4,5,137,7041
138.1,9558,3,5,130,7042
139.1,9600,3,4,118,7042
140.1,9623,1,6,114,7044
141.1,9647,2,5,112,7046
142.1,9666,3,5,102,7046
143.1,9692,4,3,100,7046
144.1,9721,4,4,96,7046
145.1,9749,4,5,88,7046
146.1,9767,3,2,83,7048
147.1,9788,3,1,79,7050
148.1,9802,3,1,83,7050
149.1,9808,1,1,82,7053
150.1,9815,1,0,83,7053
151.1,9834,0,1,81,7054
152.1,9843,0,1,80,7054
153.1,9860,0,0,81,7054
154.1,9868,0,0,82,7054
155.1,9882,0,0,77,7054
156.1,9899,0,0,81,7054
157.1,9899,0,0,81,7054
158.1,9901,0,0,79,7054
159.1,9916,0,0,80,7054
160.1,9915,0,0,78,7054
161.1,9921,0,0,79,7054
162.1,9930,0,0,79,7054
163.1,9939,0,0,80,7054
164.1,9939,0,0,79,7053
165.1,9948,0,0,80,7052
166.1,9947,0,0,80,7052
167.1,9954,0,0,80,7052
168.1,9955,0,0,80,7052
169.1,9959,0,0,80,7052
170.1,9968,0,0,80,7052
171.1,9963,0,0,80,7052
172.1,9971,0,0,80,7052
173.1,9969,0,0,80,7052
174.1,9971,0,0,80,7051
175.1,9974,0,0,80,7051
176.1,9974,0,0,80,7049
177.1,9968,0,0,80,7049
178.1,9966,0,0,80,7049
179.1,9972,0,0,80,7049
180.1,9979,0,0,80,7047
181.1,9972,0,0,80,7046
182.1,9974,0,0,80,7046
183.1,9974,0,0,83,7044
184.1,9976,0,0,81,7044
185.1,9981,0,0,81,7042
186.1,9975,0,0,85,7040
187.1,9985,0,0,86,7038
188.1,9978,0,0,85,7036
189.1,9980,0,0,85,7034
190.1,9976,0,0,82,7030
191.1,9981,0,0,84,7028
192.1,9982,0,0,84,7027
193.1,9982,0,0,83,7021
194.1,9978,0,0,83,7018
195.1,9976,0,0,82,7010
196.1,9980,0,0,84,7007
197.1,9980,0,0,84,6992
198.1,9981,0,0,81,6981
199.1,9978,0,0,84,6968
200.1,9979,0,0,83,6960
201.1,9990,0,0,83,6939
202.1,9983,0,0,82,6919
203.1,9977,0,0,84,6900
204.1,9979,0,0,81,6873
205.1,9983,0,0,81,6845
206.1,9988,0,0,85,6819
207.1,9981,0,0,84,6779
208.1,9980,0,0,83,6746
209.1,9974,0,0,82,6701
210.1,9975,0,0,82,6638
211.1,9979,0,0,82,6572
212.1,9976,0,0,83,6508
213.1,9973,0,0,82,6423
214.1,9974,0,0,86,6354
215.1,9976,0,0,86,6242
216.1,9981,0,0,86,6137
217.1,9978,0,0,85,6032
218.1,9985,0,0,85,5906
219.1,9983,0,0,85,5780
220.1,9975,0,0,85,5663
221.1,9973,0,0,85,5517
222.1,9978,0,0,85,5353
223.1,9979,0,0,85,5196
224.1,9975,0,0,85,5028
225.1,9971,0,0,85,4888
226.1,9979,0,0,85,4727
227.1,9982,0,0,85,4591
228.1,9979,0,0,85,4404
229.1,9976,0,0,86,4196
230.1,9984,0,0,88,4031
231.1,9981,0,0,88,3827
232.1,9975,0,0,89,3663
233.1,9978,0,0,87,3469
234.1,9978,0,0,88,3272
235.1,9985,0,0,87,3077
236.1,9979,0,0,87,2899
237.1,9976,0,0,86,2734
238.1,9969,0,0,86,2570
239.1,9971,0,0,90,2417
240.1,9976,0,0,86,2274
