"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,160000,0,1920,3200,0
1.1,159455,386,963,3207,0
2.1,159211,596,464,3208,0
3.1,159051,667,272,3208,0
4.1,158978,697,319,3213,0
5.1,158979,730,667,3203,1
6.1,159004,765,1233,3211,1
7.1,159022,903,1868,3212,2
8.1,159048,1087,2434,3211,2
9.1,158998,1361,2887,3211,3
10.1,159015,1702,3273,3213,3
11.1,159064,2047,3790,3217,6
12.1,159065,2439,4382,3220,6
13.1,159110,2863,5215,3238,6
14.1,159100,3325,6352,3223,6
15.1,159056,3849,7827,3229,6
16.1,159051,4512,9375,3223,8
17.1,159079,5210,11253,3235,8
18.1,159095,6005,13539,3243,10
19.1,159134,6932,15972,3253,13
20.1,159097,8050,18760,3252,17
21.1,159132,9154,22080,3275,21
22.1,159091,10341,25852,3293,26
23.1,159041,11647,30091,3311,33
24.1,158927,12858,34766,3351,39
25.1,158767,14293,39704,3396,48
26.1,158553,15758,45182,3455,57
27.1,158530,17433,51521,3515,67
28.1,158428,19243,58320,3596,82
29.1,158351,21130,66085,3676,101
30.1,158248,23134,74436,3821,111
31.1,158087,25236,83580,3973,134
32.1,157859,27318,93414,4166,163
33.1,157581,29420,103895,4393,194
