"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,160000,0,1920,3200,0
1.1,159460,418,966,3209,0
2.1,159224,609,455,3210,0
3.1,159070,698,231,3208,0
4.1,159027,732,279,3225,0
5.1,158991,750,645,3219,0
6.1,159002,804,1256,3222,0
7.1,159022,909,1920,3212,1
8.1,159063,1119,2502,3219,3
9.1,159032,1387,2951,3216,3
10.1,159059,1726,3310,3212,4
11.1,159056,2087,3821,3211,4
12.1,159089,2513,4382,3223,6
13.1,159081,2962,5201,3217,7
14.1,159091,3392,6350,3217,8
15.1,159131,3924,7796,3233,9
16.1,159139,4589,9492,3243,11
17.1,159109,5315,11466,3235,11
18.1,159128,6157,13605,3231,14
19.1,159124,7117,16022,3254,17
20.1,159078,8118,18935,3278,19
21.1,159076,9277,22174,3289,24
22.1,159021,10518,25933,3300,33
23.1,158976,11837,30255,3351,39
24.1,158874,13169,35164,3398,44
25.1,158695,14624,40145,3446,51
26.1,158514,16152,45555,3505,60
27.1,158436,17830,51988,3605,70
28.1,158374,19688,58954,3712,82
29.1,158356,21661,66806,3833,98
30.1,158256,23700,75709,3972,114
31.1,158124,25814,85311,4124,128
32.1,157916,28028,95517,4333,159
33.1,157592,30221,106201,4589,189
34.1,157176,32413,117363,4888,230
35.1,156728,34707,128943,5231,277
36.1,156262,36926,141103,5636,329
37.1,155682,39204,153454,6103,392
38.1,155056,41327,166677,6649,474
39.1,154365,43591,179697,7351,580
40.1,153586,45827,193303,8187,720
41.1,152595,47891,206424,9089,905
42.1,151503,49740,219578,10169,1114
43.1,150268,51500,232602,11424,1394
44.1,148846,53081,245013,12980,1748
45.1,147304,54498,256859,14844,2202
46.1,145605,55812,267735,16931,2780
47.1,143716,56938,278200,19430,3468
48.1,141502,57658,286405,22323,4367
49.1,138983,58123,293901,25584,5524
50.1,136264,58280,299598,29333,6943
51.1,133205,58049,303990,33747,8729
52.1,129735,57351,306552,38627,10917
53.1,125862,56163,306462,44054,13531
54.1,121666,54569,304161,49934,16678
55.1,117127,52521,298809,56321,20312
56.1,112271,50019,290481,63188,24310
57.1,107010,47016,278514,70171,28937
58.1,101672,43737,264838,77232,33988
59.1,96228,40351,248986,84190,39303
60.1,90909,36894,231024,90912,44840
61.1,85678,33392,211667,97245,50483
62.1,80444,29755,191439,103181,56278
63.1,75679,26376,170440,108475,61700
64.1,71508,23376,150302,113244,66804
65.1,67585,20611,131161,117571,71631
66.1,64206,18170,113185,121348,76133
67.1,61225,15971,97297,124533,80286
68.1,58726,14125,82896,127363,83992
69.1,56585,12542,70458,129708,87335
70.1,54771,11099,59739,131733,90428
71.1,53211,9808,50373,133477,93324
72.1,52037,8751,42536,134981,95843
73.1,51110,7858,35799,136295,98088
74.1,50384,7118,30152,137367,100133
75.1,49850,6417,25676,138369,101966
76.1,49431,5754,21908,139223,103692
77.1,49197,5182,18884,139957,105267
78.1,49147,4750,16271,140538,106692
79.1,49203,4323,14142,141007,107978
80.1,49493,4000,12223,141359,109148
81.1,49775,3687,10693,141578,110272
82.1,50151,3454,9369,141738,111282
83.1,50632,3134,8444,141817,112209
84.1,51224,2877,7561,141712,113068
85.1,51799,2662,6816,141566,113862
86.1,52505,2492,6190,141289,114588
87.1,53279,2326,5698,140832,115295
88.1,54007,2150,5162,140239,115933
89.1,54861,2004,4692,139468,116545
90.1,55760,1871,4312,138506,117084
91.1,56690,1744,3962,137336,117615
92.1,57674,1640,3637,135915,118095
93.1,58654,1576,3347,134251,118534
94.1,59688,1540,3079,132260,118956
95.1,60693,1439,2891,129867,119365
96.1,61766,1395,2737,127138,119746
97.1,62768,1274,2539,123981,120169
98.1,63884,1196,2399,120451,120498
99.1,64953,1075,2283,116321,120845
100.1,66065,1053,2092,111882,121136
101.1,67137,998,1934,107076,121445
102.1,68260,949,1714,101612,121724
103.1,69357,860,1588,95696,121997
