"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1280,3200,0,164480
1.1,159422,255,578,651,3234,0,163885
2.1,159138,378,862,329,3237,0,163566
3.1,159053,439,947,166,3256,0,163422
4.1,158994,462,1006,218,3249,0,163467
5.1,158950,480,1050,380,3244,0,163624
6.1,158944,519,1056,579,3240,0,163819
7.1,158998,578,1002,966,3260,1,164227
8.1,159026,653,974,1388,3258,1,164647
9.1,159009,804,991,1784,3258,1,165043
10.1,159004,983,996,2308,3259,1,165568
11.1,159018,1234,982,2852,3259,2,166113
12.1,159027,1520,973,3328,3247,3,166578
13.1,159009,1887,991,3918,3254,3,167175
14.1,159042,2293,958,4565,3270,4,167839
15.1,159049,2698,951,5408,3269,4,168681
16.1,159000,3162,1000,6279,3294,5,169578
17.1,159029,3707,971,7471,3281,7,170759
18.1,159048,4238,952,9142,3287,8,172437
19.1,159028,4867,972,11088,3292,9,174389
20.1,159020,5529,980,13430,3302,10,176742
21.1,158992,6264,1008,16098,3323,17,179438
22.1,158996,7087,1004,19444,3349,20,182813
23.1,158978,8026,1022,22926,3372,23,186321
24.1,158939,8943,1061,26739,3379,27,190145
25.1,158834,9931,1166,31103,3396,30,194529
26.1,158674,10987,1326,35525,3425,32,198982
27.1,158614,12149,1386,40861,3463,34,204358
28.1,158611,13471,1389,46139,3523,39,209701
29.1,158508,14794,1492,52842,3571,43,216456
30.1,158439,16129,1561,60507,3646,51,224204
31.1,158320,17641,1680,68422,3741,68,232231
32.1,158192,19146,1808,77416,3829,78,241323
33.1,158066,20634,1934,87185,3923,88,251196
34.1,157855,22193,2145,96988,4031,103,261122
35.1,157524,23718,2476,107461,4177,120,271758
36.1,157213,25240,2787,118340,4340,148,282828
37.1,156778,26872,3222,128931,4517,170,293618
38.1,156314,28401,3686,140443,4742,197,305382
39.1,155855,29994,4145,151992,4992,221,317205
40.1,155279,31536,4721,163613,5304,257,329174
41.1,154699,33082,5301,175884,5624,301,341809
42.1,154014,34540,5986,188576,6025,356,354957
43.1,153258,36022,6742,200823,6469,429,367721
44.1,152469,37481,7531,213785,7025,508,381318
45.1,151618,38889,8382,225921,7666,609,394196
46.1,150583,40103,9417,237398,8430,741,406569
47.1,149498,41230,10502,249332,9276,900,419508
48.1,148244,42309,11756,260436,10222,1101,431759
49.1,146891,43290,13109,270329,11280,1350,442959
50.1,145416,44194,14584,279692,12533,1650,453875
51.1,143835,44895,16165,288377,13928,2027,464332
52.1,142119,45427,17881,295656,15477,2465,473598
53.1,140290,45817,19710,301943,17281,3006,482230
54.1,138248,46155,21752,307133,19266,3651,490050
55.1,136057,46248,23943,310650,21435,4415,496500
56.1,133742,46218,26258,313338,23906,5325,502569
57.1,131272,46050,28728,314501,26471,6335,507307
58.1,128657,45515,31343,313888,29360,7538,510786
59.1,125676,44748,34324,312474,32500,8912,513886
60.1,122641,43782,37359,307748,35742,10477,513967
61.1,119597,42787,40403,301120,39142,12196,512458
62.1,116493,41573,43507,293431,42723,14053,510207
63.1,113144,40114,46856,284833,46350,16060,507243
64.1,109745,38581,50255,275193,50104,18215,503512
65.1,106343,36954,53657,262947,53901,20490,497338
66.1,102839,35245,57161,250256,57687,22918,490861
67.1,99532,33566,60468,237113,61512,25306,483931
68.1,96294,31904,63706,223062,65298,27778,476138
69.1,92944,30031,67056,208556,68901,30396,467853
70.1,89736,28136,70264,193508,72433,33037,458978
71.1,86724,26340,73276,179310,75816,35596,450722
72.1,83784,24610,76216,164848,79050,38161,442059
73.1,81109,22967,78891,150655,82147,40606,433408
74.1,78411,21424,81589,137041,85063,43126,425230
75.1,75921,19958,84079,124070,87839,45521,417430
76.1,73681,18629,86319,111627,90313,47810,409750
77.1,71561,17247,88439,100817,92609,50080,403506
78.1,69662,16061,90338,90416,94802,52155,397373
79.1,67906,14920,92094,80988,96705,54216,391909
80.1,66236,13869,93764,73225,98504,56185,387914
81.1,64812,13004,95188,65554,100194,58064,383812
82.1,63590,12232,96410,58544,101678,59834,380056
83.1,62401,11461,97599,52659,102980,61538,377177
84.1,61507,10765,98493,47323,104159,63146,374628
85.1,60644,10123,99356,42650,105233,64713,372596
86.1,59838,9550,100162,38656,106183,66167,371006
87.1,59107,9001,100893,34846,107000,67576,369422
88.1,58561,8519,101439,31500,107741,68924,368165
89.1,58227,8176,101773,28796,108359,70162,367317
90.1,57863,7714,102137,26401,108871,71415,366687
91.1,57566,7387,102434,24250,109317,72565,366132
92.1,57273,6975,102727,22390,109630,73692,365712
93.1,57235,6673,102765,20797,109816,74767,365380
94.1,57204,6428,102796,19105,109870,75739,364714
95.1,57145,6106,102855,17495,109817,76773,364085
96.1,57198,5824,102802,16098,109591,77741,363430
97.1,57294,5522,102706,15046,109227,78656,362929
98.1,57416,5276,102584,13911,108756,79538,362205
99.1,57639,5008,102361,12935,108124,80398,361457
100.1,57903,4794,102097,12117,107263,81186,360566
101.1,58297,4628,101703,11484,106265,81969,359718
102.1,58711,4478,101289,10713,105095,82734,358542
103.1,59204,4288,100796,10121,103601,83495,357217
104.1,59716,4202,100284,9490,101965,84141,355596
105.1,60278,4048,99722,8960,100023,84803,353786
106.1,60843,3917,99157,8584,97875,85437,351896
107.1,61386,3711,98614,8035,95510,86094,349639
108.1,61998,3574,98002,7543,92890,86711,347144
109.1,62680,3432,97320,7226,90243,87289,344758
110.1,63382,3315,96618,6986,87258,87849,342093
111.1,64031,3154,95969,6774,84169,88409,339352
112.1,64855,3022,95145,6574,80919,88950,336443
113.1,65647,2953,94353,6486,77599,89433,333518
114.1,66408,2930,93592,6140,74133,89922,330195
115.1,67226,2904,92774,5951,70629,90388,326968
116.1,68085,2807,91915,5713,67004,90867,323584
117.1,68881,2740,91119,5392,63437,91336,320165
118.1,69727,2641,90273,5196,59845,91815,316856
119.1,70503,2524,89497,4855,56285,92302,313442
120.1,71372,2477,88628,4646,52908,92742,310296
121.1,72348,2403,87652,4475,49662,93154,307291
122.1,73229,2355,86771,4358,46493,93540,304391
123.1,74189,2281,85811,4289,43464,93952,301705
124.1,75170,2264,84830,4228,40486,94316,299030
125.1,76174,2229,83826,4099,37661,94694,296454
126.1,77151,2198,82849,3844,35157,95058,294059
127.1,78079,2174,81921,3711,32740,95416,291867
128.1,79040,2118,80960,3655,30515,95779,289949
129.1,80075,2063,79925,3577,28333,96138,288048
130.1,81049,2035,78951,3453,26435,96499,286387
131.1,82013,2002,77987,3315,24565,96843,284723
132.1,83041,1959,76959,3126,22961,97200,283287
133.1,83975,1926,76025,3021,21381,97516,281918
134.1,84921,1852,75079,3011,19945,97845,280801
135.1,85813,1811,74187,3000,18602,98152,279754
136.1,86781,1771,73219,2876,17329,98466,278671
137.1,87722,1713,72278,2956,16198,98790,277944
138.1,88678,1679,71322,2928,15187,99093,277208
139.1,89615,1646,70385,2878,14219,99394,276491
140.1,90640,1663,69360,2730,13253,99642,275625
141.1,91623,1661,68377,2638,12413,99911,274962
142.1,92626,1614,67374,2522,11616,100200,274338
143.1,93587,1580,66413,2511,10884,100463,273858
144.1,94526,1520,65474,2458,10198,100755,273411
145.1,95430,1519,64570,2382,9580,101006,272968
146.1,96352,1458,63648,2349,8926,101289,272564
147.1,97229,1437,62771,2318,8323,101536,272177
148.1,98186,1383,61814,2220,7802,101780,271802
149.1,99060,1365,60940,2107,7264,102022,271393
150.1,99960,1335,60040,2039,6798,102268,271105
151.1,100892,1304,59108,1998,6393,102493,270884
152.1,101827,1298,58173,2018,6037,102701,270756
153.1,102749,1258,57251,2100,5664,102938,270702
154.1,103573,1210,56427,2069,5296,103163,270528
155.1,104481,1203,55519,2100,5009,103375,270484
156.1,105345,1190,54655,2057,4735,103576,270368
157.1,106251,1179,53749,1920,4507,103776,270203
158.1,107161,1183,52839,1946,4324,103976,270246
159.1,108002,1186,51998,1946,4146,104165,270257
160.1,108830,1147,51170,1919,4005,104380,270304
161.1,109720,1166,50280,1814,3893,104571,270278
162.1,110509,1155,49491,1692,3756,104765,270213
163.1,111390,1112,48610,1735,3642,104954,270331
164.1,112256,1079,47744,1722,3602,105161,270485
165.1,113139,1102,46861,1716,3539,105332,270587
166.1,113934,1071,46066,1715,3485,105525,270725
167.1,114754,1050,45246,1675,3431,105715,270821
168.1,115528,1012,44472,1660,3368,105897,270925
169.1,116353,1024,43647,1664,3326,106066,271056
170.1,117187,1010,42813,1691,3293,106237,271221
171.1,117946,944,42054,1693,3277,106431,271401
172.1,118790,931,41210,1690,3264,106596,271550
173.1,119527,932,40473,1668,3259,106776,271703
174.1,120310,945,39690,1537,3264,106932,271733
175.1,121067,933,38933,1502,3251,107081,271834
176.1,121837,915,38163,1489,3241,107250,271980
177.1,122564,909,37436,1442,3264,107400,272106
178.1,123355,894,36645,1444,3263,107551,272258
179.1,124045,872,35955,1372,3272,107720,272364
180.1,124797,859,35203,1359,3273,107863,272495
181.1,125531,837,34469,1292,3274,108028,272594
182.1,126290,818,33710,1209,3268,108177,272654
183.1,127036,810,32964,1178,3266,108296,272740
184.1,127735,775,32265,1251,3269,108444,272964
185.1,128386,748,31614,1205,3278,108589,273072
186.1,129038,742,30962,1216,3284,108710,273210
187.1,129752,726,30248,1200,3290,108849,273339
188.1,130442,724,29558,1115,3303,108969,273387
189.1,131161,703,28839,1091,3294,109092,273477
190.1,131852,680,28148,1066,3300,109213,273579
191.1,132564,700,27436,1016,3304,109318,273638
192.1,133147,699,26853,954,3301,109443,273698
193.1,133786,667,26214,885,3310,109546,273741
194.1,134417,654,25583,931,3313,109639,273883
195.1,135032,629,24968,911,3309,109729,273949
196.1,135620,608,24380,929,3296,109827,274052
197.1,136272,605,23728,932,3298,109906,274136
198.1,136845,580,23155,924,3288,109985,274197
199.1,137412,570,22588,978,3279,110049,274306
200.1,137981,556,22019,937,3279,110097,274313
201.1,138552,556,21448,903,3273,110124,274300
202.1,139076,545,20924,841,3264,110164,274269
203.1,139575,523,20425,800,3269,110200,274269
204.1,140158,528,19842,764,3285,110187,274236
205.1,140636,503,19364,767,3276,110168,274211
206.1,141161,471,18839,762,3273,110139,274174
207.1,141607,447,18393,728,3262,110081,274071
208.1,142155,449,17845,677,3262,109991,273930
209.1,142624,448,17376,623,3254,109878,273755
210.1,143083,439,16917,654,3252,109704,273610
211.1,143526,427,16474,609,3245,109497,273351
212.1,143978,435,16022,659,3238,109272,273169
213.1,144399,414,15601,619,3247,108997,272863
214.1,144836,408,15164,626,3242,108670,272538
215.1,145248,396,14752,647,3238,108307,272192
216.1,145661,395,14339,595,3248,107863,271706
217.1,146037,378,13963,563,3251,107351,271165
218.1,146466,374,13534,583,3247,106787,270617
219.1,146822,367,13178,570,3235,106193,269998
220.1,147192,366,12808,617,3233,105508,269358
221.1,147541,342,12459,630,3235,104792,268657
222.1,147882,347,12118,601,3231,103903,267735
223.1,148234,361,11766,578,3254,102969,266801
224.1,148584,373,11416,526,3260,101961,265747
225.1,148963,364,11037,540,3254,100884,264678
226.1,149315,365,10685,545,3253,99655,263453
227.1,149648,358,10352,572,3268,98407,262247
228.1,149957,351,10043,592,3274,97070,260936
229.1,150255,367,9745,613,3273,95695,259581
230.1,150527,362,9473,614,3271,94199,258084
231.1,150781,364,9219,635,3263,92716,256614
232.1,151058,364,8942,653,3261,91035,254949
233.1,151316,368,8684,609,3259,89355,253223
234.1,151580,363,8420,610,3256,87573,251439
235.1,151821,353,8179,588,3255,85741,249584
236.1,152025,356,7975,595,3263,83946,247804
237.1,152280,339,7720,573,3261,82151,245985
238.1,152501,351,7499,559,3259,80256,244074
239.1,152701,360,7299,589,3254,78375,242218
240.1,152958,362,7042,646,3256,76404,240306
