"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,160000,0,1920,3200,0
1.1,159359,425,921,3207,0
2.1,159113,596,435,3213,0
3.1,159056,683,236,3210,0
4.1,159031,723,314,3210,1
5.1,159030,747,670,3212,1
6.1,159037,793,1260,3204,1
7.1,159050,904,1958,3209,1
8.1,159075,1101,2554,3211,1
9.1,159049,1384,3019,3214,2
10.1,159137,1735,3392,3215,2
11.1,159128,2118,3890,3216,2
12.1,159133,2541,4448,3220,3
13.1,159071,2908,5326,3221,4
14.1,159101,3398,6417,3217,5
15.1,159139,3912,7918,3226,6
16.1,159125,4555,9661,3231,7
17.1,159075,5300,11589,3227,7
18.1,159063,6142,13763,3238,11
19.1,159054,7093,16176,3244,15
20.1,159060,8126,19067,3254,16
21.1,159061,9246,22349,3268,23
22.1,159081,10504,26048,3295,28
23.1,159066,11867,30421,3311,31
24.1,158871,13253,35278,3373,34
25.1,158710,14592,40482,3432,43
26.1,158584,16221,46010,3494,51
27.1,158493,17999,52067,3559,55
28.1,158383,19903,59155,3668,62
29.1,158340,21841,67042,3798,79
30.1,158261,23846,75819,3932,90
31.1,158117,25997,85674,4117,107
32.1,157864,28214,95514,4345,124
33.1,157599,30334,106225,4620,148
34.1,157118,32455,117523,4928,179
35.1,156656,34665,128942,5312,214
36.1,156152,36847,141100,5742,262
37.1,155639,39106,153798,6263,337
38.1,155058,41566,166226,6823,418
39.1,154347,43651,179246,7521,520
40.1,153586,45763,192340,8357,666
41.1,152532,47745,205841,9364,859
42.1,151388,49601,218461,10529,1079
43.1,150209,51438,231345,11860,1387
44.1,148848,53159,243533,13421,1745
45.1,147336,54640,255841,15243,2209
46.1,145603,55838,266888,17383,2806
47.1,143574,56830,277092,19948,3558
48.1,141320,57595,286325,22847,4526
49.1,138759,57872,294007,26344,5742
50.1,135955,57999,299801,30231,7239
51.1,132794,57771,302968,34722,9118
52.1,129324,57041,305004,39756,11314
53.1,125440,55876,304525,45180,14083
54.1,121139,54125,301836,51123,17318
55.1,116629,52176,295860,57557,20981
56.1,111576,49592,287361,64386,25387
57.1,106145,46513,275301,71319,30291
58.1,100628,43089,260706,78225,35623
59.1,94923,39420,243762,84791,41246
60.1,89551,35819,224690,91197,46992
61.1,84106,32020,204722,97121,52839
62.1,78936,28342,183595,102549,58646
63.1,74315,25036,162660,107392,64138
64.1,70058,22032,142130,111676,69336
65.1,66291,19277,123063,115285,74215
66.1,63017,16848,105473,118508,78698
67.1,60218,14807,89664,121320,82701
68.1,57962,13136,75715,123675,86214
69.1,55976,11703,63625,125621,89482
70.1,54347,10374,53455,127302,92482
71.1,53013,9257,44643,128798,95140
72.1,51950,8294,37511,130025,97551
73.1,51132,7440,31642,131147,99747
74.1,50541,6704,26991,132108,101771
75.1,50093,6080,22968,132970,103605
76.1,49850,5490,19696,133640,105254
77.1,49689,5023,16996,134210,106774
78.1,49679,4581,14728,134659,108190
79.1,49783,4148,12745,135045,109466
80.1,49995,3804,11116,135270,110657
81.1,50381,3516,9717,135423,111736
82.1,50789,3217,8700,135434,112728
83.1,51331,2955,7658,135371,113642
84.1,51961,2737,6821,135197,114515
85.1,52619,2560,6068,134965,115294
86.1,53372,2377,5528,134576,115977
87.1,54163,2192,5072,134063,116649
88.1,54942,2002,4531,133450,117298
89.1,55863,1860,4090,132569,117878
90.1,56829,1743,3714,131544,118393
91.1,57809,1649,3428,130279,118871
92.1,58763,1552,3226,128761,119312
93.1,59859,1459,2989,127007,119729
94.1,60920,1371,2810,124933,120132
95.1,61915,1273,2635,122465,120552
96.1,63039,1240,2419,119559,120895
97.1,64226,1189,2227,116316,121224
98.1,65340,1105,2138,112611,121587
99.1,66409,1040,2073,108404,121904
100.1,67500,951,1952,103749,122237
101.1,68712,932,1844,98648,122488
102.1,69889,882,1702,93212,122754
103.1,71014,872,1519,87466,123000
104.1,72123,804,1411,81274,123270
105.1,73275,756,1312,75092,123505
106.1,74436,713,1211,68719,123714
107.1,75584,670,1163,62504,123910
108.1,76678,637,1105,56386,124116
109.1,77888,626,1071,50525,124295
110.1,79041,589,1036,45180,124484
111.1,80130,548,950,40221,124659
112.1,81264,515,907,35722,124817
113.1,82446,513,883,31613,124939
114.1,83522,486,858,27899,125095
115.1,84673,470,815,24594,125225
116.1,85823,454,753,21774,125360
117.1,86977,432,711,19385,125473
118.1,88093,411,680,17257,125595
119.1,89169,397,663,15403,125709
120.1,90305,370,6603,13762,125816
121.1,91411,352,633,12357,125910
122.1,92546,327,631,11083,126016
123.1,93604,323,631,9935,126102
124.1,94751,308,612,8937,126200
125.1,95837,303,584,8066,126282
126.1,96895,294,556,7297,126373
127.1,98023,308,508,6614,126440
128.1,99128,294,479,6000,126521
129.1,100245,290,476,5412,126603
130.1,101264,267,473,4963,126687
131.1,102402,264,475,4537,126750
132.1,103484,243,472,4208,126829
133.1,104540,252,461,3953,126886
134.1,105547,242,468,3699,126954
135.1,106602,244,456,3495,127019
136.1,107626,239,450,3368,127075
137.1,108685,242,454,3309,127133
138.1,109721,239,482,3272,127192
139.1,110701,240,479,3241,127266
140.1,111758,235,457,3224,127336
141.1,112731,224,442,3208,127400
142.1,113757,211,393,3207,127466
143.1,114743,206,357,3207,127523
144.1,115763,188,317,3206,127580
145.1,116683,187,316,3209,127624
146.1,117656,168,328,3208,127676
147.1,118698,169,348,3212,127717
148.1,119681,162,359,3203,127767
149.1,120592,167,334,3208,127805
150.1,121497,169,326,3209,127844
151.1,122526,190,287,3211,127887
152.1,123403,189,251,3204,127935
153.1,124207,174,246,3206,127986
154.1,125131,169,236,3207,128026
155.1,125950,155,234,3211,128079
156.1,126866,127,236,3209,128138
157.1,127764,121,232,3210,128176
158.1,128633,118,242,3211,128211
159.1,129454,124,242,3213,128240
160.1,130238,121,232,3204,128275
161.1,131048,114,215,3204,128310
162.1,131828,117,195,3212,128343
163.1,132629,112,180,3208,128379
164.1,133416,102,178,3207,128410
165.1,134211,92,165,3214,128445
166.1,134971,90,146,3218,128471
167.1,135621,81,144,3219,128494
168.1,136342,84,116,3219,128513
169.1,137090,77,123,3217,128533
170.1,137777,71,121,3216,128561
171.1,138498,65,119,3214,128588
172.1,139158,66,115,3216,128604
173.1,139837,60,121,3220,128626
174.1,140513,60,114,3227,128637
175.1,141199,62,88,3228,128650
176.1,141832,55,83,3224,128665
177.1,142420,49,89,3223,128686
178.1,143075,40,86,3214,128698
179.1,143674,39,87,3215,128707
180.1,144264,39,83,3212,128717
181.1,144745,41,95,3209,128726
182.1,145296,43,94,3209,128731
183.1,145824,44,77,3203,128743
184.1,146321,48,60,3207,128744
185.1,146810,40,54,3210,128750
186.1,147316,36,50,3204,128745
187.1,147791,33,61,3208,128740
188.1,148212,29,72,3208,128734
189.1,148645,29,70,3212,128723
190.1,149093,27,68,3209,128704
191.1,149519,31,55,3212,128685
192.1,149928,31,45,3207,128655
193.1,150292,30,40,3203,128603
194.1,150679,25,40,3211,128548
195.1,151070,18,46,3207,128490
196.1,151394,24,45,3212,128400
197.1,151703,32,39,3208,128301
198.1,152077,30,41,3208,128176
199.1,152393,25,37,3211,128030
200.1,152706,20,38,3207,127845
201.1,153006,21,36,3208,127641
202.1,153301,21,36,3204,127363
203.1,153577,21,33,3219,127024
204.1,153871,20,28,3208,126677
205.1,154124,22,19,3206,126257
206.1,154366,19,24,3209,125759
207.1,154582,15,23,3206,125147
208.1,154800,15,23,3218,124430
209.1,155023,12,25,3221,123596
210.1,155213,14,27,3215,122682
211.1,155412,15,36,3216,121642
212.1,155667,13,31,3207,120489
213.1,155833,17,19,3214,119179
214.1,156009,18,24,3210,117694
215.1,156169,14,23,3207,116096
216.1,156362,16,26,3216,114357
217.1,156556,18,14,3225,112487
218.1,156728,17,17,3229,110366
219.1,156862,15,22,3224,108099
220.1,157032,10,24,3218,105611
221.1,157150,10,19,3224,103040
222.1,157282,9,25,3227,100321
223.1,157412,8,25,3229,97467
224.1,157528,14,23,3225,94436
225.1,157605,11,25,3229,91258
226.1,157704,13,24,3220,87983
227.1,157817,16,18,3218,84668
228.1,157890,14,17,3219,81219
229.1,157975,13,17,3222,77796
230.1,158075,13,16,3210,74364
231.1,158150,15,19,3208,70907
232.1,158234,15,23,3206,67377
233.1,158338,19,23,3208,64012
234.1,158375,22,26,3206,60617
235.1,158451,24,29,3208,57356
236.1,158520,24,34,3206,54257
237.1,158568,20,37,3208,51099
238.1,158646,16,46,3211,47983
239.1,158683,17,43,3208,45120
240.1,158715,20,48,3207,42340
