"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9960,26,36,76,0
2.1,9953,36,9,75,0
3.1,9947,37,6,75,0
4.1,9940,38,14,75,0
5.1,9936,39,30,74,0
6.1,9934,41,48,74,0
7.1,9931,48,63,74,0
8.1,9945,59,76,74,0
9.1,9945,69,84,74,0
10.1,9947,84,91,73,0
11.1,9946,100,106,73,0
12.1,9936,116,124,73,1
13.1,9938,131,154,74,2
14.1,9947,144,185,73,2
15.1,9940,168,209,74,3
16.1,9939,188,242,74,3
17.1,9940,208,269,75,4
18.1,9939,235,322,75,4
19.1,9947,256,365,76,4
20.1,9950,300,408,77,4
21.1,9945,335,479,78,4
22.1,9950,366,551,78,4
23.1,9934,405,602,82,6
24.1,9929,438,680,86,6
