"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9969,32,43,81,0
2.1,9954,50,14,80,0
3.1,9936,57,7,80,0
4.1,9939,58,16,83,0
5.1,9924,60,42,86,0
6.1,9936,64,82,85,0
7.1,9948,76,107,86,0
8.1,9938,90,118,86,0
9.1,9934,105,134,87,0
10.1,9936,128,152,89,0
11.1,9939,150,174,86,0
12.1,9946,181,190,87,0
13.1,9939,213,232,87,0
14.1,9938,243,278,84,0
15.1,9931,286,324,86,0
16.1,9939,331,395,85,0
17.1,9933,379,468,85,0
18.1,9926,434,565,88,0
19.1,9941,503,663,90,0
20.1,9951,557,807,94,0
21.1,9943,645,933,95,0
22.1,9947,730,1083,99,1
23.1,9947,820,1273,102,1
24.1,9943,896,1472,107,1
25.1,9919,984,1655,114,1
26.1,9895,1073,1869,125,1
27.1,9891,1186,2108,133,1
28.1,9891,1299,2381,147,2
29.1,9884,1404,2705,156,3
30.1,9875,1531,3004,172,5
31.1,9860,1680,3357,192,8
32.1,9849,1817,3735,211,8
33.1,9828,1937,4108,232,13
34.1,9805,2060,4519,259,18
35.1,9767,2182,4941,297,19
36.1,9732,2316,5363,332,24
37.1,9705,2466,5834,377,30
38.1,9659,2578,6290,441,35
39.1,9615,2682,6703,519,43
40.1,9580,2818,7182,602,54
41.1,9508,2914,7577,711,72
42.1,9425,3003,8015,867,88
43.1,9321,3103,8351,1072,110
44.1,9214,3152,8758,1311,146
45.1,9097,3198,9067,1600,192
46.1,8972,3233,9310,1975,256
47.1,8816,3253,9456,2407,330
48.1,8643,3246,9537,2916,428
49.1,8443,3202,9531,3509,543
50.1,8261,3174,9540,4186,682
51.1,8035,3108,9325,4963,819
52.1,7764,2986,9049,5796,993
53.1,7480,2846,8793,6690,1170
54.1,7186,2654,8441,7669,1386
55.1,6881,2450,7916,8648,1663
56.1,6563,2222,7319,9563,1952
57.1,6263,1984,6671,10474,2237
58.1,6001,1792,5995,11318,2511
59.1,5769,1632,5317,12110,2765
60.1,5544,1420,4663,12783,3018
61.1,5330,1239,4016,13414,3265
62.1,5124,1082,3439,14004,3474
63.1,4971,925,2899,14509,3681
64.1,4838,783,2465,14943,3875
65.1,4736,663,2055,15282,4046
66.1,4672,581,1697,15613,4174
67.1,4606,480,1389,15855,4306
68.1,4588,422,1142,16053,4414
69.1,4582,365,944,16248,4504
70.1,4591,312,777,16424,4602
71.1,4615,274,624,16567,4672
72.1,4654,245,513,16677,4731
73.1,4688,218,414,16787,4796
74.1,4717,195,343,16869,4844
75.1,4769,172,310,16953,4890
76.1,4826,145,250,17023,4929
77.1,4891,148,208,17076,4955
78.1,4965,135,196,17118,4983
79.1,5041,124,185,17149,5017
80.1,5098,112,186,17188,5043
81.1,5167,99,168,17216,5072
82.1,5232,101,144,17211,5101
83.1,5299,87,135,17209,5127
84.1,5391,83,120,17205,5141
85.1,5451,78,110,17205,5159
86.1,5527,78,95,17169,5176
87.1,5594,76,81,17117,5196
88.1,5678,69,73,17025,5206
89.1,5753,62,69,16910,5221
90.1,5821,50,68,16758,5235
91.1,5902,49,67,16574,5249
92.1,5978,43,63,16360,5260
93.1,6047,38,53,16102,5269
94.1,6121,41,46,15750,5272
95.1,6203,38,37,15345,5280
96.1,6271,39,31,14853,5288
97.1,6329,33,32,14256,5300
98.1,6386,28,30,13653,5308
99.1,6488,31,30,12971,5317
100.1,6551,24,26,12253,5328
101.1,6623,27,15,11453,5335
102.1,6694,25,19,10645,5339
103.1,6776,26,19,9798,5342
104.1,6845,23,25,8947,5350
105.1,6892,19,23,8074,5362
106.1,6956,16,20,7247,5367
107.1,7044,17,20,6445,5368
108.1,7093,15,20,5730,5372
109.1,7160,17,22,5038,5375
110.1,7223,17,28,4448,5376
111.1,7290,14,28,3896,5383
112.1,7359,16,25,3442,5384
113.1,7431,16,24,3024,5388
114.1,7493,20,22,2676,5389
115.1,7560,21,17,2380,5395
116.1,7619,20,17,2108,5398
117.1,7667,17,19,1874,5403
118.1,7730,18,20,1687,5405
119.1,7792,19,23,1514,5406
120.1,7850,22,26,1355,5409
121.1,7902,24,28,1213,5412
122.1,7950,21,28,1092,5419
123.1,8002,23,26,1002,5424
124.1,8066,23,23,908,5430
125.1,8106,23,26,829,5434
126.1,8156,23,24,761,5441
127.1,8212,25,21,685,5444
128.1,8265,25,24,629,5449
129.1,8310,26,31,581,5453
130.1,8365,20,30,531,5460
131.1,8410,18,30,469,5466
132.1,8465,18,26,421,5470
133.1,8503,21,24,399,5474
134.1,8535,21,28,370,5479
135.1,8568,22,26,340,5482
136.1,8605,20,25,305,5489
137.1,8650,17,29,277,5493
138.1,8677,17,27,240,5497
139.1,8716,17,26,225,5502
140.1,8753,21,19,200,5504
141.1,8796,22,20,179,5508
142.1,8829,20,21,167,5512
143.1,8874,18,26,158,5516
144.1,8905,17,30,144,5519
145.1,8938,17,32,137,5522
146.1,8973,19,33,126,5523
147.1,9003,19,33,120,5530
148.1,9030,24,28,115,5534
149.1,9068,24,29,115,5539
150.1,9094,21,29,110,5548
151.1,9122,19,30,104,5556
152.1,9144,21,25,103,5563
153.1,9170,26,19,99,5568
154.1,9189,27,16,94,5576
155.1,9214,24,24,93,5581
156.1,9240,22,29,89,5588
157.1,9259,26,27,85,5593
158.1,9287,24,29,87,5598
159.1,9305,24,24,86,5604
160.1,9327,26,23,84,5607
161.1,9343,26,23,82,5611
162.1,9347,23,28,81,5620
163.1,9363,25,22,82,5625
164.1,9380,22,30,82,5632
165.1,9393,18,28,82,5643
166.1,9395,16,22,80,5650
167.1,9409,23,15,84,5652
168.1,9442,22,14,85,5655
169.1,9458,21,16,83,5660
170.1,9471,19,17,83,5668
171.1,9480,16,16,86,5674
172.1,9496,14,18,85,5678
173.1,9505,10,13,84,5685
174.1,9523,12,11,86,5686
175.1,9540,10,10,84,5689
176.1,9554,6,10,83,5693
177.1,9566,2,10,83,5698
178.1,9580,3,7,82,5698
179.1,9583,3,5,81,5699
180.1,9597,3,4,80,5699
181.1,9596,4,1,81,5699
182.1,9613,4,0,82,5699
183.1,9624,2,1,82,5702
184.1,9633,1,2,85,5703
185.1,9639,1,2,84,5702
186.1,9647,1,1,86,5703
187.1,9652,1,1,85,5703
188.1,9656,1,2,85,5701
189.1,9675,1,3,86,5698
190.1,9688,1,2,85,5696
191.1,9692,1,2,85,5694
192.1,9708,1,2,86,5690
193.1,9711,0,2,86,5688
194.1,9713,0,2,86,5682
195.1,9727,0,0,86,5674
196.1,9725,0,0,87,5667
197.1,9737,0,0,87,5659
198.1,9741,0,0,89,5649
199.1,9741,0,0,89,5638
200.1,9746,0,0,88,5624
201.1,9759,0,0,85,5605
202.1,9757,0,0,86,5587
203.1,9769,0,0,85,5562
204.1,9778,0,0,85,5540
205.1,9781,0,0,84,5509
206.1,9789,0,0,84,5466
207.1,9801,0,0,87,5427
208.1,9807,0,0,86,5382
209.1,9815,0,0,85,5328
210.1,9818,0,0,83,5269
211.1,9827,0,0,82,5198
212.1,9834,0,0,83,5140
213.1,9843,0,0,84,5060
214.1,9854,0,0,83,4971
215.1,9862,0,0,86,4875
216.1,9865,0,0,84,4776
217.1,9864,0,0,86,4648
218.1,9873,0,0,85,4533
219.1,9876,0,0,85,4430
220.1,9876,0,0,83,4293
221.1,9889,0,0,82,4138
222.1,9895,0,0,83,3978
223.1,9896,0,0,83,3831
224.1,9899,0,0,83,3683
225.1,9913,0,0,83,3521
226.1,9915,0,0,83,3375
227.1,9921,0,0,85,3222
228.1,9919,0,0,83,3063
229.1,9924,0,0,83,2889
230.1,9916,0,0,81,2726
231.1,9927,0,0,81,2568
232.1,9932,0,0,80,2419
233.1,9939,0,0,80,2281
234.1,9942,0,0,84,2142
235.1,9948,0,0,85,1986
236.1,9942,0,0,85,1855
237.1,9945,0,0,84,1730
238.1,9956,0,0,83,1625
239.1,9963,0,0,84,1518
240.1,9958,0,0,86,1425
