"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9964,33,36,80,0
2.1,9956,40,14,80,0
3.1,9950,47,3,80,0
4.1,9932,58,0,80,1
5.1,9931,80,0,80,1
6.1,9937,111,0,80,1
7.1,9933,148,0,80,1
8.1,9947,194,0,80,2
9.1,9942,254,0,80,4
10.1,9938,323,0,80,5
11.1,9944,395,0,80,6
12.1,9926,485,0,80,7
13.1,9934,604,0,80,9
14.1,9936,731,0,80,11
15.1,9925,885,0,80,14
16.1,9922,1049,0,80,19
17.1,9920,1205,0,80,23
18.1,9919,1356,0,80,30
19.1,9922,1537,0,80,40
20.1,9905,1731,0,80,51
21.1,9896,1927,0,80,63
22.1,9891,2111,0,80,73
23.1,9858,2321,0,80,89
24.1,9821,2533,0,80,111
25.1,9787,2737,0,80,131
26.1,9763,2971,0,80,158
27.1,9729,3170,0,80,198
28.1,9670,3372,0,80,254
29.1,9588,3577,0,80,326
30.1,9516,3724,0,80,406
31.1,9408,3854,0,80,509
32.1,9248,3932,0,80,641
33.1,9090,4004,0,80,810
34.1,8893,4042,0,80,1003
35.1,8652,4021,0,80,1236
36.1,8353,3943,0,80,1510
37.1,8023,3830,0,80,1835
38.1,7678,3676,0,80,2216
39.1,7264,3435,0,80,2662
40.1,6819,3168,0,80,3146
41.1,6394,2887,0,80,3641
42.1,5909,2521,0,80,4175
43.1,5465,2207,0,80,4692
44.1,5029,1888,0,80,5206
45.1,4649,1635,0,80,5676
46.1,4321,1376,0,80,6102
47.1,4055,1188,0,80,6477
48.1,3805,1010,0,80,6821
49.1,3608,864,0,80,7103
50.1,3421,730,0,80,7369
51.1,3266,622,0,80,7600
52.1,3135,514,0,80,7830
53.1,3047,448,0,80,7984
54.1,2983,400,0,80,8132
55.1,2905,340,0,80,8278
56.1,2858,295,0,80,8395
57.1,2846,266,0,80,8494
58.1,2851,255,0,80,8570
59.1,2856,248,0,80,8642
60.1,2844,225,0,80,8725
61.1,2859,207,0,80,8796
62.1,2884,197,0,80,8857
63.1,2887,174,0,80,8927
64.1,2923,181,0,80,8976
65.1,2946,182,0,80,9031
66.1,2957,180,0,80,9089
67.1,2976,164,0,80,9156
68.1,3020,148,0,80,9213
69.1,3050,124,0,80,9269
70.1,3083,105,0,80,9316
71.1,3133,98,0,80,9353
72.1,3175,99,0,80,9385
73.1,3242,102,0,80,9416
74.1,3280,96,0,80,9447
75.1,3328,95,0,80,9478
76.1,3390,88,0,80,9513
77.1,3445,85,0,80,9547
78.1,3514,85,0,80,9571
79.1,3575,81,0,80,9598
80.1,3653,77,0,80,9619
81.1,3707,75,0,80,9648
82.1,3770,69,0,80,9673
83.1,3830,71,0,80,9691
84.1,3893,67,0,80,9712
85.1,3934,65,0,80,9733
86.1,4008,64,0,80,9750
87.1,4068,65,0,80,9772
88.1,4140,64,0,80,9787
89.1,4207,65,0,80,9805
90.1,4276,59,0,80,9824
91.1,4331,53,0,80,9845
92.1,4405,61,0,80,9856
93.1,4490,58,0,80,9868
94.1,4554,46,0,80,9888
95.1,4616,39,0,80,9912
96.1,4694,38,0,80,9923
97.1,4755,36,0,80,9937
98.1,4833,35,0,80,9952
99.1,4889,33,0,80,9966
100.1,4973,26,0,80,9978
101.1,5048,21,0,80,9985
102.1,5109,21,0,80,9991
103.1,5158,20,0,80,9999
104.1,5231,19,0,80,10005
105.1,5305,20,0,80,10008
106.1,5379,20,0,80,10014
107.1,5441,21,0,80,10021
108.1,5514,21,0,80,10027
109.1,5586,20,0,80,10032
110.1,5650,19,0,80,10038
111.1,5705,16,0,80,10048
112.1,5777,15,0,80,10052
113.1,5848,14,0,80,10055
114.1,5911,15,0,80,10057
115.1,5990,14,0,80,10065
116.1,6045,14,0,80,10070
117.1,6105,16,0,80,10074
118.1,6170,17,0,80,10077
119.1,6239,18,0,80,10080
120.1,6292,14,0,80,10087
121.1,6354,13,0,80,10095
122.1,6410,12,0,80,10098
123.1,6469,10,0,80,10103
124.1,6528,8,0,80,10107
125.1,6591,10,0,80,10108
126.1,6661,10,0,80,10113
127.1,6721,5,0,80,10120
128.1,6789,6,0,80,10122
129.1,6850,4,0,80,10124
130.1,6914,4,0,80,10126
131.1,6958,5,0,80,10129
