"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1280,3200,0,164480
1.1,159416,293,584,633,3228,0,163861
2.1,159095,423,905,298,3237,0,163535
3.1,158977,479,1023,159,3247,0,163406
4.1,158954,502,1046,209,3233,0,163442
5.1,158991,514,1009,322,3241,0,163563
6.1,158965,548,1035,598,3248,0,163846
7.1,158954,597,1046,978,3249,0,164227
8.1,158976,697,1024,1431,3261,0,164692
9.1,158946,843,1054,1848,3257,0,165105
10.1,159016,1059,984,2261,3254,0,165515
11.1,159050,1347,950,2683,3252,0,165935
12.1,159039,1642,961,3360,3254,0,166614
13.1,159028,1960,972,3927,3260,1,167188
14.1,158977,2349,1023,4604,3265,1,167870
15.1,159011,2765,989,5566,3270,2,168838
16.1,159070,3226,930,6636,3279,4,169919
17.1,159081,3747,919,8098,3290,5,171393
18.1,159048,4279,952,9646,3304,5,172955
19.1,159092,4916,908,11566,3325,6,174897
20.1,159083,5649,917,13704,3322,8,177034
21.1,159000,6442,1000,16548,3337,10,179895
22.1,159023,7214,977,19762,3342,12,183116
23.1,158960,8161,1040,23371,3340,16,186727
24.1,158894,9096,1106,27521,3362,23,190906
25.1,158782,10085,1218,31446,3377,26,194849
26.1,158654,11214,1346,36011,3416,28,199455
27.1,158576,12401,1424,41021,3445,37,204503
28.1,158531,13694,1469,46783,3474,44,210301
29.1,158508,15052,1492,53514,3525,53,217092
30.1,158431,16498,1569,61078,3606,59,224743
31.1,158320,17996,1680,69123,3683,74,232880
32.1,158170,19443,1830,78111,3794,92,241997
33.1,158022,20992,1978,87771,3892,111,251774
34.1,157765,22516,2235,98472,4046,132,262650
35.1,157464,24144,2536,109211,4200,153,273564
36.1,157041,25689,2959,119939,4368,177,284484
37.1,156650,27416,3350,130582,4574,215,295371
38.1,156185,28937,3815,142262,4818,261,307341
39.1,155707,30573,4293,154339,5090,303,319732
40.1,155131,32218,4869,166551,5400,353,332304
41.1,154534,33875,5466,179102,5741,408,345251
42.1,153918,35447,6082,191450,6178,481,358109
43.1,153164,36982,6836,203890,6659,582,371131
44.1,152333,38499,7667,216899,7196,689,384784
45.1,151359,39856,8641,230639,7860,845,399344
46.1,150332,41183,9668,242800,8584,1031,412415
47.1,149157,42423,10843,255541,9442,1255,426238
48.1,147967,43664,12033,267251,10406,1512,439169
49.1,146557,44769,13443,276849,11542,1856,450247
50.1,144966,45652,15034,286249,12813,2280,461342
51.1,143308,46409,16692,294668,14223,2763,471654
52.1,141607,47123,18393,303425,15852,3331,482608
53.1,139707,47652,20293,310571,17659,4014,492244
54.1,137632,48036,22368,316353,19701,4828,500882
55.1,135344,48272,24656,320283,21968,5796,508047
56.1,133039,48290,26961,323164,24488,6910,514562
57.1,130510,48024,29490,324864,27149,8211,520224
58.1,127666,47440,32334,324886,30115,9742,524743
59.1,124724,46717,35276,322811,33332,11498,527641
60.1,121562,45736,38438,318117,36794,13515,528426
61.1,118315,44644,41685,311997,40504,15818,528319
62.1,114939,43351,45061,305340,44367,18322,528029
63.1,111445,41851,48555,295610,48384,21158,525152
64.1,107765,40150,52235,283540,52351,24199,520090
65.1,103970,38253,56030,270028,56433,27424,513885
66.1,100063,36194,59937,254525,60497,30954,505976
67.1,96219,33983,63781,238072,64521,34579,497172
68.1,92519,31797,67481,220648,68418,38176,487242
69.1,88887,29648,71113,203957,72033,41830,477820
70.1,85579,27629,74421,187175,75513,45366,468054
71.1,82284,25674,77716,171175,78804,48890,458869
72.1,79288,23856,80712,155554,81808,52390,449752
73.1,76523,22250,83477,141066,84516,55741,441323
74.1,73867,20559,86133,127801,87023,59041,433865
75.1,71401,19002,88599,114174,89351,62177,425702
76.1,69038,17481,90962,101801,91406,65315,418522
77.1,67085,16335,92915,90715,93375,68073,412163
78.1,65187,15101,94813,80497,95059,70836,406392
79.1,63525,13954,96475,71772,96609,73478,401859
80.1,61952,12956,98048,63889,97992,75943,397824
81.1,60621,11994,99379,57062,99227,78269,394558
82.1,59443,11162,100557,50520,100284,80459,391263
83.1,58447,10398,101553,45018,101204,82500,388722
84.1,57554,9714,102446,40098,102076,84466,386640
85.1,56774,9051,103226,36039,102815,86291,385145
86.1,56088,8453,103912,32114,103425,88094,383633
87.1,55580,7913,104420,28443,103940,89742,382125
88.1,55135,7488,104865,25516,104368,91220,381104
89.1,54827,7091,105173,23085,104729,92647,380461
90.1,54725,6734,105275,21238,105020,93923,380181
91.1,54541,6310,105459,19383,105210,95258,379851
92.1,54524,5942,105476,17723,105264,96523,379510
93.1,54513,5629,105487,16537,105232,97737,379506
94.1,54662,5386,105338,15261,105123,98861,379245
95.1,54947,5243,105053,14127,104801,99872,378800
96.1,55202,4991,104798,13197,104379,100895,378471
97.1,55488,4771,104512,12212,103807,101918,377937
98.1,55805,4592,104195,11512,103094,102844,377450
99.1,56163,4378,103837,10880,102291,103775,376946
100.1,56547,4167,103453,10106,101311,104648,376065
101.1,57000,4041,103000,9409,100050,105468,374927
102.1,57581,3911,102419,8815,98670,106276,373761
103.1,58145,3725,101855,8388,97055,107090,372533
104.1,58732,3601,101268,7875,95174,107869,370918
105.1,59277,3441,100723,7325,93161,108621,369107
106.1,59969,3321,100031,6890,90832,109329,367051
107.1,60600,3159,99400,6484,88281,110021,364786
108.1,61292,3055,98708,6052,85561,110663,362276
109.1,62053,2937,97947,5649,82546,111307,359502
110.1,62820,2783,97180,5509,79380,111938,356827
111.1,63653,2665,96347,5255,75960,112518,353733
112.1,64526,2636,95474,5086,72319,113046,350451
113.1,65322,2533,94678,4990,68572,113627,347189
114.1,66230,2528,93770,4705,64720,114143,343568
115.1,67129,2458,92871,4416,60953,114671,340040
116.1,68042,2391,91958,4194,57103,115163,336460
117.1,68922,2335,91078,4014,53262,115666,332942
118.1,69816,2237,90184,4003,49559,116148,329710
119.1,70784,2146,89216,3935,45986,116623,326544
120.1,71789,2051,88211,3910,42711,117074,323695
121.1,72729,2020,87271,3853,39551,117510,320914
122.1,73726,2008,86274,3599,36491,117938,318028
123.1,74756,1945,85244,3525,33627,118377,315529
124.1,75730,1884,84270,3411,31046,118790,313247
125.1,76681,1860,83319,3362,28567,119175,311104
126.1,77671,1839,82329,3395,26228,119557,309180
127.1,78602,1827,81398,3320,24089,119921,307330
128.1,79633,1792,80367,3225,22258,120338,305821
129.1,80638,1777,79362,3147,20533,120712,304392
130.1,81597,1750,78403,3056,18972,121082,303110
131.1,82600,1735,77400,2917,17531,121464,301912
132.1,83605,1706,76395,2742,16222,121807,300771
133.1,84613,1661,75387,2666,14999,122150,299815
134.1,85649,1606,74351,2589,13897,122477,298963
135.1,86643,1576,73357,2607,12925,122825,298357
136.1,87587,1514,72413,2647,12028,123217,297892
137.1,88585,1490,71415,2596,11216,123540,297352
138.1,89586,1513,70414,2493,10420,123830,296743
139.1,90628,1467,69372,2494,9673,124155,296322
140.1,91625,1439,68375,2439,8990,124486,295915
141.1,92649,1424,67351,2443,8359,124803,295605
142.1,93614,1396,66386,2444,7797,125116,295357
143.1,94536,1411,65464,2350,7239,125396,294985
144.1,95494,1407,64506,2291,6725,125688,294704
145.1,96440,1411,63560,2113,6270,125982,294365
146.1,97400,1382,62600,2106,5847,126262,294215
147.1,98364,1346,61636,2140,5492,126568,294200
148.1,99320,1304,60680,2121,5143,126858,294122
149.1,100269,1276,59731,2151,4837,127150,294138
150.1,101229,1271,58771,2141,4566,127412,294119
151.1,102224,1269,57776,2006,4305,127702,294013
152.1,103140,1272,56860,1994,4111,127946,294051
153.1,104054,1254,55946,1953,3939,128214,294106
154.1,104967,1218,55033,2005,3777,128495,294277
155.1,105887,1196,54113,1990,3674,128750,294414
156.1,106804,1184,53196,1978,3576,128994,294548
157.1,107708,1148,52292,1931,3518,129274,294723
158.1,108590,1136,51410,1855,3484,129521,294860
159.1,109426,1098,50574,1763,3438,129792,294993
160.1,110450,1117,49550,1666,3383,130009,295058
161.1,111287,1084,48713,1590,3355,130249,295194
162.1,112173,1044,47827,1595,3336,130474,295405
163.1,113012,975,46988,1531,3308,130715,295554
164.1,113918,981,46082,1466,3291,130915,295672
165.1,114797,975,45203,1470,3289,131126,295885
166.1,115685,920,44315,1547,3276,131351,296174
167.1,116548,910,43452,1427,3279,131551,296257
168.1,117394,909,42606,1300,3272,131758,296330
169.1,118212,865,41788,1274,3263,131946,296483
170.1,119026,838,40974,1269,3248,132136,296653
171.1,119841,796,40159,1321,3253,132339,296913
172.1,120624,763,39376,1321,3259,132535,297115
173.1,121430,756,38570,1298,3277,132715,297290
174.1,122361,767,37639,1194,3269,132880,297343
175.1,123189,750,36811,1159,3265,133046,297470
176.1,123929,724,36071,1061,3273,133225,297559
177.1,124650,703,35350,1056,3275,133392,297723
178.1,125386,679,34614,1006,3280,133543,297829
179.1,126233,676,33767,953,3276,133676,297905
180.1,126973,659,33027,946,3281,133833,298060
181.1,127695,636,32305,976,3293,133979,298248
182.1,128420,588,31580,954,3289,134144,298387
183.1,129170,585,30830,968,3282,134259,298509
184.1,129855,555,30145,954,3282,134402,298638
185.1,130611,554,29389,917,3282,134517,298716
186.1,131353,559,28647,876,3286,134636,298798
187.1,132063,552,27937,891,3289,134761,298941
188.1,132775,538,27225,889,3283,134879,299051
189.1,133468,538,26532,924,3278,134984,299186
190.1,134144,534,25856,880,3286,135092,299258
191.1,134790,516,25210,844,3282,135185,299311
192.1,135472,514,24528,732,3270,135295,299297
193.1,136104,504,23896,671,3275,135385,299331
194.1,136760,494,23240,659,3272,135467,299398
195.1,137341,488,22659,645,3272,135547,299464
196.1,137936,481,22064,668,3284,135598,299550
197.1,138524,472,21476,645,3274,135651,299570
198.1,139096,444,20904,665,3280,135718,299663
199.1,139663,428,20337,626,3294,135766,299686
200.1,140211,407,19789,599,3288,135802,299689
201.1,140740,401,19260,606,3273,135827,299706
202.1,141269,373,18731,605,3262,135807,299674
203.1,141823,372,18177,549,3260,135767,299576
204.1,142317,362,17683,535,3252,135729,299516
205.1,142788,362,17212,551,3257,135667,299475
206.1,143301,352,16699,539,3246,135576,299361
207.1,143781,350,16219,570,3252,135462,299284
208.1,144296,341,15704,567,3257,135302,299126
209.1,144800,335,15200,567,3246,135104,298917
210.1,145216,323,14784,542,3245,134853,298640
211.1,145622,337,14378,499,3242,134557,298298
212.1,146043,346,13957,515,3252,134210,297977
213.1,146459,341,13541,539,3245,133842,297626
214.1,146837,336,13163,544,3246,133439,297229
215.1,147238,326,12762,522,3234,132966,296722
216.1,147588,324,12412,468,3237,132392,296097
217.1,147994,311,12006,450,3247,131731,295428
218.1,148361,303,11639,476,3257,130950,294683
219.1,148684,278,11316,505,3253,130071,293829
220.1,149007,293,10993,463,3249,129150,292862
221.1,149322,298,10678,468,3242,128131,291841
222.1,149661,296,10339,479,3263,127001,290743
223.1,149976,303,10024,437,3268,125714,289419
224.1,150280,294,9720,453,3275,124364,288092
