"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1920,3200,0,165120
1.1,159400,425,600,944,3230,0,164174
2.1,159117,601,883,463,3238,0,163701
3.1,159057,678,943,261,3245,0,163506
4.1,159023,722,977,303,3253,0,163556
5.1,159025,744,975,647,3261,1,163909
6.1,159060,786,940,1233,3253,1,164487
7.1,159053,888,947,1885,3256,1,165142
8.1,159063,1096,937,2491,3261,1,165753
9.1,159087,1364,913,2954,3277,2,166233
10.1,159064,1725,936,3320,3288,2,166610
11.1,159052,2091,948,3750,3290,3,167043
12.1,159078,2500,922,4309,3286,6,167601
13.1,159096,2937,904,5203,3295,8,168506
14.1,159054,3385,946,6370,3292,9,169671
15.1,159082,3906,918,7808,3287,11,171106
16.1,159052,4557,948,9438,3304,14,172756
17.1,159065,5279,935,11330,3306,15,174651
18.1,159086,6047,914,13564,3326,18,176908
19.1,159097,6975,903,15862,3336,19,179217
20.1,159108,7967,892,18731,3367,25,182123
21.1,159075,9033,925,22024,3386,29,185439
22.1,159050,10228,950,25690,3416,34,189140
23.1,158976,11488,1024,29822,3447,41,193310
24.1,158898,12810,1102,34344,3488,48,197880
25.1,158706,14249,1294,39076,3547,57,202680
26.1,158522,15697,1478,44294,3623,67,207984
27.1,158406,17335,1594,50354,3709,83,214146
28.1,158399,19062,1601,57359,3802,91,221252
29.1,158328,20942,1672,64895,3917,109,228921
30.1,158223,22991,1777,73377,4051,127,237555
31.1,158088,24937,1912,82419,4244,154,246817
32.1,157848,27035,2152,92001,4460,186,256647
33.1,157481,29064,2519,102334,4738,214,267286
34.1,157066,31105,2934,112900,5035,248,278183
35.1,156640,33200,3360,123689,5384,293,289366
36.1,156148,35349,3852,134906,5809,352,301067
37.1,155624,37551,4376,146523,6328,439,313290
38.1,154997,39678,5003,158562,6883,528,325973
39.1,154326,41748,5674,170790,7563,644,338997
40.1,153544,43797,6456,182658,8388,791,351837
41.1,152583,45756,7417,194838,9318,1000,365156
42.1,151519,47672,8481,207094,10446,1250,378790
43.1,150356,49470,9644,218766,11806,1573,392145
44.1,149006,51063,10994,230200,13343,2019,405562
45.1,147488,52462,12512,240787,15230,2545,418562
46.1,145679,53591,14321,250572,17368,3244,431184
47.1,143640,54422,16360,259357,19884,4142,443383
48.1,141335,55032,18665,266416,22742,5309,454467
49.1,138844,55412,21156,272171,25958,6739,464868
50.1,135910,55321,24090,275976,29643,8491,474110
51.1,132657,54763,27343,277524,33724,10663,481911
52.1,129185,53914,30815,276376,38285,13271,487932
53.1,125202,52520,34798,273640,43194,16346,493180
54.1,121026,50716,38974,268530,48427,19853,496810
55.1,116568,48536,43432,260737,53713,23710,498160
56.1,111778,45948,48222,250372,59392,28016,497780
57.1,107006,43309,52994,237623,64992,32560,495175
58.1,102105,40324,57895,223606,70576,37452,491634
59.1,97184,37122,62816,207726,75960,42447,486133
60.1,92482,34057,67518,190881,81047,47535,479463
61.1,87961,31050,72039,173447,85784,52723,471954
62.1,83546,27964,76454,155760,90160,57863,463783
63.1,79574,25127,80426,138727,94238,62716,455681
64.1,75728,22217,84272,122416,97875,67541,447832
65.1,72384,19717,87616,107000,101065,71955,440020
66.1,69347,17377,90653,92596,103844,76104,432544
67.1,66842,15388,93158,79860,106363,79829,426052
68.1,64501,13423,95499,68498,108489,83327,420314
69.1,62697,11850,97303,58143,110364,86505,415012
70.1,61141,10497,98859,49155,111958,89395,410508
71.1,59959,9294,100041,41423,113365,92015,406803
72.1,59033,8227,100967,34712,114582,94401,403695
73.1,58344,7312,101656,29509,115572,96502,401583
74.1,57911,6469,102089,25115,116369,98405,399889
75.1,57675,5757,102325,21280,117051,100138,398469
76.1,57616,5188,102384,18121,117616,101717,397454
77.1,57795,4663,102205,15493,118021,103091,396605
78.1,58129,4272,101871,13273,118433,104343,396049
