"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Dead Epithelial Cells","# Free Virions","# Innate Immune Cells","# Specialised Immune Cells","# Agents In Total"
0.1,160000,0,0,1280,3200,0,164480
1.1,159442,267,558,693,3228,0,163921
2.1,159115,407,885,347,3235,0,163582
3.1,158997,455,1003,193,3246,0,163439
4.1,158958,487,1042,163,3247,0,163410
5.1,158946,504,1054,263,3256,0,163519
6.1,158937,524,1063,475,3269,0,163744
7.1,158964,552,1036,843,3263,0,164106
8.1,158979,640,1021,1314,3255,1,164570
9.1,158976,780,1024,1823,3266,2,165091
10.1,158971,958,1029,2349,3264,2,165615
11.1,158950,1231,1050,2845,3246,2,166093
12.1,158955,1538,1045,3289,3246,4,166539
13.1,158967,1906,1033,3737,3249,4,166990
14.1,159050,2267,950,4365,3255,5,167625
15.1,159028,2668,972,5151,3268,5,168424
16.1,159060,3148,940,6111,3276,5,169392
17.1,159034,3645,966,7385,3289,7,170681
18.1,159078,4202,922,9038,3287,8,172333
19.1,159052,4781,948,10951,3297,9,174257
20.1,159028,5432,972,13541,3313,11,176865
21.1,159008,6267,992,16233,3319,13,179565
22.1,159012,7156,988,19251,3321,16,182588
23.1,159001,8117,999,22972,3342,18,186332
24.1,158919,9063,1081,27010,3371,22,190403
25.1,158758,10072,1242,31015,3381,24,194420
26.1,158661,11165,1339,35805,3397,27,199229
27.1,158627,12337,1373,40850,3430,30,204310
28.1,158566,13670,1434,46779,3470,34,210283
29.1,158512,15029,1488,53587,3537,43,217167
30.1,158486,16495,1514,60959,3584,49,224592
31.1,158364,17975,1636,69445,3654,56,233155
32.1,158254,19504,1746,78256,3738,62,242056
33.1,158042,20982,1958,87973,3841,90,251904
34.1,157802,22482,2198,98186,3950,107,262243
35.1,157541,24049,2459,109037,4064,124,273225
36.1,157187,25650,2813,120724,4191,153,285068
37.1,156786,27262,3214,132058,4367,188,296613
38.1,156336,28727,3664,143304,4546,225,308075
39.1,155832,30388,4168,155321,4784,273,320378
40.1,155283,32033,4717,167306,5041,325,332672
41.1,154701,33611,5299,179716,5359,390,345465
42.1,154063,35165,6581,191954,5718,469,358141
43.1,153356,36666,6644,204841,6179,563,371583
44.1,152511,37985,7489,217191,6673,694,384558
45.1,151552,39278,8448,230036,7307,832,398175
46.1,150479,40515,9521,241587,8028,1034,410649
47.1,149299,41647,10701,252568,8827,1270,422665
48.1,148037,42737,11963,262700,9750,1541,433991
49.1,146676,43720,13324,272930,10734,1892,445556
50.1,145171,44598,14829,281890,11898,2288,456076
51.1,143518,45269,16482,289899,13219,2775,465893
52.1,141710,45876,18290,297346,14641,3387,475374
53.1,139749,46250,20251,303181,16275,4096,483552
54.1,137674,46507,22326,308288,18129,4965,491382
55.1,135377,46561,24623,311697,20170,5994,497861
56.1,133111,46623,26889,314391,22383,7151,503925
57.1,130512,46323,29488,314991,24822,8489,508302
58.1,127868,45938,32132,314119,27458,10001,511578
59.1,125005,45206,34995,312196,30293,11783,514272
60.1,121978,44344,38022,307520,33407,13806,514733
61.1,118844,43399,41156,301292,36609,15994,513895
62.1,115473,42016,44527,293483,39935,18450,511868
63.1,112038,40488,47962,284461,43357,21130,508948
64.1,108570,38996,51430,272774,46857,24020,503651
65.1,105088,37372,54912,260107,50357,27139,497603
66.1,101567,35591,58433,245776,53771,30304,489851
