"tick","# Alive Epithelial Cells","# Infected Epithelial Cells","# Virions","# Innate Immune Cells","# Specialised Immune Cells"
0.1,10000,0,100,80,0
1.1,9960,30,32,80,0
2.1,9947,36,13,80,0
3.1,9942,38,8,80,0
4.1,9939,39,15,80,0
5.1,9934,40,31,80,0
6.1,9930,42,58,80,0
7.1,9930,49,73,80,0
8.1,9949,61,84,80,0
9.1,9942,77,87,80,0
10.1,9942,88,101,80,0
11.1,9947,104,117,80,0
12.1,9931,115,135,80,0
13.1,9937,134,161,80,0
14.1,9938,152,187,80,0
15.1,9934,174,220,80,0
16.1,9934,202,253,80,1
17.1,9929,221,295,80,1
18.1,9936,254,333,80,1
19.1,9951,290,372,80,1
20.1,9947,326,425,80,2
21.1,9946,382,483,80,2
22.1,9940,428,574,80,2
23.1,9929,475,670,80,2
24.1,9922,517,763,80,2
25.1,9914,568,855,80,4
26.1,9918,645,968,80,4
27.1,9924,701,1084,80,5
28.1,9920,769,1211,80,7
29.1,9903,849,1342,80,7
30.1,9916,936,1501,80,7
31.1,9919,998,1691,80,9
32.1,9889,1064,1913,80,10
33.1,9880,1144,2124,80,12
34.1,9873,1227,2361,80,13
35.1,9847,1337,2533,80,15
36.1,9818,1427,2682,80,20
37.1,9810,1516,2897,80,24
38.1,9788,1612,3155,80,25
39.1,9763,1695,3426,80,30
40.1,9748,1769,3675,80,36
41.1,9709,1861,3867,80,42
42.1,9670,1955,4164,80,51
43.1,9622,2014,4432,80,58
44.1,9584,2074,4714,80,72
45.1,9536,2151,4935,80,84
46.1,9473,2230,5159,80,103
47.1,9409,2290,5391,80,128
48.1,9338,2350,5611,80,155
49.1,9270,2405,5816,80,183
50.1,9186,2445,5950,80,222
51.1,9092,2483,6064,80,252
52.1,8985,2498,6209,80,301
53.1,8876,2509,6341,80,351
54.1,8782,2541,6386,80,421
55.1,8660,2554,6503,80,480
56.1,8561,2568,6609,80,548
57.1,8438,2553,6707,80,634
58.1,8291,2533,6705,80,741
